Unnamed: 0,SDG,CIN
First Downs,27,13
Rush-Yds-TDs,45-241-2,13-36-0
Cmp-Att-Yd-TD-INT,15-19-160-2-0,18-31-198-0-1
Sacked-Yards,1-0,4-31
Net Pass Yards,160,167
Total Yards,401,203
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,4-39,9-57
Third Down Conv.,6-10,4-11
Fourth Down Conv.,0-0,0-0
Time of Possession,37:48,22:12
