Unnamed: 0,BAL,DAL
First Downs,17,27
Rush-Yds-TDs,16-101-1,30-118-0
Cmp-Att-Yd-TD-INT,23-35-269-1-0,27-36-301-3-0
Sacked-Yards,1-2,1-2
Net Pass Yards,267,299
Total Yards,368,417
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,12-136,5-45
Third Down Conv.,3-9,7-12
Fourth Down Conv.,0-0,0-0
Time of Possession,24:21,35:39
