Quarter,Time,Down,ToGo,Location,BAL,DAL,Detail,EPB,EPA
1,4:01,3,1,DAL 34,7,0,Ezekiel Elliott left guard for 4 yards (tackle by Zach Orr),0.560,1.470
1,3:20,1,10,DAL 38,7,0,Dak Prescott pass complete short right to Terrance Williams for 11 yards (tackle by Lardarius Webb),1.470,2.190
1,2:39,1,10,DAL 49,7,0,Ezekiel Elliott right end for 11 yards (tackle by C.J. Mosley),2.190,2.920
1,1:52,1,10,BAL 40,7,0,Dak Prescott pass complete short right to Ezekiel Elliott for -1 yards (tackle by Tavon Young),2.920,2.240
1,1:08,2,11,BAL 41,7,0,Ezekiel Elliott right end for no gain (tackle by Lardarius Webb),2.240,0.000
1,0:25,,,,7,0,Timeout #1 by Baltimore Ravens,0.000,-1.550
1,0:25,3,11,BAL 41,7,0,Dak Prescott pass incomplete short right intended for Lance Dunbar,1.550,0.530
1,0:20,4,11,BAL 41,7,0,"Chris Jones punts 35 yards. Penalty on Byron Jones: Illegal Touch Kick, 5 yards (no play)",0.530,0.200
1,0:11,4,16,BAL 46,7,0,"Chris Jones punts 36 yards, fair catch by Devin Hester",0.200,0.380
1,0:04,1,10,BAL 10,7,0,Joe Flacco pass incomplete deep right intended for Mike Wallace,-0.380,-0.780
Quarter,Time,Down,ToGo,Location,BAL,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,BAL 10,7,0,Kenneth Dixon middle for -2 yards (tackle by Tyrone Crawford),-0.780,-1.650
2,14:21,3,12,BAL 8,7,0,Joe Flacco pass complete short right to Steve Smith for 13 yards,-1.650,0.340
,,,,,,,"DAL challenged the pass completion ruling, and the play was upheld.",,
2,14:11,1,10,BAL 21,7,0,Kenneth Dixon right tackle for 4 yards (tackle by Justin Durant and Sean Lee),0.340,0.340
2,13:42,2,6,BAL 25,7,0,Joe Flacco pass incomplete short middle intended for Dennis Pitta,0.340,-0.360
2,13:35,3,6,BAL 25,7,0,Joe Flacco pass incomplete deep left intended for Mike Wallace,-0.360,-1.700
2,13:29,4,6,BAL 25,7,0,"Sam Koch punts 59 yards, returned by Lucky Whitehead for 21 yards (tackle by Patrick Onwuasor)",-1.700,-1.400
2,13:15,1,10,DAL 37,7,0,Alfred Morris right tackle for 2 yards (tackle by Michael Pierce and Brandon Williams),1.400,1.130
2,12:37,2,8,DAL 39,7,0,Dak Prescott pass incomplete deep left intended for Dez Bryant (defended by Shareece Wright),1.130,0.430
2,12:28,3,8,DAL 39,7,0,Dak Prescott pass incomplete short right intended for Jason Witten,0.430,-0.780
2,12:23,4,8,DAL 39,7,0,"Chris Jones punts 61 yards, touchback",-0.780,-0.280
2,12:11,1,10,BAL 20,7,0,Terrance West right end for 5 yards (tackle by Sean Lee and Anthony Brown),0.280,0.410
2,11:36,2,5,BAL 25,7,0,"Joe Flacco pass complete short left to Kyle Juszczyk for 14 yards (tackle by Sean Lee). Penalty on Jeremy Zuttah: Offensive Holding, 10 yards (no play)",0.410,-1.070
2,11:08,2,15,BAL 15,7,0,Terrance West right tackle for no gain (tackle by Maliek Collins),-1.070,-1.860
2,10:22,3,15,BAL 15,7,0,Joe Flacco pass complete short right to Kyle Juszczyk for 11 yards (tackle by Justin Durant and Anthony Brown),-1.860,-1.630
2,9:41,4,4,BAL 26,7,0,"Sam Koch punts 36 yards, out of bounds. Penalty on Anthony Levine: Offensive Holding, 10 yards",-1.630,-2.130
2,9:31,1,10,DAL 48,7,0,"Ezekiel Elliott left end for 3 yards (tackle by C.J. Mosley). Penalty on Travis Frederick: Illegal Block Above the Waist, 10 yards (no play)",2.130,1.470
2,9:05,1,20,DAL 38,7,0,"Dak Prescott pass complete short right to Lucky Whitehead for 6 yards (tackle by Tavon Young). Penalty on Tyron Smith: Offensive Holding, 10 yards (no play)",1.470,0.810
2,8:39,1,30,DAL 28,7,0,Dak Prescott left end for 12 yards (tackle by Eric Weddle),0.810,0.500
2,7:57,2,18,DAL 40,7,0,Dak Prescott pass complete short left to Dez Bryant for 12 yards (tackle by Shareece Wright),0.500,1.420
2,7:15,3,6,BAL 48,7,0,Dak Prescott pass complete deep left to Brice Butler for 41 yards (tackle by Shareece Wright),1.420,5.600
2,6:33,1,7,BAL 7,7,0,Dak Prescott left end for 4 yards (tackle by Zach Orr),5.600,5.530
2,6:08,2,3,BAL 3,7,0,Dak Prescott pass incomplete short middle intended for Jason Witten,5.530,4.720
2,6:01,3,3,BAL 3,7,6,"Dak Prescott pass complete short right to Cole Beasley for 3 yards, touchdown. Penalty on C.J. Mosley: Roughing the Passer, 15 yards",4.720,7.000
2,5:55,,,BAL 15,7,7,Dan Bailey kicks extra point good,0.000,0.000
2,5:55,,,DAL 50,7,7,"Dan Bailey kicks off 50 yards, touchback",0.000,-0.610
2,5:55,1,10,BAL 25,7,7,Joe Flacco pass complete short left to Mike Wallace for 7 yards (tackle by Damien Wilson),0.610,1.010
2,5:18,2,3,BAL 32,7,7,"Joe Flacco pass complete short middle to Mike Wallace for 15 yards (tackle by Cedric Thornton). Mike Wallace fumbles (forced by Cedric Thornton), recovered by Kamar Aiken at DAL-49",1.010,2.320
2,4:34,1,10,DAL 49,7,7,Terrance West middle for -3 yards (tackle by David Irving),2.320,1.380
2,3:56,2,13,BAL 48,7,7,Joe Flacco pass complete short left to Terrance West for 11 yards (tackle by J.J. Wilcox),1.380,0.000
2,3:24,,,,7,7,Timeout #2 by Dallas Cowboys,0.000,-2.150
2,3:24,3,2,DAL 41,7,7,Kenneth Dixon right tackle for 5 yards (tackle by Anthony Hitchens and Byron Jones),2.150,3.180
2,2:48,1,10,DAL 36,7,7,Joe Flacco pass incomplete deep right intended for Mike Wallace,3.180,2.640
2,2:37,2,10,DAL 36,7,7,Terrance West right tackle for 6 yards (tackle by Maliek Collins),2.640,2.740
2,2:00,3,4,DAL 30,7,7,"Joe Flacco pass incomplete short left intended for Mike Wallace. Penalty on Jeremy Zuttah: Offensive Holding, 10 yards (no play)",2.740,1.420
2,1:52,3,14,DAL 40,7,7,Joe Flacco pass complete short right to Kamar Aiken for 12 yards (tackle by Byron Jones),1.420,1.700
2,1:42,4,2,DAL 28,10,7,Justin Tucker 46 yard field goal good,1.700,3.000
2,1:37,,,BAL 35,10,7,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
2,1:37,1,10,DAL 25,10,7,Dak Prescott pass complete short middle to Lance Dunbar for 6 yards (tackle by Lardarius Webb),0.610,0.870
2,1:16,2,4,DAL 31,10,7,Dak Prescott pass complete short left to Cole Beasley for 8 yards (tackle by Shareece Wright),0.870,1.530
2,1:10,1,10,DAL 39,10,7,Dak Prescott pass incomplete short right intended for Cole Beasley,1.530,0.990
2,1:04,2,10,DAL 39,10,7,Dak Prescott pass complete deep left to Dez Bryant for 16 yards (tackle by Shareece Wright),0.990,2.590
2,0:43,1,10,BAL 45,10,7,"Penalty on Jason Witten: False Start, 5 yards (no play)",2.590,2.260
2,0:25,1,15,,10,7,Dak Prescott pass complete short middle to Dez Bryant for 26 yards (tackle by Eric Weddle),2.260,0.000
2,0:18,,,,10,7,Timeout #3 by Dallas Cowboys,0.000,-3.970
2,0:18,1,10,BAL 24,10,7,Dak Prescott pass complete short left to Lance Dunbar for 8 yards (tackle by Shareece Wright),3.970,4.650
2,0:13,2,2,BAL 16,10,7,Dak Prescott pass complete short left to Jason Witten for 4 yards,4.650,4.780
2,0:08,1,10,BAL 12,10,10,Dan Bailey 30 yard field goal good,4.780,3.000
2,0:04,,,DAL 35,10,10,"Dan Bailey kicks off 65 yards, out of bounds (tackle by Kyle Wilber). Penalty on Kamalei Correa: Illegal Block Above the Waist, 8 yards",0.000,1.270
Quarter,Time,Down,ToGo,Location,BAL,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,10,10,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,BAL 25,10,10,Joe Flacco pass complete deep middle to Steve Smith for 22 yards (tackle by Brandon Carr),0.610,2.060
3,14:20,1,10,BAL 47,10,10,Terrance West left tackle for no gain (tackle by Sean Lee),2.060,1.520
3,13:41,2,10,BAL 47,10,10,Joe Flacco pass incomplete deep middle intended for Mike Wallace,1.520,0.830
3,13:34,3,10,BAL 47,10,10,Joe Flacco pass incomplete short right intended for Mike Wallace (defended by Anthony Brown),0.830,-0.260
3,13:27,4,10,BAL 47,10,10,"Sam Koch punts 45 yards, fair catch by Cole Beasley",-0.260,0.380
3,13:20,1,10,DAL 8,10,10,Ezekiel Elliott right tackle for 2 yards (tackle by Brandon Williams),-0.380,-0.630
3,12:41,2,8,DAL 10,10,10,Dak Prescott pass complete short middle to Ezekiel Elliott for 6 yards (tackle by Zach Orr),-0.630,-0.480
3,12:00,3,2,DAL 16,10,10,Dak Prescott pass complete short right to Dez Bryant for 9 yards (tackle by Tavon Young),-0.480,0.610
3,11:14,1,10,DAL 25,10,10,Ezekiel Elliott left tackle for 14 yards (tackle by Lardarius Webb),0.610,1.530
3,10:32,1,10,DAL 39,10,10,Dak Prescott pass complete short right to Ezekiel Elliott for 8 yards (tackle by Jerraud Powers),1.530,2.070
3,9:48,2,2,DAL 47,10,10,Ezekiel Elliott right guard for 3 yards (tackle by Brandon Williams and C.J. Mosley),2.070,2.260
3,9:04,1,10,,10,10,"Dak Prescott pass incomplete deep left intended for Terrance Williams (defended by Tavon Young). Penalty on Tavon Young: Defensive Pass Interference, 33 yards (no play)",2.260,4.440
3,8:56,1,10,BAL 17,10,10,"Travis Frederick for -5 yards. Travis Frederick fumbles, recovered by Dak Prescott at BAL-22",4.440,3.850
3,8:48,2,10,BAL 17,10,10,Ezekiel Elliott left tackle for 6 yards (tackle by Eric Weddle and Timmy Jernigan),3.850,4.100
3,8:10,3,4,BAL 11,10,10,Dak Prescott pass complete short middle to Jason Witten for 7 yards (tackle by Lardarius Webb),4.100,6.280
3,7:37,1,4,BAL 4,10,16,"Dak Prescott pass complete short left to Dez Bryant for 4 yards, touchdown",6.280,7.000
3,7:31,,,BAL 15,10,17,Dan Bailey kicks extra point good,0.000,0.000
3,7:31,,,DAL 35,10,17,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.610
3,7:31,1,10,BAL 25,10,17,Joe Flacco pass complete short middle to Steve Smith for 5 yards (tackle by Orlando Scandrick),0.610,0.740
3,7:00,2,5,BAL 30,10,17,Joe Flacco for 6 yards (tackle by J.J. Wilcox),0.740,1.330
3,6:27,1,10,BAL 36,10,17,"Kenneth Dixon right tackle for 9 yards (tackle by J.J. Wilcox and Anthony Brown). Penalty on Jeremy Zuttah: Unnecessary Roughness, 15 yards",1.330,-0.020
3,6:00,2,16,BAL 30,10,17,Joe Flacco pass complete short middle to Mike Wallace for 11 yards (tackle by Brandon Carr),-0.020,0.760
3,5:19,3,5,BAL 41,10,17,Joe Flacco pass complete short middle to Mike Wallace for 2 yards (tackle by J.J. Wilcox),0.760,-0.520
3,4:37,4,3,BAL 43,10,17,"Sam Koch punts 48 yards, returned by Lucky Whitehead for 3 yards (tackle by Albert McClellan)",-0.520,0.350
3,4:24,1,10,DAL 12,10,17,Ezekiel Elliott right guard for 6 yards (tackle by C.J. Mosley),-0.350,-0.070
3,3:49,2,4,DAL 18,10,17,Ezekiel Elliott middle for 9 yards (tackle by Eric Weddle),-0.070,0.740
3,3:08,1,10,DAL 27,10,17,Dak Prescott pass complete short left to Jason Witten for 6 yards (tackle by Zach Orr),0.740,1.010
3,2:27,2,4,DAL 33,10,17,Ezekiel Elliott right guard for -1 yards (tackle by C.J. Mosley),1.010,0.170
3,1:40,3,5,DAL 32,10,17,Dak Prescott pass complete short right to Ezekiel Elliott for 17 yards (tackle by Eric Weddle),0.170,2.190
3,0:54,1,10,DAL 49,10,17,Lance Dunbar right guard for 2 yards (tackle by Brandon Williams and Michael Pierce),2.190,1.920
3,0:16,2,8,BAL 49,10,17,Dak Prescott pass complete short right to Jason Witten for 11 yards (tackle by Zach Orr),1.920,3.050
Quarter,Time,Down,ToGo,Location,BAL,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,BAL 38,10,17,Ezekiel Elliott middle for 2 yards (tackle by Zach Orr),3.050,2.780
4,14:15,2,8,BAL 36,10,17,Dak Prescott pass complete short middle to Jason Witten for 9 yards (tackle by C.J. Mosley and Patrick Onwuasor),2.780,3.780
4,13:36,1,10,BAL 27,10,17,Ezekiel Elliott left guard for -2 yards (tackle by Terrell Suggs),3.780,2.960
4,12:56,2,12,BAL 29,10,17,Dak Prescott pass complete short right to Gavin Escobar for 14 yards (tackle by Za'Darius Smith and Lardarius Webb),2.960,4.580
4,12:14,1,10,BAL 15,10,17,Ezekiel Elliott right tackle for 2 yards (tackle by Lawrence Guy and Zach Orr),4.580,4.280
4,11:37,2,8,BAL 13,10,23,"Dak Prescott pass complete short middle to Dez Bryant for 13 yards, touchdown",4.280,7.000
4,11:30,,,BAL 15,10,24,Dan Bailey kicks extra point good,0.000,0.000
4,11:30,,,DAL 35,10,24,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.610
4,11:30,1,10,BAL 25,10,24,Joe Flacco pass incomplete short right intended for Terrance West,0.610,0.060
4,11:24,2,10,BAL 25,10,24,Joe Flacco pass complete short right to Steve Smith for 22 yards (tackle by Byron Jones),0.060,2.060
4,10:49,1,10,BAL 47,10,24,Joe Flacco pass complete deep middle to Kamar Aiken for 18 yards (tackle by Orlando Scandrick),2.060,3.250
4,10:17,1,10,DAL 35,10,24,Joe Flacco pass incomplete short left intended for Dennis Pitta (defended by David Irving),3.250,2.700
4,10:09,2,10,DAL 35,10,24,Joe Flacco sacked by Jack Crawford for -2 yards,2.700,1.750
4,9:34,3,12,DAL 37,10,24,"Joe Flacco sacked by David Irving for -11 yards. Penalty on Tyrone Crawford: Face Mask (15 Yards), 15 yards (no play)",1.750,4.110
4,9:13,1,10,DAL 22,10,24,Joe Flacco pass complete short right to Steve Smith for 17 yards (tackle by Justin Durant),4.110,6.060
4,8:31,1,5,DAL 5,10,24,Joe Flacco pass incomplete short left intended for Kamar Aiken,6.060,5.150
4,8:21,2,5,DAL 5,16,24,"Joe Flacco pass complete short middle to Steve Smith for 5 yards, touchdown",5.150,7.000
4,8:16,,,DAL 15,17,24,Justin Tucker kicks extra point good,0.000,0.000
4,8:16,,,BAL 35,17,24,"Justin Tucker kicks off 60 yards, returned by Lance Dunbar for 5 yards (tackle by Patrick Onwuasor). Penalty on Matt Judon: Offside on Free Kick, 5 yards (no play)",0.000,0.000
4,8:10,,,BAL 30,17,24,"Justin Tucker kicks off 70 yards, touchback",0.000,-0.610
4,8:10,1,10,DAL 25,17,24,Ezekiel Elliott right end for 5 yards (tackle by Brandon Williams),0.610,0.740
4,7:25,2,5,DAL 30,17,24,Ezekiel Elliott right tackle for no gain (tackle by Terrell Suggs and Brandon Williams),0.740,0.040
4,6:40,3,5,DAL 30,17,24,Dak Prescott pass complete short left to Cole Beasley for 17 yards (tackle by Albert McClellan),0.040,2.060
4,5:56,1,10,DAL 47,17,24,Ezekiel Elliott right tackle for 2 yards (tackle by Eric Weddle and Michael Pierce),2.060,1.790
4,5:17,2,8,DAL 49,17,24,Dak Prescott pass complete short right to Brice Butler for 8 yards (tackle by C.J. Mosley and Tavon Young),1.790,2.720
4,4:31,1,10,BAL 43,17,24,Ezekiel Elliott right tackle for 1 yard (tackle by Michael Pierce),2.720,2.310
4,3:49,2,9,BAL 42,17,24,Dak Prescott pass complete short middle to Cole Beasley for 17 yards (tackle by Jerraud Powers),2.310,3.910
4,3:01,1,10,BAL 25,17,24,Ezekiel Elliott left tackle for 2 yards (tackle by Terrell Suggs),3.910,3.630
4,2:18,2,8,BAL 23,17,24,Ezekiel Elliott for 11 yards (tackle by Shareece Wright),3.630,0.000
4,2:12,,,,17,24,Timeout #1 by Baltimore Ravens,0.000,-4.780
4,2:12,1,10,BAL 12,17,24,Ezekiel Elliott left tackle for 3 yards (tackle by Zach Orr and Albert McClellan),4.780,0.000
4,2:07,,,,17,24,Timeout #2 by Baltimore Ravens,0.000,-4.640
4,2:07,2,7,BAL 9,17,24,Ezekiel Elliott left guard for no gain (tackle by Zach Orr),4.640,3.700
4,2:00,3,7,BAL 9,17,24,Ezekiel Elliott middle for 6 yards (tackle by Zach Orr),3.700,0.000
4,1:54,,,,17,24,Timeout #3 by Baltimore Ravens,0.000,-3.060
4,1:54,4,1,BAL 3,17,27,Dan Bailey 21 yard field goal good,3.060,3.000
4,1:50,,,DAL 35,17,27,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.610
4,1:50,1,10,BAL 25,17,27,"Joe Flacco pass complete short middle to Steve Smith for 7 yards (tackle by Sean Lee). Penalty on Steve Smith: Unnecessary Roughness, 15 yards",0.610,-1.150
4,1:40,2,18,BAL 17,17,27,Joe Flacco pass complete short middle to Dennis Pitta for 8 yards (tackle by Byron Jones),-1.150,-0.620
4,1:15,3,10,BAL 25,17,27,Joe Flacco pass complete short right to Dennis Pitta for 18 yards (tackle by Jeff Heath and Orlando Scandrick),-0.620,1.800
4,0:50,1,10,BAL 43,17,27,Joe Flacco pass incomplete short right intended for Kenneth Dixon,1.800,1.250
4,0:45,2,10,BAL 43,17,27,Joe Flacco pass complete short right to Kyle Juszczyk for 13 yards (tackle by Anthony Brown and Byron Jones),1.250,2.650
4,0:27,1,10,DAL 44,17,27,"Penalty on BAL: False Start, 5 yards (no play)",2.650,2.320
4,0:14,1,15,DAL 49,17,27,Joe Flacco pass complete short right to Kyle Juszczyk for 8 yards (tackle by Anthony Brown),2.320,2.520
4,0:05,2,7,DAL 41,17,27,Joe Flacco pass incomplete deep right intended for Kamar Aiken,2.520,1.820
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
