Unnamed: 0,ARI,WAS
First Downs,13,21
Rush-Yds-TDs,25-96-0,28-92-1
Cmp-Att-Yd-TD-INT,21-30-132-0-0,19-31-202-1-1
Sacked-Yards,3-18,6-46
Net Pass Yards,114,156
Total Yards,210,248
Fumbles-Lost,3-2,2-2
Turnovers,2,3
Penalties-Yards,9-122,8-70
Third Down Conv.,4-14,4-12
Fourth Down Conv.,0-1,0-0
Time of Possession,28:36,31:24
