Quarter,Time,Down,ToGo,Location,ARI,WAS,Detail,EPB,EPA
1,6:10,3,1,WAS 33,0,0,"Sam Howell pass complete short right to Jahan Dotson for 3 yards (tackle by Jalen Thompson). Penalty on Jalen Thompson: Personal Foul / Defense, 15 yards (accepted)",0.500,2.320
1,5:46,1,10,ARI 49,0,0,Brian Robinson right end for -1 yards (tackle by Kevin Strong),2.320,1.580
1,5:08,2,12,ARI 50,0,0,"Sam Howell pass incomplete intended for Terry McLaurin. Penalty on Marco Wilson: Defensive Pass Interference, 37 yards (accepted) (no play)",1.580,4.710
1,5:02,1,10,ARI 13,0,0,Curtis Samuel left tackle for 6 yards (tackle by Kyzir White and K'Von Wallace),4.710,5.150
1,4:22,2,4,ARI 7,0,6,"Sam Howell pass complete short left to Brian Robinson for 7 yards, touchdown",5.150,7.000
1,4:15,,,ARI 15,0,7,Joey Slye kicks extra point good,0.000,0.000
1,4:15,,,WAS 35,0,7,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
1,4:15,1,10,ARI 25,0,7,Rondale Moore left end for 4 yards (tackle by Emmanuel Forbes),0.610,0.600
1,3:45,2,6,ARI 29,0,7,Marquise Brown right end for 29 yards (tackle by Darrick Forrest),0.600,2.790
1,3:03,1,10,WAS 42,0,7,Joshua Dobbs pass complete short right to James Conner for -1 yards (tackle by Montez Sweat and James Smith-Williams),2.790,2.110
1,2:16,2,11,WAS 43,0,7,"Joshua Dobbs pass complete short right to Rondale Moore for 31 yards (tackle by Emmanuel Forbes) Penalty on WAS: Illegal Contact, 5 yards (declined)",2.110,4.780
1,1:43,,,,,,Timeout #1 by Arizona Cardinals,,
1,1:43,1,10,WAS 12,0,7,Joshua Dobbs pass incomplete short middle intended for Zach Ertz,4.780,4.100
1,1:38,2,10,WAS 12,0,7,Joshua Dobbs right end for 1 yard (tackle by Jamin Davis),4.100,3.290
1,0:59,3,9,WAS 11,0,7,Joshua Dobbs pass incomplete short middle intended for Zach Ertz (defended by Kamren Curl),3.290,2.700
1,0:55,4,9,WAS 11,3,7,Matt Prater 28 yard field goal good,2.700,3.000
1,0:53,,,ARI 35,3,7,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
1,0:53,1,10,WAS 25,3,7,Sam Howell sacked by Leki Fotu for -1 yards,0.610,-0.070
1,0:15,2,11,WAS 24,3,7,"Sam Howell pass complete to Logan Thomas for no gain. Penalty on John Bates: Offensive Pass Interference, 10 yards (accepted) (no play)",-0.070,-1.540
Quarter,Time,Down,ToGo,Location,ARI,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,21,WAS 14,3,7,"Sam Howell pass incomplete intended for Logan Thomas. Penalty on Jonathan Ledbetter: Roughing the Passer, 15 yards (accepted) (no play)",-1.540,0.870
2,14:54,1,10,WAS 29,3,7,Sam Howell pass short left (defended by Kevin Strong) intended for Jahan Dotson is intercepted by Zaven Collins at WAS-38 and returned for 1 yard (tackle by Terry McLaurin),0.870,-3.120
2,14:46,1,10,WAS 37,3,7,Joshua Dobbs pass complete short middle to Zach Ertz for 4 yards (tackle by Cody Barton),3.120,3.110
2,14:02,2,6,WAS 33,3,7,Keaontay Ingram right end for -3 yards (tackle by Daron Payne and Casey Toohill),3.110,2.010
2,13:35,3,9,WAS 36,3,7,Joshua Dobbs pass incomplete short left intended for Marquise Brown,2.010,0.880
2,13:31,4,9,WAS 36,6,7,Matt Prater 54 yard field goal good,0.880,3.000
2,13:26,,,ARI 35,6,7,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
2,13:26,1,10,WAS 25,6,7,Brian Robinson left guard for 6 yards (tackle by Zaven Collins and K'Von Wallace),0.610,0.870
2,12:49,2,4,WAS 31,6,7,Brian Robinson left tackle for 5 yards (tackle by Carlos Watkins and Jalen Thompson),0.870,1.330
2,12:15,1,10,WAS 36,6,7,Sam Howell scrambles left end for 5 yards (tackle by Kyzir White),1.330,1.470
2,11:32,2,5,WAS 41,6,7,Antonio Gibson right guard for 3 yards (tackle by Krys Barnes and Jonathan Ledbetter),1.470,1.160
2,10:47,3,2,WAS 44,6,7,Sam Howell pass complete short middle to Terry McLaurin for 19 yards (tackle by Budda Baker),1.160,3.120
2,10:10,1,10,ARI 37,6,7,Sam Howell pass complete short left to Curtis Samuel for 1 yard (tackle by Marco Wilson),3.120,2.710
2,9:36,2,9,ARI 36,6,7,Sam Howell pass complete deep right to Cole Turner for 17 yards (tackle by Marco Wilson),2.710,4.310
2,8:55,1,10,ARI 19,6,7,"Antonio Gibson up the middle for 3 yards. Antonio Gibson fumbles (forced by Victor Dimukeje), recovered by Zaven Collins at ARI-16",4.310,0.140
2,8:51,1,10,ARI 16,6,7,James Conner left tackle for 2 yards (tackle by Jamin Davis),-0.140,-0.350
2,8:21,2,8,ARI 18,6,7,"Joshua Dobbs pass complete to Marquise Brown for no gain. Penalty on Hjalte Froholdt: Ineligible Downfield Pass, 5 yards (accepted) (no play)",-0.350,-0.990
2,7:46,2,13,ARI 13,6,7,James Conner up the middle for 6 yards (tackle by Jamin Davis and Cody Barton),-0.990,-0.950
2,7:01,3,7,ARI 19,6,7,Joshua Dobbs sacked by and Montez Sweat for -4 yards and Abdullah Anderson for -4 yards,-0.950,-2.440
2,6:17,4,12,ARI 15,6,7,Nolan Cooney punts 34 yards out of bounds,-2.440,-2.320
2,6:17,1,10,ARI 49,6,7,Sam Howell pass complete short left to Terry McLaurin for 12 yards (tackle by Dennis Gardeck and Marco Wilson),2.320,3.120
2,5:46,1,10,ARI 37,6,7,Sam Howell sacked by Jonathan Ledbetter for no gain,3.120,2.570
2,5:11,2,10,ARI 37,6,7,Sam Howell pass incomplete deep middle intended for Terry McLaurin,2.570,1.880
2,5:06,3,10,ARI 37,6,7,Sam Howell sacked by Dennis Gardeck for -8 yards,1.880,0.270
2,4:30,4,18,ARI 45,6,7,"Tress Way punts 33 yards, fair catch by Greg Dortch at ARI-12",0.270,0.350
2,4:27,1,10,ARI 12,6,7,James Conner left end for 4 yards (tackle by Percy Butler and Kendall Fuller),-0.350,-0.370
2,3:47,2,6,ARI 16,6,7,Joshua Dobbs pass complete short middle to Trey McBride for 10 yards (tackle by Percy Butler),-0.370,0.670
2,3:12,1,10,ARI 26,6,7,Joshua Dobbs pass complete short left to Trey McBride for 13 yards (tackle by Darrick Forrest),0.670,1.530
2,2:30,1,10,ARI 39,6,7,Keaontay Ingram up the middle for -3 yards (tackle by Casey Toohill),1.530,0.580
2,2:00,2,13,ARI 36,6,7,Joshua Dobbs pass complete short left to Zach Ertz for 3 yards (tackle by Kamren Curl),0.580,0.300
2,1:55,,,,,,Timeout #1 by Washington Commanders,,
2,1:55,3,10,ARI 39,6,7,"Joshua Dobbs scrambles for no gain. Penalty on D.J. Humphries: Offensive Holding, 10 yards (accepted) (no play)",0.300,-1.020
2,1:47,3,20,ARI 29,6,7,Rondale Moore right end for 8 yards (tackle by Kendall Fuller),-1.020,-0.910
2,1:40,,,,,,Timeout #2 by Washington Commanders,,
2,1:40,4,12,ARI 37,6,7,"Nolan Cooney punts 56 yards, returned by Jamison Crowder for 5 yards (tackle by Christian Matthew)",-0.910,0.350
2,1:29,1,10,WAS 12,6,7,Sam Howell pass complete short middle to Jahan Dotson for 14 yards (tackle by Budda Baker),-0.350,0.670
2,1:12,1,10,WAS 26,6,7,Sam Howell pass incomplete short left intended for Terry McLaurin (defended by Marco Wilson),0.670,0.130
2,1:05,2,10,WAS 26,6,7,Sam Howell pass incomplete short middle intended for Logan Thomas (defended by Josh Woods),0.130,-0.560
2,1:02,3,10,WAS 26,12,7,"Sam Howell sacked by Dennis Gardeck for -24 yards. Sam Howell fumbles (forced by Dennis Gardeck), recovered by Cameron Thomas at WAS-2 and returned for 2 yards, touchdown",-0.560,-7.000
2,0:55,,,WAS 15,13,7,Matt Prater kicks extra point good,0.000,0.000
2,0:55,,,ARI 35,13,7,"Matt Prater kicks off 67 yards, returned by Antonio Gibson for 21 yards (tackle by Antonio Hamilton and Kris Boyd)",0.000,0.150
2,0:49,1,10,WAS 19,13,7,Sam Howell pass complete short left to Curtis Samuel for 18 yards (tackle by Budda Baker and K'Von Wallace),0.150,1.400
2,0:30,1,10,WAS 37,13,7,Sam Howell pass incomplete deep right intended for Jahan Dotson,1.400,0.860
2,0:25,2,10,WAS 37,13,7,Sam Howell pass complete short left to Logan Thomas for 19 yards (tackle by K'Von Wallace),0.860,2.650
2,0:19,,,,,,Timeout #3 by Washington Commanders,,
2,0:19,1,10,ARI 44,13,7,Sam Howell pass incomplete short middle intended for Cole Turner (defended by K'Von Wallace),2.650,2.110
2,0:14,2,10,ARI 44,13,7,Sam Howell pass complete deep left to Curtis Samuel for 32 yards (tackle by Jalen Thompson),2.110,4.780
2,0:08,1,10,ARI 12,13,7,Sam Howell pass incomplete short right,4.780,4.100
2,0:03,2,10,ARI 12,13,10,Joey Slye 30 yard field goal good,4.100,3.000
Quarter,Time,Down,ToGo,Location,ARI,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,13,10,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,ARI 25,13,10,Joshua Dobbs pass complete short left to Marquise Brown for 11 yards (tackle by Benjamin St-Juste),0.610,1.330
3,14:30,1,10,ARI 36,13,10,James Conner left tackle for 6 yards (tackle by Jamin Davis),1.330,1.600
3,14:05,2,4,ARI 42,13,10,Joshua Dobbs pass complete deep right to Michael Wilson for 15 yards (tackle by Benjamin St-Juste),1.600,2.720
3,13:25,1,10,WAS 43,13,10,Joshua Dobbs pass complete short middle to Zach Ertz for 5 yards (tackle by Cody Barton),2.720,2.850
3,12:53,2,5,WAS 38,13,10,Joshua Dobbs pass incomplete short middle intended for Zach Ertz (defended by Percy Butler),2.850,2.150
3,12:49,3,5,WAS 38,13,10,Joshua Dobbs pass complete short right to Marquise Brown for 9 yards (tackle by Kendall Fuller),2.150,3.640
3,12:19,1,10,WAS 29,13,10,Joshua Dobbs pass complete short right to James Conner for 11 yards (tackle by Kamren Curl and John Ridgeway),3.640,4.370
3,11:40,1,10,WAS 18,13,10,Joshua Dobbs pass complete short left to Rondale Moore for 1 yard (tackle by Kendall Fuller and Benjamin St-Juste),4.370,3.940
3,10:58,2,9,WAS 17,13,10,Joshua Dobbs pass complete short middle to James Conner for -2 yards (tackle by Abdullah Anderson),3.940,2.970
3,10:16,3,11,WAS 19,13,10,Joshua Dobbs pass incomplete short left intended for Marquise Brown,2.970,2.180
3,10:12,4,11,WAS 19,16,10,Matt Prater 37 yard field goal good,2.180,3.000
3,10:09,,,ARI 35,16,10,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
3,10:09,1,10,WAS 25,16,10,Sam Howell pass complete short middle to Logan Thomas for 6 yards (tackle by K'Von Wallace),0.610,0.870
3,9:39,2,4,WAS 31,16,10,Brian Robinson right guard for 5 yards (tackle by Kyzir White and Jalen Thompson),0.870,1.330
3,9:04,1,10,WAS 36,16,10,Sam Howell pass complete short left to Jahan Dotson for 5 yards (tackle by Kei'Trel Clark),1.330,1.470
3,8:29,2,5,WAS 41,16,10,Brian Robinson left guard for 6 yards (tackle by L.J. Collier),1.470,2.060
3,7:57,1,10,WAS 47,16,10,Brian Robinson left tackle for 1 yard (tackle by Jesse Luketa),2.060,1.650
3,7:23,2,9,WAS 48,16,10,Sam Howell sacked by Carlos Watkins for -6 yards,1.650,0.170
3,6:38,3,15,WAS 42,16,10,"Sam Howell scrambles for no gain. Penalty on Saahdiq Charles: Offensive Holding, 10 yards (accepted) (no play)",0.170,-1.150
3,6:08,3,25,WAS 32,16,10,Sam Howell sacked by Victor Dimukeje for -7 yards,-1.150,-1.700
3,5:33,4,32,WAS 25,16,10,"Tress Way punts 58 yards, returned by Greg Dortch for 8 yards (tackle by Jeremy Reaves)",-1.700,-0.610
3,5:22,1,10,ARI 25,16,10,James Conner left end for 12 yards (tackle by Percy Butler and Kendall Fuller),0.610,1.400
3,4:44,1,10,ARI 37,16,10,James Conner right end for 5 yards (tackle by Kamren Curl),1.400,1.530
3,4:03,2,5,ARI 42,16,10,"Penalty on Trey McBride: False Start, 5 yards (accepted) (no play)",1.530,0.860
3,3:47,2,10,ARI 37,16,10,James Conner left tackle for 2 yards (tackle by Casey Toohill),0.860,0.430
3,3:09,3,8,ARI 39,16,10,Joshua Dobbs pass incomplete short right intended for Zach Ertz,0.430,-0.780
3,3:03,4,8,ARI 39,16,10,"Nolan Cooney punts 41 yards, returned by Jamison Crowder for 5 yards (tackle by Zach Pascal)",-0.780,-0.610
3,2:54,1,10,WAS 25,16,10,"Sam Howell scrambles for no gain. Penalty on Andrew Wylie: Offensive Holding, 10 yards (accepted) (no play)",0.610,-0.410
3,2:27,1,20,WAS 15,16,10,Sam Howell pass incomplete short left intended for Brian Robinson,-0.410,-1.430
3,2:22,2,20,WAS 15,16,10,Sam Howell pass incomplete short right intended for Logan Thomas (defended by Cameron Thomas),-1.430,-2.350
3,2:19,3,20,WAS 15,16,10,Sam Howell pass complete short right to Logan Thomas for 12 yards (tackle by Marco Wilson),-2.350,-1.570
3,1:41,4,8,WAS 27,16,10,"Tress Way punts 41 yards, returned by Greg Dortch for 8 yards (tackle by Jeremy Reaves)",-1.570,-1.600
3,1:28,1,10,ARI 40,16,10,Keaontay Ingram right tackle for -1 yards (tackle by Daron Payne),1.600,0.920
3,0:54,2,11,ARI 39,16,10,Joshua Dobbs up the middle for -4 yards (tackle by Jonathan Allen),0.920,-0.300
3,0:09,3,15,ARI 35,16,10,"Joshua Dobbs sacked by Montez Sweat for -6 yards. Joshua Dobbs fumbles (forced by Montez Sweat), recovered by Daron Payne at ARI-29",-0.300,-3.640
3,0:02,1,10,ARI 29,16,10,Brian Robinson up the middle for 4 yards (tackle by L.J. Collier),3.640,3.640
Quarter,Time,Down,ToGo,Location,ARI,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,ARI 25,16,10,Brian Robinson left guard for 7 yards (tackle by Jesse Luketa),3.640,4.370
4,14:28,1,10,ARI 18,16,10,Brian Robinson right tackle for 7 yards (tackle by Jesse Luketa),4.370,5.010
4,13:38,2,3,ARI 11,16,10,Brian Robinson left guard for 3 yards (tackle by Kyzir White),5.010,5.370
4,12:37,1,8,ARI 8,16,10,Sam Howell pass incomplete short left,5.370,4.570
4,12:36,2,8,ARI 8,16,10,Chris Rodriguez up the middle for 2 yards (tackle by Carlos Watkins and BJ Ojulari),4.570,4.040
4,11:54,3,6,ARI 6,16,16,"Sam Howell scrambles left end for 6 yards, touchdown",4.040,7.000
4,11:48,,,ARI 15,16,17,Joey Slye kicks extra point good,0.000,0.000
4,11:48,,,WAS 35,16,17,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
4,11:48,1,10,ARI 25,16,17,James Conner left end for -1 yards (tackle by Montez Sweat),0.610,-0.070
4,11:15,2,11,ARI 24,16,17,Joshua Dobbs pass complete short left to James Conner for -2 yards (tackle by Kamren Curl),-0.070,-1.020
4,10:35,3,13,ARI 22,16,17,Joshua Dobbs pass complete short right to Rondale Moore for 1 yard (tackle by James Smith-Williams),-1.020,-1.830
4,9:53,4,12,ARI 23,16,17,"Nolan Cooney punts 53 yards, fair catch by Jamison Crowder at WAS-24",-1.830,-0.540
4,9:47,1,10,WAS 24,16,17,Brian Robinson right tackle for 2 yards (tackle by Krys Barnes and Jonathan Ledbetter),0.540,0.270
4,9:11,2,8,WAS 26,16,17,Brian Robinson left end for -3 yards (tackle by Kyzir White),0.270,-0.820
4,8:25,3,11,WAS 23,16,17,"Sam Howell pass complete short left to Antonio Gibson for 10 yards (tackle by K'Von Wallace and Budda Baker) WAS challenged the short of the line to gain ruling, and the play was upheld.",-0.820,-1.180
4,7:49,4,1,WAS 33,16,17,"Tress Way punts 59 yards, returned by Greg Dortch for 13 yards (tackle by Jeremy Reaves and David Mayo)",-1.180,-0.150
4,7:37,1,10,ARI 19,16,17,Joshua Dobbs pass incomplete deep left intended for Michael Wilson,0.150,-0.200
4,7:30,2,10,ARI 21,16,17,James Conner left guard for 8 yards (tackle by Cody Barton and Darrick Forrest),-0.200,0.170
4,6:54,3,2,ARI 29,16,17,James Conner left tackle for 5 yards (tackle by Jonathan Allen),0.170,1.200
4,6:15,1,10,ARI 34,16,17,Keaontay Ingram right end for -3 yards (tackle by Emmanuel Forbes),1.200,0.250
4,5:37,2,13,ARI 31,16,17,Keaontay Ingram right end for 6 yards (tackle by Darrick Forrest and Jamin Davis),0.250,0.370
4,4:58,3,7,ARI 37,16,17,Joshua Dobbs pass complete short right to Marquise Brown for 8 yards,0.370,1.930
4,4:53,1,10,ARI 45,16,17,"Joshua Dobbs pass complete to Geoff Swaim for no gain. Penalty on Will Hernandez: Ineligible Downfield Pass, 5 yards (accepted) (no play)",1.930,1.600
4,4:38,1,15,ARI 40,16,17,"Joshua Dobbs aborted snap, recovered by Joshua Dobbs at ARI-37 Joshua Dobbs for no gain. Joshua Dobbs fumbles (forced by Montez Sweat), recovered by Abdullah Anderson at ARI-37 (tackle by Montez Sweat). Penalty on Paris Johnson: Unsportsmanlike Conduct / Offense, 15 yards (accepted)",1.600,-4.110
4,4:38,1,10,ARI 22,16,17,Brian Robinson left guard for 1 yard (tackle by Jonathan Ledbetter),4.110,3.700
4,3:55,2,9,ARI 21,16,17,Brian Robinson left end for 3 yards (tackle by Kevin Strong and Kyzir White),3.700,3.400
4,3:07,3,6,ARI 18,16,17,Brian Robinson left tackle for 3 yards (tackle by Jonathan Ledbetter and Carlos Watkins),3.400,2.540
4,2:26,4,3,ARI 15,16,20,Joey Slye 33 yard field goal good,2.540,3.000
4,2:23,,,WAS 35,16,20,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
4,2:23,1,10,ARI 25,16,20,Joshua Dobbs pass complete short left to Michael Wilson for 4 yards (tackle by Kendall Fuller),0.610,0.600
4,2:06,2,6,ARI 29,16,20,Joshua Dobbs pass incomplete (no play),0.600,1.280
4,2:02,2,1,ARI 34,16,20,James Conner left end for 3 yards (tackle by Kamren Curl and Jonathan Allen),1.280,1.400
4,1:57,1,10,ARI 37,16,20,Joshua Dobbs pass complete short left to James Conner for 2 yards (tackle by Kamren Curl),1.400,1.130
4,1:30,2,8,ARI 39,16,20,Joshua Dobbs sacked by Jonathan Allen for -8 yards,1.130,-0.620
4,1:22,,,,,,Timeout #1 by Arizona Cardinals,,
4,1:22,3,16,ARI 31,16,20,Joshua Dobbs pass complete short right to Zach Ertz for 6 yards (tackle by Kamren Curl),-0.620,-0.910
4,1:15,4,10,ARI 37,16,20,Joshua Dobbs pass incomplete short right intended for Michael Wilson (defended by Emmanuel Forbes),-0.910,-3.180
4,1:10,1,10,ARI 36,16,20,Brian Robinson left guard for 2 yards (tackle by Kyzir White),3.180,2.910
4,1:06,,,,,,Timeout #2 by Arizona Cardinals,,
4,1:06,2,8,ARI 34,16,20,Brian Robinson up the middle for 2 yards (tackle by Carlos Watkins),2.910,2.480
4,1:00,,,,,,Timeout #3 by Arizona Cardinals,,
4,1:00,3,6,ARI 32,16,20,"Brian Robinson left end for 3 yards (tackle by Marco Wilson). Penalty on John Bates: Offensive Holding, 10 yards (accepted)",2.480,1.550
4,0:52,3,13,ARI 39,16,20,Chris Rodriguez up the middle for 3 yards (tackle by Dennis Gardeck and Budda Baker),1.550,0.880
4,0:07,4,9,ARI 36,16,20,"Penalty on WAS: Delay of Game, 5 yards (accepted) (no play)",0.880,0.530
4,0:07,4,14,ARI 41,16,20,"Tress Way punts 33 yards, returned by Greg Dortch for -5 yards (tackle by Dyami Brown and Christian Holmes)",0.530,1.660
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
