Unnamed: 0,TEN,IND
First Downs,8,21
Rush-Yds-TDs,18-83-0,27-121-0
Cmp-Att-Yd-TD-INT,11-17-62-0-0,29-37-273-1-0
Sacked-Yards,3-20,1-4
Net Pass Yards,42,269
Total Yards,125,390
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,3-30,3-20
Third Down Conv.,3-10,8-14
Fourth Down Conv.,0-0,0-0
Time of Possession,21:40,38:20
