Quarter,Time,Down,ToGo,Location,TAM,CIN,Detail,EPB,EPA
1,5:56,4,7,TAM 42,0,0,"Nick Harris punts 32 yards, returned by Karl Williams for 9 yards (tackle by Armegis Spearman)",0.460,-0.150
1,5:46,1,10,TAM 19,0,0,Brad Johnson pass complete to Keyshawn Johnson for 4 yards (tackle by Artrell Hawkins),0.150,0.210
1,5:36,2,6,TAM 23,0,0,Brad Johnson pass complete to Keyshawn Johnson for 11 yards (tackle by JoJuan Armour and Brian Simmons),0.210,1.200
1,4:24,1,10,TAM 34,0,0,Brad Johnson pass incomplete intended for Rickey Dudley,1.200,0.660
1,4:19,2,10,TAM 34,0,0,Brad Johnson pass incomplete intended for Michael Pittman,0.660,-0.030
1,4:13,3,10,TAM 34,0,0,Brad Johnson pass complete to Joe Jurevicius for 12 yards (tackle by Artrell Hawkins),-0.030,1.990
1,3:40,1,10,TAM 46,0,0,Michael Pittman right end for 5 yards (tackle by Justin Smith),1.990,2.130
1,2:54,2,5,CIN 49,0,0,"Penalty on Aaron Stecker: False Start, 5 yards (no play)",2.130,1.450
1,2:32,2,10,TAM 46,0,6,"Brad Johnson pass incomplete intended for Keyshawn Johnson is intercepted by Brian Simmons at CIN-49 and returned for 51 yards, touchdown",1.450,-7.000
1,2:23,,,TAM 46,0,7,Neil Rackers kicks extra point good,0.000,0.000
1,2:23,,,CIN 30,0,7,"Neil Rackers kicks off 45 yards, returned by Todd Yoder for 9 yards (tackle by Jeff Burris)",0.000,1.200
1,2:19,1,10,TAM 34,0,7,Michael Pittman left end for 4 yards (tackle by Takeo Spikes),1.200,1.200
1,1:40,2,6,TAM 38,0,7,Michael Pittman right end for 13 yards (tackle by JoJuan Armour),1.200,2.320
1,1:00,1,10,CIN 49,0,7,Michael Pittman middle for 3 yards (tackle by Takeo Spikes),2.320,2.190
1,0:20,2,7,CIN 46,0,7,Brad Johnson pass complete to Keyshawn Johnson for 11 yards (tackle by Artrell Hawkins),2.190,3.250
Quarter,Time,Down,ToGo,Location,TAM,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CIN 35,6,7,"Brad Johnson pass complete to Rickey Dudley for 35 yards, touchdown",3.250,7.000
2,15:00,,,CIN 35,7,7,Martin Gramatica kicks extra point good,0.000,0.000
2,15:00,,,TAM 30,7,7,"Martin Gramatica kicks off 66 yards, returned by Brandon Bennett for 19 yards (tackle by John Howell)",0.000,0.480
2,14:45,1,10,CIN 23,7,7,Corey Dillon left guard for 4 yards (tackle by Alshermond Singleton),0.480,0.470
2,14:10,2,6,CIN 27,7,7,Corey Dillon right guard for 5 yards (tackle by John Lynch),0.470,0.430
2,13:33,3,1,CIN 32,7,7,"Akili Smith pass incomplete intended for Matt Schobel. Penalty on Anthony McFarland: Defensive Offside, 5 yards (no play)",0.430,1.400
2,13:28,1,10,CIN 37,7,7,Akili Smith sacked by Warren Sapp for -6 yards,1.400,0.050
2,12:53,2,16,CIN 31,7,7,Corey Dillon left guard for 1 yard (tackle by Warren Sapp),0.050,-0.490
2,12:16,3,15,CIN 32,7,7,Akili Smith pass complete to Brandon Bennett for 6 yards (tackle by Ronde Barber),-0.490,-0.850
2,11:45,4,9,CIN 38,7,7,"Nick Harris punts 38 yards, returned by Karl Williams for -2 yards (tackle by Canute Curtis)",-0.850,-0.410
2,11:34,1,10,TAM 22,7,7,Brad Johnson pass complete to Michael Pittman for no gain,0.410,-0.130
2,10:50,2,10,TAM 22,7,7,Michael Pittman left guard for 2 yards (tackle by Reinard Wilson),-0.130,-0.560
2,10:13,3,8,TAM 24,7,7,Brad Johnson pass complete to Michael Pittman for 5 yards (tackle by Brian Simmons),-0.560,-1.440
2,9:41,4,3,TAM 29,7,7,Tom Tupa punts 51 yards,-1.440,-0.280
2,9:29,1,10,CIN 20,7,7,Corey Dillon right guard for 2 yards (tackle by Ronde Barber and Warren Sapp),0.280,0.000
2,8:53,2,8,CIN 22,7,7,Akili Smith pass incomplete intended for Chad Johnson (defended by Brian Kelly),0.000,-0.690
2,8:47,3,8,CIN 22,7,7,Akili Smith middle for 3 yards (tackle by Simeon Rice),-0.690,-1.700
2,8:21,4,5,CIN 25,7,7,"Nick Harris punts 45 yards, fair catch by Karl Williams",-1.700,-0.940
2,8:13,1,10,TAM 30,7,7,Brad Johnson pass complete to Michael Pittman for 5 yards (tackle by Justin Smith),0.940,1.070
2,7:45,2,5,TAM 35,13,7,"Brad Johnson pass complete to Keenan McCardell for 65 yards, touchdown",1.070,7.000
2,7:45,,,CIN 35,14,7,Martin Gramatica kicks extra point good,0.000,0.000
2,7:45,,,TAM 30,14,7,"Martin Gramatica kicks off 68 yards, returned by Brandon Bennett for 25 yards (tackle by Nate Webster)",0.000,0.740
2,7:27,1,10,CIN 27,14,7,Akili Smith pass incomplete intended for Chad Johnson,0.740,0.200
2,7:20,2,10,CIN 27,14,7,Akili Smith pass incomplete intended for Chad Johnson (defended by Simeon Rice),0.200,-0.490
2,7:17,3,10,CIN 27,14,7,Akili Smith pass incomplete intended for Ron Dugans,-0.490,-1.570
2,7:09,4,10,CIN 27,14,7,"Nick Harris punts 45 yards, returned by Karl Williams for 17 yards (tackle by Ron Dugans)",-1.570,-1.930
2,7:00,1,10,TAM 45,14,7,Michael Pittman middle for 1 yard (tackle by Tony Williams and Oliver Gibson),1.930,1.520
2,6:24,2,9,TAM 46,14,7,Brad Johnson pass complete to Ken Dilger for 11 yards (tackle by Brian Simmons and Jeff Burris),1.520,2.720
2,5:42,1,10,CIN 43,14,7,Brad Johnson pass incomplete intended for Keyshawn Johnson,2.720,2.180
2,5:38,2,10,CIN 43,14,7,Brad Johnson pass complete to Michael Pittman for 17 yards (tackle by Artrell Hawkins),2.180,3.840
2,4:51,1,10,CIN 26,14,7,Michael Pittman right guard for -1 yards (tackle by Glen Steele),3.840,3.160
2,4:14,2,11,CIN 27,14,7,Brad Johnson sacked by Tony Williams for -10 yards,3.160,1.160
2,3:41,2,11,CIN 27,,,Timeout #1 by Tampa Bay Buccaneers,3.160,1.160
2,3:41,3,21,CIN 37,14,7,Brad Johnson pass incomplete intended for Joe Jurevicius,1.160,0.790
2,3:36,4,21,CIN 37,14,7,Tom Tupa punts 34 yards,0.790,0.380
2,3:28,1,10,CIN 3,14,7,Corey Dillon left end for 3 yards (tackle by Simeon Rice),-0.380,-0.560
2,2:53,2,7,CIN 6,14,7,Corey Dillon right guard for 2 yards (tackle by Chartric Darby),-0.560,-0.840
2,2:11,3,5,CIN 8,14,7,Akili Smith pass incomplete intended for Peter Warrick,-0.840,-2.490
2,2:07,4,5,CIN 8,14,7,"Nick Harris punts 45 yards, returned by Karl Williams for 10 yards (tackle by Brandon Bennett). Penalty on Ryan Nece: Illegal Block Above the Waist, 10 yards",-2.490,-1.470
2,1:54,1,10,TAM 38,14,7,Brad Johnson pass complete to Mike Alstott for 6 yards (tackle by Reinard Wilson),1.470,1.730
2,1:23,2,4,TAM 44,14,7,Brad Johnson pass incomplete intended for Ken Dilger,1.730,1.020
2,1:18,3,4,TAM 44,14,7,Brad Johnson pass incomplete intended for Keenan McCardell (defended by Jeff Burris),1.020,-0.460
2,1:11,4,4,TAM 44,14,7,"Tom Tupa punts 38 yards, returned by Peter Warrick for 5 yards (tackle by Alshermond Singleton)",-0.460,-0.480
2,1:01,1,10,CIN 23,20,7,"Akili Smith pass incomplete intended for Ron Dugans is intercepted by Shelton Quarles at CIN-25 and returned for 25 yards, touchdown",0.480,-7.000
2,0:52,,,CIN 23,21,7,Martin Gramatica kicks extra point good,0.000,0.000
2,0:52,,,TAM 30,21,7,"Martin Gramatica kicks off 50 yards, returned by Brandon Bennett for 7 yards (tackle by Ronde Barber)",0.000,0.740
2,0:48,1,10,CIN 27,21,7,Corey Dillon left guard for -2 yards (tackle by Derrick Brooks),0.740,-0.070
2,0:27,2,12,CIN 25,21,7,Akili Smith pass incomplete,-0.070,-0.760
2,0:17,3,12,CIN 25,21,7,Akili Smith pass complete to Brandon Bennett for 7 yards (tackle by Brian Kelly),-0.760,-1.240
2,0:09,3,12,CIN 25,,,Timeout #2 by Tampa Bay Buccaneers,-0.760,-1.240
2,0:09,4,5,CIN 32,21,7,Nick Harris punts 44 yards. Penalty on Todd Yoder: Roughing the Kicker (Declined),-1.240,1.070
Quarter,Time,Down,ToGo,Location,TAM,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 30,21,7,"Martin Gramatica kicks off 64 yards, returned by Brandon Bennett for 18 yards (tackle by Todd Yoder)",0.000,0.540
3,14:50,1,10,CIN 24,21,7,Corey Dillon left end for -1 yards (tackle by Anthony McFarland),0.540,-0.140
3,14:18,2,11,CIN 23,21,7,Akili Smith pass complete to Matt Schobel for 4 yards (tackle by Shelton Quarles),-0.140,-0.300
3,13:38,3,7,CIN 27,21,7,Akili Smith pass incomplete intended for Chad Johnson,-0.300,-1.570
3,13:30,4,7,CIN 27,21,7,"Nick Harris punts 46 yards, returned by Karl Williams for 36 yards (tackle by Brandon Bennett). Penalty on CIN: Offensive 12 On-field (Declined)",-1.570,-3.120
3,13:17,1,10,CIN 37,21,7,Michael Pittman left tackle for 5 yards (tackle by Takeo Spikes),3.120,3.250
3,12:42,2,5,CIN 32,21,7,Michael Pittman right end for -6 yards (tackle by Canute Curtis),3.250,1.750
3,12:04,3,11,CIN 38,21,7,Brad Johnson pass complete to Keenan McCardell for 16 yards,1.750,4.110
3,11:35,1,10,CIN 22,21,7,Michael Pittman left guard for no gain (tackle by Tony Williams),4.110,3.560
3,10:54,2,10,CIN 22,27,7,"Brad Johnson pass complete to Ken Dilger for 22 yards, touchdown",3.560,7.000
3,10:54,,,CIN 22,28,7,Martin Gramatica kicks extra point good,0.000,0.000
3,10:54,,,TAM 30,28,7,"Martin Gramatica kicks off 65 yards, returned by Brandon Bennett for 20 yards (tackle by Todd Yoder)",0.000,0.610
3,10:40,1,10,CIN 25,28,7,Akili Smith pass incomplete intended for Chad Johnson,0.610,0.060
3,10:33,2,10,CIN 25,28,7,Corey Dillon for -1 yards (tackle by Shelton Quarles). Penalty on Willie Anderson: Offensive Holding (Declined),0.060,-0.760
3,10:08,3,11,CIN 24,28,7,Akili Smith pass complete to T.J. Houshmandzadeh for 10 yards (tackle by Simeon Rice),-0.760,-1.110
3,9:30,4,1,CIN 34,28,7,"Nick Harris punts 47 yards, fair catch by Karl Williams",-1.110,-0.150
3,9:21,1,10,TAM 19,28,7,Mike Alstott right guard for 3 yards (tackle by Takeo Spikes),0.150,0.070
3,8:36,2,7,TAM 22,28,7,Mike Alstott right end for 1 yard (tackle by Brian Simmons and Jeff Burris),0.070,-0.550
3,7:53,3,6,TAM 23,28,7,Brad Johnson pass complete to Michael Pittman for no gain,-0.550,-1.830
3,7:15,4,6,TAM 23,28,7,"Tom Tupa punts 47 yards, returned by Peter Warrick for 10 yards (tackle by John Howell). Penalty on Dwight Smith: Unnecessary Roughness, 15 yards",-1.830,-2.590
3,7:03,1,10,TAM 45,28,7,Corey Dillon right tackle for 6 yards (tackle by Ellis Wyms),2.590,2.850
3,6:34,2,4,TAM 39,28,7,Lorenzo Neal right guard for 2 yards (tackle by Anthony McFarland),2.850,2.410
3,6:01,2,4,TAM 39,,,Timeout #1 by Cincinnati Bengals,2.850,2.410
3,6:01,3,2,TAM 37,28,7,Corey Dillon right guard for 9 yards (tackle by Ronde Barber),2.410,3.710
3,5:23,1,10,TAM 28,28,7,Akili Smith pass complete to Peter Warrick for 12 yards (tackle by Dexter Jackson),3.710,4.510
3,4:42,1,10,TAM 16,28,7,Corey Dillon for 5 yards (tackle by Alshermond Singleton),4.510,4.760
3,4:14,2,5,TAM 11,28,7,Akili Smith pass incomplete,4.760,3.940
3,4:05,3,5,TAM 11,28,7,Akili Smith sacked by Derrick Brooks for -8 yards,3.940,2.180
3,3:24,4,13,TAM 19,28,7,"Penalty on CIN: Delay of Game, 5 yards (no play)",2.180,1.870
3,2:56,4,18,TAM 24,28,7,"Penalty on CIN: Delay of Game, 5 yards (no play)",1.870,1.500
3,2:46,4,23,TAM 29,28,7,Neil Rackers 45 yard field goal no good,1.500,-1.270
3,2:42,1,10,TAM 35,28,7,Brad Johnson pass incomplete intended for Keenan McCardell is intercepted by Oliver Gibson at TAM-32 and returned for 6 yards,1.270,-3.840
3,2:36,1,10,TAM 26,28,7,Corey Dillon right end for 4 yards (tackle by Brian Kelly),3.840,3.840
3,1:58,2,6,TAM 22,28,7,Corey Dillon left guard for 3 yards (tackle by Derrick Brooks),3.840,3.570
3,1:25,3,3,TAM 19,28,7,Corey Dillon left tackle for 1 yard (tackle by Alshermond Singleton),3.570,2.370
3,0:42,4,2,TAM 18,28,7,Akili Smith right end for 3 yards (tackle by Nate Webster),2.370,4.580
Quarter,Time,Down,ToGo,Location,TAM,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,TAM 15,28,7,Corey Dillon left guard for 2 yards (tackle by John Lynch),4.580,4.280
4,14:33,2,8,TAM 13,28,7,Akili Smith for -4 yards (tackle by John Lynch),4.280,2.980
4,13:56,3,12,TAM 17,28,7,Akili Smith pass incomplete intended for Chad Johnson (defended by Brian Kelly),2.980,2.310
4,13:53,4,12,TAM 17,28,7,Akili Smith pass incomplete intended for Chad Johnson (defended by Dexter Jackson),2.310,0.060
4,13:44,1,10,TAM 17,28,7,Michael Pittman right end for 3 yards (tackle by Oliver Gibson),-0.060,-0.060
4,13:01,2,7,TAM 20,28,7,Michael Pittman right guard for 5 yards (tackle by Canute Curtis),-0.060,-0.240
4,12:25,3,2,TAM 25,28,7,Brad Johnson pass incomplete intended for Mike Alstott,-0.240,-1.700
4,12:19,4,2,TAM 25,28,7,"Tom Tupa punts 37 yards, returned by Peter Warrick for 8 yards (tackle by Jack Golden). Penalty on CIN: Defensive 12 On-field, 5 yards (no play)",-1.700,0.940
4,12:10,1,10,TAM 30,28,7,Michael Pittman right end for 3 yards (tackle by Canute Curtis),0.940,0.800
4,11:26,2,7,TAM 33,28,7,"Brad Johnson pass complete to Mike Alstott for 7 yards (tackle by Artrell Hawkins). Penalty on Michael Pittman: Offensive Offside, 5 yards (no play)",0.800,0.120
4,11:05,2,12,TAM 28,28,7,Brad Johnson pass complete to Keyshawn Johnson for 15 yards (tackle by Jeff Burris),0.120,1.800
4,10:26,1,10,TAM 43,28,7,Michael Pittman left end for -1 yards (tackle by Brian Simmons and Bernard Whittington),1.800,1.120
4,9:47,2,11,TAM 42,28,7,Brad Johnson pass incomplete intended for Keyshawn Johnson,1.120,0.430
4,9:42,3,11,TAM 42,28,7,"Brad Johnson pass incomplete intended for Keyshawn Johnson. Penalty on Keyshawn Johnson: Personal Foul, 15 yards",0.430,-1.570
4,9:37,4,26,TAM 27,28,7,Tom Tupa punts 64 yards,-1.570,0.380
4,9:25,1,10,CIN 9,28,7,Akili Smith pass complete to Peter Warrick for 24 yards (tackle by Dexter Jackson),-0.380,1.140
4,8:58,1,10,CIN 33,28,7,Akili Smith pass complete to T.J. Houshmandzadeh for 10 yards (tackle by Shelton Quarles),1.140,1.800
4,8:37,1,10,CIN 43,28,7,Corey Dillon middle for 4 yards (tackle by Ronde Barber),1.800,1.790
4,8:16,2,6,CIN 47,28,7,Akili Smith pass incomplete intended for Ron Dugans,1.790,1.090
4,8:12,3,6,CIN 47,28,7,Corey Dillon right tackle for 9 yards (tackle by Shelton Quarles),1.090,2.650
4,7:42,1,10,TAM 44,28,7,Brandon Bennett left end for -2 yards (tackle by Ronde Barber),2.650,1.840
4,7:17,2,12,TAM 46,28,7,Akili Smith pass complete to Peter Warrick for 1 yard (tackle by Dwight Smith),1.840,1.290
4,6:54,3,11,TAM 45,28,7,"Akili Smith sacked by Warren Sapp for -6 yards. Akili Smith fumbles (forced by Warren Sapp), recovered by Ellis Wyms at CIN-46 (tackle by Richmond Webb)",1.290,-2.520
4,6:47,1,10,CIN 46,28,7,Michael Pittman left end for 4 yards (tackle by Artrell Hawkins),2.520,2.520
4,6:08,2,6,CIN 42,28,7,Michael Pittman right tackle for 17 yards (tackle by Cory Hall),2.520,3.910
4,5:24,1,10,CIN 25,28,7,Rob Johnson for 4 yards (tackle by Takeo Spikes),3.910,3.900
4,4:50,2,6,CIN 21,28,7,"Mike Alstott right end for 14 yards (tackle by Cory Hall). Mike Alstott fumbles (forced by Cory Hall), ball out of bounds at CIN-5",3.900,5.600
4,4:40,1,7,CIN 7,28,7,Mike Alstott right guard for 1 yard (tackle by Justin Smith),5.600,4.950
4,3:58,2,6,CIN 6,28,7,Mike Alstott right end for 5 yards (tackle by Brian Simmons),4.950,5.170
4,3:12,2,6,CIN 6,,,Timeout #1 by Tampa Bay Buccaneers,4.950,5.170
4,3:12,3,1,CIN 1,34,7,"Mike Alstott middle for 1 yard, touchdown",5.170,7.000
4,3:12,,,CIN 1,35,7,Martin Gramatica kicks extra point good,0.000,0.000
4,3:12,,,TAM 30,35,7,"Martin Gramatica kicks off 65 yards, returned by Brandon Bennett for 17 yards (tackle by Darian Barnes)",0.000,0.410
4,3:03,1,10,CIN 22,35,7,Corey Dillon right guard for 5 yards (tackle by Alshermond Singleton),0.410,0.540
4,2:29,2,5,CIN 27,35,7,Akili Smith pass incomplete intended for Chad Johnson,0.540,-0.160
4,2:23,3,5,CIN 27,35,7,Akili Smith pass complete to Brandon Bennett for 4 yards (tackle by Ronde Barber),-0.160,-1.310
4,2:00,4,1,CIN 31,35,7,Brandon Bennett right tackle for 2 yards (tackle by Shelton Quarles),-1.310,1.140
4,1:26,1,10,CIN 33,35,7,Akili Smith pass complete to Brandon Bennett for 10 yards (tackle by Chartric Darby),1.140,1.800
4,0:50,1,10,CIN 43,35,7,Akili Smith pass incomplete intended for Chad Johnson,1.800,1.250
4,0:43,2,10,CIN 43,35,7,Akili Smith pass complete to Nick Luchey for 15 yards (tackle by John Howell),1.250,2.790
4,0:18,1,10,TAM 42,35,7,Akili Smith pass incomplete intended for Brandon Bennett,2.790,2.240
4,0:14,2,10,TAM 42,35,7,Akili Smith pass incomplete intended for Chad Johnson,2.240,1.550
4,0:09,3,10,TAM 42,35,7,Akili Smith pass incomplete intended for Ron Dugans (defended by Dwight Smith),1.550,0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
