Quarter,Time,Tm,Detail,TAM,CIN
1.0,2:23,Bengals,Brian Simmons 51 yard interception return (Neil Rackers kick),0,7
2.0,14:53,Buccaneers,Rickey Dudley 35 yard pass from Brad Johnson (Martin Gramatica kick),7,7
,7:34,Buccaneers,Keenan McCardell 65 yard pass from Brad Johnson (Martin Gramatica kick),14,7
,0:52,Buccaneers,Shelton Quarles 25 yard interception return (Martin Gramatica kick),21,7
3.0,10:46,Buccaneers,Ken Dilger 22 yard pass from Brad Johnson (Martin Gramatica kick),28,7
4.0,3:08,Buccaneers,Mike Alstott 1 yard rush (Martin Gramatica kick),35,7
