#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,CHI 25,6,3:24,33,Punt
2,1,4:42,CHI 24,11,5:30,58,Field Goal
3,2,12:00,CHI 14,16,7:31,86,Touchdown
4,2,1:47,CHI 22,8,1:36,32,Punt
5,3,13:51,CHI 9,4,1:55,23,Punt
6,3,10:10,CHI 28,3,0:54,8,Punt
7,3,7:36,CHI 20,11,5:43,74,Field Goal
8,4,14:50,CHI 25,4,2:35,16,Punt
9,4,11:34,JAX 28,6,3:06,14,Field Goal
10,4,4:59,CHI 25,3,1:41,3,Punt
11,4,2:49,CHI 25,8,1:52,27,Downs
