Quarter,Time,Down,ToGo,Location,JAX,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Jason Myers kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,CHI 25,0,0,Brian Hoyer pass complete short right to Alshon Jeffery for 11 yards (tackle by Telvin Smith),0.610,1.330
1,14:32,1,10,CHI 36,0,0,Jordan Howard right end for no gain (tackle by Roy Miller),1.330,0.790
1,13:57,2,10,CHI 36,0,0,"Jordan Howard left tackle for -1 yards (tackle by Paul Posluszny). Penalty on Jared Odrick: Unnecessary Roughness, 15 yards",0.790,2.260
1,13:32,1,10,,0,0,Brian Hoyer pass complete short right to Zach Miller for no gain,2.260,1.710
1,13:02,2,10,,0,0,Jordan Howard right tackle for 1 yard (tackle by Tyson Alualu),1.710,1.160
1,12:23,3,9,JAX 49,0,0,Brian Hoyer pass complete short left to Eddie Royal for 7 yards (tackle by Paul Posluszny),1.160,0.460
1,11:46,4,2,JAX 42,0,0,Pat O'Donnell punts 32 yards,0.460,0.380
1,11:36,1,10,JAX 10,0,0,Blake Bortles pass complete deep right to Allen Robinson for 18 yards,-0.380,0.810
1,11:04,1,10,JAX 28,0,0,T.J. Yeldon right guard for 1 yard (tackle by Akiem Hicks),0.810,0.400
1,10:29,2,9,JAX 29,0,0,T.J. Yeldon left tackle for 1 yard (tackle by Christian Jones),0.400,-0.160
1,9:48,3,8,JAX 30,0,0,Blake Bortles pass complete short right to Allen Robinson for 16 yards,-0.160,1.990
1,9:19,1,10,JAX 46,0,0,Blake Bortles pass complete short left to Marqise Lee for 14 yards (tackle by Danny Trevathan and Harold Jones-Quartey),1.990,2.920
1,8:40,1,10,CHI 40,0,0,Chris Ivory right guard for 9 yards (tackle by Harold Jones-Quartey),2.920,3.590
1,8:04,2,1,CHI 31,0,0,Chris Ivory right end for 6 yards (tackle by Sam Acho),3.590,3.910
1,7:19,1,10,CHI 25,0,0,"Blake Bortles pass incomplete short middle intended for Allen Hurns (defended by Jerrell Freeman). Penalty on Jerrell Freeman: Defensive Pass Interference, 2 yards (no play)",3.910,4.040
1,7:14,1,10,CHI 23,0,0,Blake Bortles pass complete short right to Allen Hurns for 4 yards (tackle by Jacoby Glenn),4.040,4.050
1,6:36,2,6,CHI 19,0,0,Chris Ivory left guard for 1 yard (tackle by Jonathan Bullard),4.050,3.490
1,5:51,3,5,CHI 18,0,0,"Blake Bortles pass incomplete deep right intended for Marqise Lee. Penalty on Jacoby Glenn: Defensive Pass Interference, 13 yards (no play)",3.490,6.060
1,5:46,1,5,CHI 5,0,0,Chris Ivory right guard for 4 yards (tackle by Will Sutton),6.060,5.910
1,4:57,2,1,CHI 1,0,0,Blake Bortles pass incomplete short left intended for Marcedes Lewis,5.910,5.170
1,4:54,3,1,CHI 1,0,0,"Penalty on Kelvin Beachum: False Start, 5 yards (no play)",5.170,4.040
1,4:54,3,6,CHI 6,0,0,Blake Bortles pass incomplete short middle intended for Allen Robinson is intercepted by Tracy Porter at CHI--1 and returned for 25 yards,4.040,-0.540
1,4:42,1,10,CHI 24,0,0,Brian Hoyer pass complete short left to Cameron Meredith for 8 yards (tackle by Jonathan Cyprien),0.540,1.080
1,4:09,2,2,CHI 32,0,0,Jordan Howard left end for 5 yards (tackle by Paul Posluszny),1.080,1.400
1,3:34,1,10,CHI 37,0,0,Jordan Howard right guard for 3 yards (tackle by Roy Miller),1.400,1.260
1,2:58,2,7,CHI 40,0,0,Brian Hoyer pass complete short left to Eddie Royal for 16 yards (tackle by Aaron Colvin),1.260,2.650
1,2:22,1,10,JAX 44,0,0,"Penalty on Logan Paulsen: False Start, 5 yards (no play)",2.650,2.320
1,2:01,1,15,JAX 49,0,0,"Brian Hoyer pass incomplete deep left intended for Alshon Jeffery. Penalty on Alshon Jeffery: Offensive Pass Interference (Offsetting), Penalty on Prince Amukamara: Illegal Contact (Offsetting) (no play)",2.320,2.320
1,1:53,1,15,JAX 49,0,0,Brian Hoyer pass complete short middle to Zach Miller for 6 yards (tackle by Abry Jones),2.320,2.250
1,1:21,2,9,JAX 43,0,0,Brian Hoyer pass complete short right to Cameron Meredith for -1 yards (tackle by Paul Posluszny),2.250,1.420
1,0:43,3,10,JAX 44,0,0,Brian Hoyer pass complete deep left to Alshon Jeffery for 19 yards (tackle by Jalen Ramsey),1.420,3.910
1,0:09,1,10,JAX 25,0,0,Brian Hoyer pass incomplete deep left intended for Alshon Jeffery,3.910,3.360
1,0:03,2,10,JAX 25,0,0,Jordan Howard right end for -2 yards (tackle by Malik Jackson),3.360,2.410
Quarter,Time,Down,ToGo,Location,JAX,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
