Unnamed: 0,JAX,CHI
First Downs,20,22
Rush-Yds-TDs,20-54-1,27-92-1
Cmp-Att-Yd-TD-INT,20-33-271-1-1,30-49-302-0-0
Sacked-Yards,2-8,1-5
Net Pass Yards,263,297
Total Yards,317,389
Fumbles-Lost,1-1,1-0
Turnovers,2,0
Penalties-Yards,5-50,10-87
Third Down Conv.,2-10,7-17
Fourth Down Conv.,0-0,0-1
Time of Possession,24:13,35:47
