Unnamed: 0,SFO,ARI
First Downs,15,26
Rush-Yds-TDs,28-83-1,23-80-1
Cmp-Att-Yd-TD-INT,17-30-210-1-0,30-49-376-1-2
Sacked-Yards,3-12,2-13
Net Pass Yards,198,363
Total Yards,281,443
Fumbles-Lost,1-1,2-2
Turnovers,1,4
Penalties-Yards,9-100,2-10
Third Down Conv.,7-17,7-14
Fourth Down Conv.,1-1,0-0
Time of Possession,27:42,32:18
