Quarter,Time,Down,ToGo,Location,SFO,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,ARI 25,0,0,David Johnson right tackle for 6 yards (tackle by DeForest Buckner),0.610,0.870
1,14:21,2,4,ARI 31,0,0,Carson Palmer pass incomplete short left intended for Jermaine Gresham,0.870,0.170
1,14:17,3,4,ARI 31,0,0,Carson Palmer pass incomplete short middle intended for Larry Fitzgerald (defended by Jimmie Ward),0.170,-1.310
1,14:13,4,4,ARI 31,0,0,"Ryan Quigley punts 43 yards, fair catch by Jeremy Kerley",-1.310,-0.670
1,14:05,1,10,SFO 26,0,0,Colin Kaepernick left end for 2 yards (tackle by Deone Bucannon),0.670,0.400
1,13:35,2,8,SFO 28,0,0,Carlos Hyde middle for -2 yards (tackle by Tony Jefferson). Penalty on Torrey Smith: Illegal Block Above the Waist (Declined),0.400,-0.560
1,13:09,3,10,SFO 26,0,0,Colin Kaepernick sacked by Chandler Jones for -4 yards,-0.560,-1.900
1,12:35,4,14,SFO 22,0,0,"Bradley Pinion punts 52 yards, returned by John Brown for 5 yards (tackle by Garrett Celek)",-1.900,-1.000
1,12:25,1,10,ARI 31,0,0,Carson Palmer pass incomplete deep middle intended for JJ Nelson (defended by Jimmie Ward),1.000,0.460
1,12:18,2,10,ARI 31,0,0,David Johnson left tackle for 3 yards (tackle by Ahmad Brooks),0.460,0.170
1,11:39,3,7,ARI 34,0,0,"Carson Palmer pass complete short middle to JJ Nelson for 17 yards (tackle by Keith Reaser). JJ Nelson fumbles (forced by Keith Reaser), recovered by Antoine Bethea at SFO-46 and returned for 5 yards (tackle by JJ Nelson)",0.170,-2.320
1,11:29,1,10,ARI 49,0,0,Carlos Hyde right end for 4 yards (tackle by Kevin Minter),2.320,2.320
1,11:04,2,6,ARI 45,0,0,Colin Kaepernick pass complete short right to Vance McDonald for 4 yards (tackle by Deone Bucannon),2.320,2.150
1,10:44,3,2,ARI 41,0,0,Carlos Hyde right end for -5 yards (tackle by D.J. Swearinger),2.150,0.200
1,10:07,4,7,ARI 46,0,0,"Bradley Pinion punts 37 yards, fair catch by Patrick Peterson",0.200,0.380
1,9:59,1,10,ARI 9,0,0,David Johnson right end for no gain (tackle by Gerald Hodges),-0.380,-0.780
1,9:16,2,10,ARI 9,0,0,Carson Palmer pass complete deep right to Michael Floyd for 35 yards (tackle by Eric Reid),-0.780,1.860
1,8:47,1,10,ARI 44,0,0,David Johnson middle for 2 yards (tackle by Gerald Hodges and Ronald Blair),1.860,1.590
1,8:07,2,8,ARI 46,0,0,Carson Palmer pass complete short middle to David Johnson for 16 yards (tackle by Jimmie Ward),1.590,3.050
1,7:29,1,10,SFO 38,0,0,Carson Palmer pass complete deep right to Larry Fitzgerald for 18 yards (tackle by Antoine Bethea),3.050,4.240
1,6:44,1,10,SFO 20,0,0,Andre Ellington middle for 2 yards (tackle by Gerald Hodges),4.240,3.960
1,6:07,2,8,SFO 18,0,0,Carson Palmer pass complete short left to Larry Fitzgerald for 5 yards (tackle by Keith Reaser),3.960,4.100
1,5:26,3,3,SFO 13,0,0,Carson Palmer pass complete short middle to Larry Fitzgerald for 8 yards (tackle by Jimmie Ward),4.100,6.060
1,4:45,1,5,SFO 5,0,0,David Johnson middle for 2 yards (tackle by Antoine Bethea),6.060,5.530
1,4:04,2,3,SFO 3,0,0,Carson Palmer pass incomplete short right intended for Larry Fitzgerald,5.530,4.720
1,4:00,3,3,SFO 3,0,6,"Carson Palmer pass complete short left to David Johnson for 3 yards, touchdown",4.720,7.000
1,3:55,,,SFO 15,0,7,Chandler Catanzaro kicks extra point good,0.000,0.000
1,3:55,,,ARI 35,0,7,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.610
1,3:55,1,10,SFO 25,0,7,Colin Kaepernick pass complete short right to Jeremy Kerley for 6 yards (tackle by D.J. Swearinger),0.610,0.870
1,3:03,2,4,SFO 31,0,7,Colin Kaepernick pass complete short middle to Quinton Patton for -6 yards (tackle by Josh Mauro),0.870,-0.620
1,2:30,3,10,SFO 25,0,7,Colin Kaepernick pass complete short right to Torrey Smith for 5 yards (tackle by Patrick Peterson),-0.620,-1.370
1,2:02,4,5,SFO 30,0,7,"Bradley Pinion punts 47 yards, fair catch by John Brown",-1.370,-0.480
1,1:54,1,10,ARI 23,0,7,David Johnson right tackle for 2 yards (tackle by Ahmad Brooks),0.480,0.200
1,1:14,2,8,ARI 25,0,7,"Penalty on John Wetzel: False Start, 5 yards (no play)",0.200,-0.470
1,0:52,2,13,ARI 20,0,7,Carson Palmer pass complete short middle to Larry Fitzgerald for 8 yards (tackle by Antoine Bethea),-0.470,-0.100
1,0:14,3,5,ARI 28,0,7,Carson Palmer pass incomplete short middle intended for David Johnson,-0.100,-1.500
