Unnamed: 0,CHI,DET
First Downs,26,25
Rush-Yds-TDs,28-149-0,29-138-1
Cmp-Att-Yd-TD-INT,20-36-242-3-0,24-42-297-1-1
Sacked-Yards,1-28,1-9
Net Pass Yards,214,288
Total Yards,363,426
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,6-48,8-77
Third Down Conv.,2-11,6-16
Fourth Down Conv.,1-2,0-0
Time of Possession,29:05,30:55
