Quarter,Time,Tm,Detail,CHI,DET
1.0,6:30,Lions,Matt Prater 27 yard field goal,0,3
,1:30,Bears,Cairo Santos 35 yard field goal,3,3
2.0,5:33,Lions,Matt Prater 32 yard field goal,3,6
,2:02,Bears,Cairo Santos 28 yard field goal,6,6
,0:19,Lions,D'Andre Swift 1 yard rush (Matt Prater kick),6,13
3.0,10:37,Lions,T.J. Hockenson 4 yard pass from Matthew Stafford (Matt Prater kick),6,20
,3:19,Lions,Matt Prater 44 yard field goal,6,23
4.0,13:39,Bears,Jimmy Graham 2 yard pass from Mitchell Trubisky (Cairo Santos kick),13,23
,2:58,Bears,Javon Wims 1 yard pass from Mitchell Trubisky (Cairo Santos kick),20,23
,1:54,Bears,Anthony Miller 27 yard pass from Mitchell Trubisky (Cairo Santos kick),27,23
