Unnamed: 0,BAL,CIN
First Downs,20,6
Rush-Yds-TDs,43-147-0,16-57-0
Cmp-Att-Yd-TD-INT,20-30-312-3-0,12-33-124-0-1
Sacked-Yards,2-8,4-26
Net Pass Yards,304,98
Total Yards,451,155
Fumbles-Lost,2-0,2-0
Turnovers,0,1
Penalties-Yards,3-30,3-15
Third Down Conv.,8-17,2-15
Fourth Down Conv.,0-0,0-1
Time of Possession,38:58,21:02
