Quarter,Time,Tm,Detail,BAL,CIN
1.0,6:06,Ravens,Matt Stover 27 yard field goal,3,0
2.0,12:52,Ravens,Matt Stover 21 yard field goal,6,0
,3:06,Ravens,Todd Heap 4 yard pass from Joe Flacco (Matt Stover kick),13,0
,0:00,Bengals,Shayne Graham 21 yard field goal,13,3
3.0,8:12,Ravens,Derrick Mason 32 yard pass from Mark Clayton (Matt Stover kick),20,3
,5:53,Ravens,Mark Clayton 70 yard pass from Joe Flacco (Matt Stover kick),27,3
4.0,2:28,Ravens,Jim Leonhard 35 yard interception return (Matt Stover kick),34,3
