Quarter,Time,Down,ToGo,Location,DAL,JAX,Detail,EPB,EPA
2,7:49,2,5,DAL 5,14,6,"Trevor Lawrence pass complete short middle to Zay Jones for 5 yards, touchdown",5.150,7.000
2,7:45,,,DAL 15,14,7,Riley Patterson kicks extra point good,0.000,0.000
2,7:45,,,JAX 35,14,7,"Riley Patterson kicks off 69 yards, returned by KaVontae Turpin for 38 yards (tackle by Andre Cisco)",0.000,1.200
2,7:40,1,10,DAL 34,14,7,Dak Prescott pass complete short left to Ezekiel Elliott for 7 yards (tackle by Foyesade Oluokun),1.200,1.600
2,7:05,2,3,DAL 41,14,7,Ezekiel Elliott up the middle for 7 yards (tackle by Roy Robertson-Harris),1.600,2.130
2,6:36,1,10,DAL 48,14,7,Ezekiel Elliott right end for 5 yards (tackle by Rayshawn Jenkins),2.130,2.260
2,6:08,2,5,JAX 47,14,7,Dak Prescott pass complete short right to Dalton Schultz for 6 yards (tackle by Rayshawn Jenkins),2.260,2.850
2,5:26,1,10,JAX 41,14,7,Tony Pollard right guard for 8 yards (tackle by Devin Lloyd),2.850,3.390
2,5:01,2,2,JAX 33,14,7,Dak Prescott sacked by Josh Allen for -2 yards,3.390,2.410
2,4:22,3,4,JAX 35,14,7,Dak Prescott pass complete short middle to Noah Brown for 14 yards (tackle by Tre Herndon),2.410,4.170
2,3:40,1,10,JAX 21,14,7,Tony Pollard left guard for 8 yards (tackle by Rayshawn Jenkins),4.170,4.950
2,3:04,2,2,JAX 13,14,7,Dak Prescott left end for 12 yards (tackle by Foyesade Oluokun and Tyson Campbell),4.950,6.970
2,2:18,1,1,JAX 1,14,7,Tony Pollard up the middle for no gain (tackle by Foyesade Oluokun),6.970,5.910
2,2:00,2,1,JAX 1,20,7,"Dak Prescott pass complete short middle to Noah Brown for 1 yard, touchdown",5.910,7.000
2,1:55,,,JAX 15,21,7,Brett Maher kicks extra point good,0.000,0.000
2,1:55,,,DAL 35,21,7,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
2,1:55,1,10,JAX 25,21,7,Trevor Lawrence pass incomplete deep right intended for Evan Engram,0.610,0.060
2,1:51,2,10,JAX 25,21,7,"Penalty on Evan Engram: False Start, 5 yards (accepted) (no play)",0.060,-0.610
2,1:51,2,15,JAX 20,21,7,Trevor Lawrence pass complete short right to Evan Engram for 6 yards (tackle by Malik Hooker),-0.610,-0.490
2,1:43,3,9,JAX 26,21,7,Trevor Lawrence pass incomplete deep middle intended for Christian Kirk,-0.490,-1.630
2,1:38,4,9,JAX 26,21,7,"Logan Cooke punts 51 yards, fair catch by KaVontae Turpin at DAL-23",-1.630,-0.480
2,1:31,1,10,DAL 23,21,7,Dak Prescott pass complete short left to Tony Pollard for 11 yards (tackle by Rayshawn Jenkins),0.480,1.200
2,1:25,1,10,DAL 34,21,7,Dak Prescott pass complete short right to CeeDee Lamb for 3 yards (tackle by Foyesade Oluokun),1.200,1.060
2,1:06,2,7,DAL 37,21,7,Dak Prescott pass complete short middle to Tony Pollard for 6 yards (tackle by Foyesade Oluokun and Devin Lloyd),1.060,1.160
2,0:59,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,0:59,3,1,DAL 43,21,7,Tony Pollard left end for -7 yards (tackle by Foyesade Oluokun),1.160,-0.980
2,0:53,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,0:53,4,8,DAL 36,21,7,Bryan Anger punts 50 yards downed by Nahshon Wright,-0.980,0.280
2,0:41,1,10,JAX 14,21,7,Trevor Lawrence scrambles left end for 7 yards (tackle by Jayron Kearse),-0.280,0.280
2,0:22,2,3,JAX 21,21,7,Trevor Lawrence pass complete short left to Zay Jones for 14 yards (tackle by Trevon Diggs and Anthony Barr),0.280,1.270
2,0:16,,,,,,Timeout #3 by Jacksonville Jaguars,,
2,0:16,,,,,,Timeout #1 by Dallas Cowboys,,
2,0:16,1,10,JAX 35,21,7,Trevor Lawrence pass incomplete short left intended for Travis Etienne,1.270,0.720
2,0:10,2,10,JAX 35,21,7,Trevor Lawrence pass incomplete deep right intended for Marvin Jones,0.720,0.040
2,0:06,3,10,JAX 35,21,7,Travis Etienne up the middle for 15 yards (tackle by Damone Clark),0.040,2.260
Quarter,Time,Down,ToGo,Location,DAL,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,21,7,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,JAX 25,21,7,Travis Etienne left end for no gain (tackle by Carlos Watkins and Sam Williams),0.610,0.060
3,14:27,2,10,JAX 25,21,7,Trevor Lawrence pass complete short middle to Evan Engram for 9 yards (tackle by Trevon Diggs),0.060,0.560
3,13:51,3,1,JAX 34,21,7,Trevor Lawrence left guard for 3 yards (tackle by Anthony Barr),0.560,1.400
3,13:17,1,10,JAX 37,21,7,Trevor Lawrence pass complete deep left to Christian Kirk for 30 yards (tackle by Anthony Barr),1.400,3.380
3,12:42,1,10,DAL 33,21,7,Trevor Lawrence pass complete short right to Evan Engram for 5 yards (tackle by Kelvin Joseph),3.380,3.510
3,12:11,2,5,DAL 28,21,7,Travis Etienne left guard for 9 yards (tackle by DaRon Bland),3.510,4.310
3,11:31,1,10,DAL 19,21,7,Trevor Lawrence pass incomplete deep left intended for Zay Jones,4.310,3.750
3,11:25,2,10,DAL 19,21,7,Trevor Lawrence pass complete short right to Christian Kirk for 5 yards (tackle by DaRon Bland),3.750,3.760
3,10:49,3,5,DAL 14,21,7,Trevor Lawrence pass incomplete short middle intended for Jamal Agnew,3.760,2.560
3,10:40,4,5,DAL 14,21,10,Riley Patterson 33 yard field goal good,2.560,3.000
3,10:35,,,JAX 35,21,10,"Riley Patterson kicks off 65 yards, touchback.",0.000,0.610
3,10:35,1,10,DAL 25,21,10,Ezekiel Elliott left guard for 2 yards (tackle by Foyesade Oluokun and Rayshawn Jenkins),0.610,0.330
3,10:03,2,8,DAL 27,21,10,Dak Prescott pass incomplete short middle intended for Dalton Schultz (defended by DaVon Hamilton),0.330,-0.360
3,10:01,3,8,DAL 27,21,10,Dak Prescott pass complete short middle to CeeDee Lamb for 39 yards (tackle by Devin Lloyd),-0.360,3.310
3,9:31,1,10,JAX 34,21,10,Dak Prescott pass complete deep left to CeeDee Lamb for 22 yards (tackle by Tre Herndon),3.310,4.780
3,8:52,1,10,JAX 12,21,10,Ezekiel Elliott up the middle for 8 yards (tackle by Rayshawn Jenkins and Andre Cisco),4.780,5.600
3,8:27,2,2,JAX 4,21,10,Ezekiel Elliott right guard for -2 yards (tackle by Dawuane Smoot and Rayshawn Jenkins),5.600,4.380
3,7:47,3,4,JAX 6,21,10,Dak Prescott pass incomplete short left intended for Michael Gallup,4.380,3.000
3,7:39,4,4,JAX 6,24,10,Brett Maher 24 yard field goal good,3.000,3.000
3,7:36,,,DAL 35,24,10,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
3,7:36,1,10,JAX 25,24,10,Trevor Lawrence pass complete short left to Evan Engram for 9 yards (tackle by Damone Clark and Malik Hooker),0.610,1.280
3,7:14,2,1,JAX 34,24,10,Snoop Conner up the middle for 3 yards (tackle by DaRon Bland and Damone Clark),1.280,1.400
3,6:40,1,10,JAX 37,24,10,Trevor Lawrence pass incomplete short left,1.400,0.860
3,6:35,2,10,JAX 37,24,10,Trevor Lawrence pass deep middle intended for Christian Kirk is intercepted by DaRon Bland at DAL-43 and returned for 15 yards (tackle by Snoop Conner),0.860,-2.790
3,6:27,1,10,JAX 42,24,10,Tony Pollard right guard for -2 yards (tackle by Dawuane Smoot and Foyesade Oluokun),2.790,1.970
3,6:07,2,12,JAX 44,24,10,Dak Prescott pass complete short right to Dalton Schultz for 9 yards (tackle by Rayshawn Jenkins and Darious Williams),1.970,2.480
3,5:32,3,3,JAX 35,24,10,Dak Prescott pass incomplete deep right intended for Tony Pollard (defended by Dawuane Smoot),2.480,0.990
3,5:26,4,3,JAX 35,27,10,Brett Maher 53 yard field goal good,0.990,3.000
3,5:21,,,DAL 35,27,10,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
3,5:21,1,10,JAX 25,27,10,Travis Etienne up the middle for 6 yards (tackle by Neville Gallimore and Damone Clark),0.610,0.870
3,4:46,2,4,JAX 31,27,10,Travis Etienne left end for 10 yards (tackle by Trevon Diggs),0.870,1.660
3,4:07,1,10,JAX 41,27,16,"Trevor Lawrence pass complete deep right to Zay Jones for 59 yards, touchdown. Penalty on Trevon Diggs: Defensive Holding, 5 yards (declined)",1.660,7.000
3,3:57,,,DAL 15,27,17,Riley Patterson kicks extra point good,0.000,0.000
3,3:57,,,JAX 35,27,17,"Riley Patterson kicks off 64 yards, returned by KaVontae Turpin for 15 yards (tackle by Shaquille Quarterman)",0.000,-0.140
3,3:51,1,10,DAL 16,27,17,Dak Prescott sacked by Arden Key for -8 yards,-0.140,-1.360
3,3:03,2,18,DAL 8,27,17,"Dak Prescott pass deep middle intended for Dalton Schultz is intercepted by Rayshawn Jenkins at DAL-31 and returned for 2 yards (tackle by Tyler Biadasz). Penalty on Devin Lloyd: Illegal Block Above the Waist, 10 yards (accepted)",-1.360,-2.980
3,2:53,1,10,DAL 39,27,17,Jamal Agnew right end for 30 yards (tackle by Donovan Wilson),2.980,5.140
3,2:13,1,9,DAL 9,27,17,Travis Etienne right guard for -1 yards (tackle by Jayron Kearse and Damone Clark),5.140,4.190
3,1:36,2,10,DAL 10,27,17,Trevor Lawrence pass incomplete short right intended for Evan Engram (defended by Jayron Kearse),4.190,3.130
3,1:28,3,10,DAL 10,27,23,"Trevor Lawrence pass complete short right to Marvin Jones for 10 yards, touchdown",3.130,7.000
3,1:23,,,DAL 15,27,24,Riley Patterson kicks extra point good,0.000,0.000
3,1:23,,,JAX 35,27,24,"Riley Patterson kicks off 63 yards, returned by KaVontae Turpin for 17 yards (tackle by Chad Muma)",0.000,0.150
3,1:15,1,10,DAL 19,27,24,Ezekiel Elliott left end for 5 yards (tackle by Rayshawn Jenkins),0.150,0.340
3,0:44,2,5,DAL 24,27,24,Ezekiel Elliott up the middle for -2 yards (tackle by Josh Allen),0.340,-0.680
Quarter,Time,Down,ToGo,Location,DAL,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,7,DAL 22,27,24,Dak Prescott scrambles right end for 1 yard (tackle by Roy Robertson-Harris),-0.680,-1.830
4,14:24,4,6,DAL 23,27,24,"Bryan Anger punts 52 yards, fair catch by Jamal Agnew at JAC-25",-1.830,-0.610
4,14:17,1,10,JAX 25,27,24,Travis Etienne up the middle for 16 yards (tackle by Malik Hooker),0.610,1.660
4,13:45,1,10,JAX 41,27,24,Travis Etienne up the middle for 5 yards (tackle by Damone Clark),1.660,1.800
4,13:13,2,5,JAX 46,27,24,Trevor Lawrence pass complete deep left to Christian Kirk for 27 yards (tackle by DaRon Bland),1.800,3.780
4,12:31,1,10,DAL 27,27,24,Travis Etienne right guard for 6 yards (tackle by Nahshon Wright),3.780,4.040
4,11:51,2,4,DAL 21,27,24,Jamycal Hasty left end for 13 yards (tackle by Malik Hooker),4.040,5.370
4,11:09,1,8,DAL 8,27,24,Travis Etienne right guard for 3 yards (tackle by Donovan Wilson),5.370,5.150
4,10:47,2,5,DAL 5,27,24,Travis Etienne up the middle for 2 yards (tackle by Damone Clark and Quinton Bohanna),5.150,4.720
4,10:07,3,3,DAL 3,27,30,"Trevor Lawrence pass complete short middle to Zay Jones for 3 yards, touchdown",4.720,7.000
4,10:03,,,DAL 15,27,31,Riley Patterson kicks extra point good,0.000,0.000
4,10:03,,,JAX 35,27,31,"Riley Patterson kicks off 65 yards, touchback.",0.000,0.610
4,10:03,1,10,DAL 25,27,31,Dak Prescott pass complete short right to CeeDee Lamb for 25 yards (tackle by Tyson Campbell),0.610,2.260
4,9:28,1,10,DAL 50,27,31,Tony Pollard up the middle for 5 yards (tackle by DaVon Hamilton),2.260,2.390
4,8:56,2,5,JAX 45,27,31,Dak Prescott left end for 4 yards (tackle by Rayshawn Jenkins),2.390,2.210
4,8:27,3,1,JAX 41,27,31,Dak Prescott up the middle for 1 yard (tackle by Roy Robertson-Harris),2.210,2.920
4,7:45,1,10,JAX 40,27,31,Tony Pollard up the middle for 6 yards (tackle by Devin Lloyd),2.920,3.180
4,7:13,2,4,JAX 34,27,31,Tony Pollard up the middle for 3 yards (tackle by Adam Gotsis and Rayshawn Jenkins),3.180,2.870
4,6:40,3,1,JAX 31,27,31,Dak Prescott up the middle for 2 yards (tackle by Foyesade Oluokun),2.870,3.640
4,6:05,1,10,JAX 29,27,31,Ezekiel Elliott left end for 5 yards (tackle by Foyesade Oluokun and Dawuane Smoot),3.640,3.780
4,5:32,2,5,JAX 24,27,31,Dak Prescott pass complete short right to Michael Gallup for 2 yards (tackle by Tre Herndon),3.780,3.340
4,4:50,3,3,JAX 22,27,31,Dak Prescott pass complete short left to Tony Pollard for 5 yards (tackle by Foyesade Oluokun),3.340,4.440
4,4:22,1,10,JAX 17,27,31,Tony Pollard up the middle for no gain (tackle by DaVon Hamilton),4.440,3.850
4,3:40,2,10,JAX 17,27,31,Dak Prescott pass complete short left to Noah Brown for 4 yards (tackle by Tyson Campbell),3.850,3.680
4,3:07,3,6,JAX 13,33,31,"Dak Prescott pass complete short left to Noah Brown for 13 yards, touchdown",3.680,7.000
4,3:02,,,JAX 15,34,31,Brett Maher kicks extra point good,0.000,0.000
4,3:02,,,DAL 35,34,31,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
4,3:02,1,10,JAX 25,34,31,Trevor Lawrence pass complete short middle to Evan Engram for 5 yards (tackle by Damone Clark),0.610,0.740
4,2:30,2,5,JAX 30,34,31,Trevor Lawrence pass complete short right to Christian Kirk for 7 yards (tackle by DaRon Bland),0.740,1.400
4,2:07,1,10,JAX 37,34,31,Trevor Lawrence pass incomplete short left intended for Marvin Jones,1.400,0.860
4,2:01,2,10,JAX 37,34,31,Trevor Lawrence pass complete short right to Jamal Agnew for 5 yards (tackle by Jayron Kearse),0.860,0.830
4,1:55,3,5,JAX 42,34,31,Trevor Lawrence pass complete short middle to Christian Kirk for 8 yards (tackle by Trevon Diggs and Nahshon Wright),0.830,2.260
4,1:34,1,10,DAL 50,34,31,"Trevor Lawrence scrambles left end for 11 yards. Trevor Lawrence fumbles (forced by Jayron Kearse), recovered by Micah Parsons at DAL-38 (tackle by Trevor Lawrence)",2.260,-1.470
4,1:28,1,10,DAL 38,34,31,Ezekiel Elliott left end for -3 yards (tackle by Dawuane Smoot),1.470,0.520
4,1:25,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,1:25,2,13,DAL 35,34,31,Tony Pollard right end for 3 yards (tackle by Corey Peters),0.520,0.230
4,1:20,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,1:20,3,10,DAL 38,34,31,Dak Prescott pass incomplete deep left intended for Noah Brown (defended by Darious Williams),0.230,-0.850
4,1:13,4,10,DAL 38,34,31,"Bryan Anger punts 46 yards, returned by Jamal Agnew for 13 yards (tackle by C.J. Goodwin)",-0.850,-0.870
4,1:01,1,10,JAX 29,34,31,Trevor Lawrence pass incomplete deep middle intended for Marvin Jones,0.870,0.330
4,0:56,2,10,JAX 29,34,31,Trevor Lawrence pass incomplete deep right intended for Zay Jones,0.330,-0.360
4,0:50,3,10,JAX 29,34,31,"Trevor Lawrence pass complete short right to Christian Kirk for 15 yards (tackle by Nahshon Wright) Replay Assistant challenged the pass completion ruling, and the play was upheld.",-0.360,1.860
4,0:24,1,10,JAX 44,34,31,Trevor Lawrence pass complete short right to Jamycal Hasty for 2 yards (tackle by Jayron Kearse),1.860,1.590
4,0:17,2,8,JAX 46,34,31,"Trevor Lawrence pass complete short right to Evan Engram for 5 yards (tackle by Jayron Kearse) Replay Assistant challenged the runner was in bounds ruling, and the original play was overturned. Trevor Lawrence pass complete short right to Evan Engram for 5 yards (tackle by Jayron Kearse)",1.590,1.550
4,0:12,,,,,,Timeout #1 by Dallas Cowboys,,
4,0:12,3,3,DAL 49,34,31,Trevor Lawrence pass complete short left to Zay Jones for 19 yards (tackle by Trevon Diggs),1.550,3.580
4,0:05,,,,,,Timeout #3 by Jacksonville Jaguars,,
4,0:05,,,,,,Timeout #2 by Dallas Cowboys,,
4,0:05,1,10,DAL 30,34,34,Riley Patterson 48 yard field goal good,3.580,3.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,DAL,JAX,Detail,EPB,EPA
,,,,,,,"Jaguars won the coin toss, Jaguars to receive the overtime kickoff.",,
OT,10:00,,,DAL 35,34,34,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
OT,10:00,1,10,JAX 25,34,34,Travis Etienne up the middle for 1 yard (tackle by DeMarcus Lawrence),0.610,0.200
OT,9:24,2,9,JAX 26,34,34,Trevor Lawrence pass incomplete short middle intended for Marvin Jones,0.200,-0.490
OT,9:20,3,9,JAX 26,34,34,"Penalty on Jawaan Taylor: False Start, 5 yards (accepted) (no play)",-0.490,-1.150
OT,9:20,3,14,JAX 21,34,34,Trevor Lawrence pass complete short right to Travis Etienne for 11 yards (tackle by Nahshon Wright),-1.150,-1.240
OT,8:56,4,3,JAX 32,34,34,"Logan Cooke punts 48 yards, fair catch by KaVontae Turpin at DAL-20",-1.240,-0.280
OT,8:48,1,10,DAL 20,34,34,Tony Pollard left end for 21 yards (tackle by Devin Lloyd),0.280,1.660
OT,8:14,1,10,DAL 41,34,34,Tony Pollard left tackle for 6 yards (tackle by Tyson Campbell),1.660,1.930
OT,7:38,2,4,DAL 47,34,34,Tony Pollard up the middle for no gain (tackle by Rayshawn Jenkins),1.930,1.220
OT,7:04,3,4,DAL 47,34,40,"Dak Prescott pass short left intended for Noah Brown is intercepted by Rayshawn Jenkins at JAC-48 and returned for 52 yards, touchdown",1.220,-6.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
