Unnamed: 0,DAL,JAX
First Downs,24,26
Rush-Yds-TDs,41-154-1,27-192-0
Cmp-Att-Yd-TD-INT,23-30-256-3-2,27-42-318-4-1
Sacked-Yards,3-13,1-7
Net Pass Yards,243,311
Total Yards,397,503
Fumbles-Lost,0-0,2-2
Turnovers,2,3
Penalties-Yards,2-18,4-37
Third Down Conv.,9-16,8-12
Fourth Down Conv.,0-0,0-0
Time of Possession,35:26,27:42
