Quarter,Time,Down,ToGo,Location,DAL,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Eddy Pineiro kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,DAL 25,0,0,Ezekiel Elliott left tackle for 4 yards (tackle by Nick Kwiatkoski),0.610,0.600
1,14:25,2,6,DAL 29,0,0,Ezekiel Elliott right guard for 3 yards (tackle by Kyle Fuller),0.600,0.300
1,13:49,3,3,DAL 32,0,0,Dak Prescott pass complete short right to Randall Cobb for 8 yards (tackle by Nick Kwiatkoski),0.300,1.600
1,13:13,1,10,DAL 40,0,0,Dak Prescott pass incomplete short left intended for Michael Gallup,1.600,1.050
1,13:07,2,10,DAL 40,0,0,Ezekiel Elliott left tackle for 9 yards (tackle by Ha Ha Clinton-Dix and Nick Kwiatkoski),1.050,1.550
1,12:30,3,1,DAL 49,0,0,Ezekiel Elliott right guard for 2 yards (tackle by Kyle Fuller),1.550,2.320
1,11:57,1,10,CHI 49,0,0,Dak Prescott pass complete short right to Blake Jarwin for 12 yards (tackle by Nick Kwiatkoski),2.320,3.120
1,11:14,1,10,CHI 37,0,0,Ezekiel Elliott left end for 4 yards (tackle by Roquan Smith),3.120,3.110
1,10:37,2,6,CHI 33,0,0,Ezekiel Elliott left end for 8 yards (tackle by Kevin Toliver),3.110,3.910
1,9:58,1,10,CHI 25,0,0,Dak Prescott sacked by Eddie Jackson for -1 yards,3.910,3.230
1,9:19,2,11,CHI 26,0,0,Dak Prescott pass incomplete short right intended for Michael Gallup (defended by Kyle Fuller),3.230,2.540
1,9:16,3,11,CHI 26,0,0,Dak Prescott pass complete short right to Blake Jarwin for 12 yards (tackle by Roquan Smith and Kyle Fuller),2.540,4.650
1,8:41,,,,,,Timeout #1 by Chicago Bears,,
1,8:41,1,10,CHI 14,0,0,Dak Prescott left end for 1 yard (tackle by Brent Urban),4.650,4.160
1,8:00,2,9,CHI 13,0,0,Ezekiel Elliott right guard for 1 yard (tackle by Nick Kwiatkoski),4.160,3.430
1,7:20,3,8,CHI 12,0,0,Dak Prescott pass complete short middle to Michael Gallup for 9 yards (tackle by Ha Ha Clinton-Dix),3.430,6.510
1,6:45,1,3,CHI 3,0,0,Dak Prescott right end for 1 yard (tackle by Kyle Fuller),6.510,5.720
1,6:07,2,2,CHI 2,6,0,"Ezekiel Elliott left guard for 2 yards, touchdown",5.720,7.000
1,6:03,,,CHI 15,7,0,Brett Maher kicks extra point good,0.000,0.000
1,6:03,,,DAL 35,7,0,"Brett Maher kicks off 63 yards, returned by Cordarrelle Patterson for 32 yards (tackle by Luke Gifford and Darian Thompson)",0.000,1.200
1,5:54,1,10,CHI 34,7,0,Mitchell Trubisky pass complete short right to J.P. Holtz for 7 yards (tackle by Jaylon Smith),1.200,1.600
1,5:19,2,3,CHI 41,7,0,Mitchell Trubisky right end for 5 yards (tackle by Darian Thompson),1.600,1.990
1,4:48,1,10,CHI 46,7,0,Tarik Cohen left guard for 2 yards (tackle by DeMarcus Lawrence),1.990,1.720
1,4:12,2,8,CHI 48,7,0,Mitchell Trubisky pass complete short right to J.P. Holtz for 19 yards (tackle by Byron Jones),1.720,3.380
1,3:35,1,10,DAL 33,7,0,David Montgomery left tackle for 1 yard (tackle by Kerry Hyder and Dorance Armstrong),3.380,2.970
1,2:57,2,9,DAL 32,7,0,Mitchell Trubisky left guard for 13 yards (tackle by Sean Lee),2.970,4.310
1,2:11,1,10,DAL 19,7,0,Mitchell Trubisky pass complete short middle to Tarik Cohen for 3 yards (tackle by Byron Jones),4.310,4.180
1,1:42,2,7,DAL 16,7,0,Mitchell Trubisky pass short left intended for Javon Wims is intercepted by Jourdan Lewis at DAL-1 and returned for no gain,4.180,0.380
1,1:36,1,10,DAL 1,7,0,Ezekiel Elliott left guard for 1 yard (tackle by Bilal Nichols),-0.380,-0.710
1,0:57,2,9,DAL 2,7,0,Dak Prescott pass complete short right to Jason Witten for 4 yards (tackle by Kevin Pierre-Louis),-0.710,-0.840
1,0:29,3,5,DAL 6,7,0,Dak Prescott pass incomplete short right intended for Michael Gallup (defended by Kyle Fuller),-0.840,-2.490
1,0:25,4,5,DAL 6,7,0,Chris Jones punts 45 yards downed by C.J. Goodwin,-2.490,-2.190
1,0:17,1,10,CHI 49,7,0,David Montgomery right tackle for 6 yards (tackle by Chidobe Awuzie and Darian Thompson),2.190,2.460
Quarter,Time,Down,ToGo,Location,DAL,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,DAL 45,7,0,Mitchell Trubisky sacked by Darian Thompson for -5 yards,2.460,1.090
2,14:20,3,9,CHI 50,7,0,"Mitchell Trubisky pass incomplete short right intended for Allen Robinson. Penalty on DeMarcus Lawrence: Defensive Offside, 5 yards (no play)",1.090,1.750
2,14:16,3,4,DAL 45,7,0,Mitchell Trubisky pass complete short left to Tarik Cohen for 6 yards (tackle by Joe Thomas),1.750,2.980
2,13:46,1,10,DAL 39,7,0,Mitchell Trubisky pass complete short left to J.P. Holtz for 30 yards (tackle by Byron Jones),2.980,5.140
2,13:02,1,9,DAL 9,7,0,David Montgomery left guard for 4 yards (tackle by Dorance Armstrong and Sean Lee),5.140,5.150
2,12:17,2,5,DAL 5,7,6,"Mitchell Trubisky pass complete short left to Allen Robinson for 5 yards, touchdown",5.150,7.000
2,12:13,,,DAL 15,7,7,Eddy Pineiro kicks extra point good,0.000,0.000
2,12:13,,,CHI 35,7,7,"Eddy Pineiro kicks off 65 yards, touchback.",0.000,0.610
2,12:13,1,10,DAL 25,7,7,Ezekiel Elliott left end for 1 yard (tackle by Kevin Toliver and Bilal Nichols),0.610,0.200
2,11:35,2,9,DAL 26,7,7,Dak Prescott pass incomplete short right intended for Randall Cobb,0.200,-0.490
2,11:30,3,9,DAL 26,7,7,Dak Prescott pass incomplete short middle intended for Randall Cobb,-0.490,-1.630
2,11:25,4,9,DAL 26,7,7,"Chris Jones punts 41 yards, returned by Tarik Cohen for 13 yards (tackle by Joe Thomas)",-1.630,-1.990
2,11:15,1,10,CHI 46,7,7,David Montgomery left end for 11 yards (tackle by Jaylon Smith),1.990,2.720
2,10:44,1,10,DAL 43,7,7,David Montgomery left guard for 20 yards (tackle by Xavier Woods),2.720,4.040
2,10:01,1,10,DAL 23,7,7,David Montgomery right guard for no gain (tackle by Robert Quinn),4.040,3.500
2,9:20,2,10,DAL 23,7,7,Mitchell Trubisky pass incomplete deep left intended for Allen Robinson,3.500,2.810
2,9:15,3,10,DAL 23,7,7,"Mitchell Trubisky pass complete short middle to Anthony Miller for 7 yards (tackle by Xavier Woods). Penalty on Javon Wims: Illegal Block Above the Waist, 10 yards",2.810,2.410
2,8:48,3,13,DAL 26,7,7,Mitchell Trubisky pass complete short left to Jesper Horsted for 8 yards (tackle by Byron Jones and Jourdan Lewis),2.410,2.300
