Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Blake Jarwin,DAL,7,6,50,0,4,48,8.0,2,0.3,12.1,0,,0,0.0,0,96.4
Amari Cooper,DAL,8,6,83,1,4,77,12.8,6,1.0,12.8,0,,0,0.0,0,147.4
Michael Gallup,DAL,10,6,109,0,5,86,14.3,23,3.8,11.0,2,3.0,1,10.0,0,97.5
Jason Witten,DAL,7,5,37,0,2,30,6.0,7,1.4,5.3,0,,0,0.0,0,83.6
Randall Cobb,DAL,5,2,43,0,2,27,13.5,16,8.0,13.4,1,2.0,0,0.0,0,71.2
Ezekiel Elliott,DAL,5,2,12,0,0,4,2.0,8,4.0,1.2,0,,0,0.0,0,47.9
Jamize Olawale,DAL,1,0,0,0,,0,,0,,3.0,0,,0,0.0,0,39.6
Cedrick Wilson Jr.,DAL,1,0,0,0,,0,,0,,38.0,0,,0,0.0,0,39.6
Tavon Austin,DAL,2,0,0,0,,0,,0,,10.5,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Tarik Cohen,CHI,6,6,24,0,1,1,0.2,23,3.8,0.2,0,,0,0.0,0,83.3
Allen Robinson,CHI,8,5,48,2,4,38,7.6,10,2.0,13.0,0,,0,0.0,0,118.7
Jesper Horsted,CHI,4,4,36,0,2,19,4.8,17,4.3,4.8,0,,0,0.0,0,104.2
J.P. Holtz,CHI,3,3,56,0,2,15,5.0,41,13.7,5.0,1,3.0,0,0.0,0,118.7
Anthony Miller,CHI,4,3,42,1,2,15,5.0,27,9.0,6.0,3,1.0,0,0.0,0,147.9
Cordarrelle Patterson,CHI,1,1,33,0,1,1,1.0,32,32.0,1.0,2,0.5,0,0.0,0,118.7
Riley Ridley,CHI,1,1,5,0,,5,5.0,0,0.0,5.0,0,,0,0.0,0,87.5
David Montgomery,CHI,1,0,0,0,0,0,,0,,-1.0,0,,0,0.0,0,39.6
Javon Wims,CHI,3,0,0,0,,0,,0,,10.3,0,,0,0.0,1,0.0
