Quarter,Time,Tm,Detail,DAL,CHI
1.0,6:03,Cowboys,Ezekiel Elliott 2 yard rush (Brett Maher kick),7,0
2.0,12:13,Bears,Allen Robinson 5 yard pass from Mitchell Trubisky (Eddy Pineiro kick),7,7
,8:06,Bears,Eddy Pineiro 36 yard field goal,7,10
,0:10,Bears,Allen Robinson 8 yard pass from Mitchell Trubisky (Eddy Pineiro kick),7,17
3.0,8:18,Bears,Anthony Miller 14 yard pass from Mitchell Trubisky (Eddy Pineiro kick),7,24
4.0,14:55,Cowboys,Ezekiel Elliott 2 yard rush (Brett Maher kick),14,24
,13:22,Bears,Mitchell Trubisky 23 yard rush (Eddy Pineiro kick),14,31
,4:29,Cowboys,Amari Cooper 19 yard pass from Dak Prescott (Brett Maher kick),21,31
,0:08,Cowboys,Brett Maher 31 yard field goal,24,31
