Unnamed: 0,CAR,TAM
First Downs,22,25
Rush-Yds-TDs,22-74-0,25-67-1
Cmp-Att-Yd-TD-INT,23-37-341-3-1,34-45-432-3-0
Sacked-Yards,2-15,3-21
Net Pass Yards,326,411
Total Yards,400,478
Fumbles-Lost,6-2,1-1
Turnovers,3,1
Penalties-Yards,8-58,8-51
Third Down Conv.,4-11,4-15
Fourth Down Conv.,1-2,2-2
Time of Possession,26:50,33:10
