Quarter,Time,Tm,Detail,NWE,NYJ
1.0,8:33,Jets,Sergio Castillo 35 yard field goal,0,3
,3:34,Patriots,Cam Newton 5 yard rush (Nick Folk kick),7,3
2.0,9:59,Jets,Breshad Perriman 50 yard pass from Joe Flacco (Sergio Castillo kick),7,10
,4:33,Jets,Sergio Castillo 50 yard field goal,7,13
,1:03,Patriots,Nick Folk 45 yard field goal,10,13
,0:25,Jets,Jamison Crowder 20 yard pass from Joe Flacco (Sergio Castillo kick),10,20
3.0,7:27,Patriots,Rex Burkhead 1 yard rush (Nick Folk kick),17,20
,0:30,Jets,Breshad Perriman 15 yard pass from Joe Flacco (Sergio Castillo kick),17,27
4.0,6:04,Patriots,Nick Folk 29 yard field goal,20,27
,1:57,Patriots,Cam Newton 1 yard rush (Nick Folk kick),27,27
,0:00,Patriots,Nick Folk 51 yard field goal,30,27
