Quarter,Time,Tm,Detail,NWE,DEN
1.0,12:27,Patriots,Stephen Gostkowski 45 yard field goal,3,0
,6:58,Broncos,Brandon McManus 33 yard field goal,3,3
2.0,11:01,Patriots,LeGarrette Blount 1 yard rush (Stephen Gostkowski kick),10,3
3.0,5:28,Patriots,Stephen Gostkowski 40 yard field goal,13,3
4.0,8:16,Patriots,Stephen Gostkowski 21 yard field goal,16,3
