Unnamed: 0,DET,CHI
First Downs,22,17
Rush-Yds-TDs,26-138-2,22-64-0
Cmp-Att-Yd-TD-INT,22-39-243-0-2,23-39-181-2-1
Sacked-Yards,4-14,2-11
Net Pass Yards,229,170
Total Yards,367,234
Fumbles-Lost,2-1,0-0
Turnovers,3,1
Penalties-Yards,7-60,5-86
Third Down Conv.,5-13,5-15
Fourth Down Conv.,2-2,1-3
Time of Possession,31:56,28:04
