Quarter,Time,Tm,Detail,DET,CHI
1.0,5:15,Lions,Reggie Bush 13 yard rush (Matt Prater kick),7,0
2.0,0:30,Bears,Matt Forte 11 yard pass from Jimmy Clausen (Jay Feely kick),7,7
3.0,10:24,Lions,Matt Prater 39 yard field goal,10,7
,2:45,Bears,Alshon Jeffery 20 yard pass from Jimmy Clausen (Jay Feely kick),10,14
4.0,7:15,Lions,Joique Bell 17 yard rush (Matt Prater kick),17,14
,2:35,Lions,Matt Prater 30 yard field goal,20,14
