Quarter,Time,Down,ToGo,Location,SDG,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,SDG 35,0,0,"Nick Novak kicks off 68 yards, returned by Stefan Logan for 29 yards (tackle by Bront Bird)",0.000,0.670
1,14:54,1,10,DET 26,0,0,Matthew Stafford pass complete deep right to Calvin Johnson for 46 yards (tackle by Steve Gregory),0.670,3.710
1,14:11,1,10,SDG 28,0,0,Kevin Smith right tackle for 1 yard (tackle by Antwan Barnes and Cam Thomas),3.710,3.300
1,13:48,2,9,SDG 27,0,0,Matthew Stafford pass complete short right to Brandon Pettigrew for 10 yards (tackle by Na'il Diggs),3.300,4.440
1,13:12,1,10,SDG 17,0,0,Matthew Stafford sacked by Vaughn Martin for -1 yards,4.440,3.720
1,12:41,,,,0,0,Timeout #1 by Detroit Lions,0.000,3.720
1,12:41,2,11,SDG 18,0,0,Matthew Stafford pass complete short left to Nate Burleson for 10 yards (tackle by Quentin Jammer),3.720,4.800
1,12:08,3,1,SDG 8,0,0,Matthew Stafford up the middle for 3 yards (tackle by Eric Weddle),4.800,6.060
1,11:38,1,5,SDG 5,0,0,Matthew Stafford pass incomplete short middle intended for Nate Burleson,6.060,5.150
1,11:34,2,5,SDG 5,0,0,Kevin Smith up the middle for -2 yards (tackle by Cam Thomas),5.150,3.810
1,10:57,3,7,SDG 7,0,6,"Matthew Stafford pass complete short left to Brandon Pettigrew for 7 yards, touchdown",3.810,7.000
1,,,,SDG 2,0,7,Jason Hanson kicks extra point good,0.000,0.000
1,,,,DET 35,0,7,"Jason Hanson kicks off 65 yards, touchback",0.000,0.280
1,10:52,1,10,SDG 20,0,7,Philip Rivers pass complete short right to Ryan Mathews for 1 yard (tackle by Justin Durant),0.280,-0.130
1,10:15,2,9,SDG 21,0,7,Ryan Mathews right tackle for 2 yards (tackle by Justin Durant),-0.130,-0.560
1,9:32,3,7,SDG 23,0,7,Philip Rivers pass complete short middle to Antonio Gates for 16 yards (tackle by DeAndre Levy),-0.560,1.530
1,8:48,1,10,SDG 39,0,7,Philip Rivers pass complete short left to Ryan Mathews for 7 yards (tackle by Justin Durant and DeAndre Levy),1.530,1.930
1,8:03,2,3,SDG 46,0,7,Mike Tolbert right tackle for 2 yards (tackle by Stephen Tulloch),1.930,1.490
1,7:17,3,1,SDG 48,0,7,Philip Rivers pass incomplete short middle intended for Antonio Gates,1.490,-0.190
1,7:09,4,1,SDG 48,0,7,"Mike Scifres punts 46 yards, muffed catch by Stefan Logan, recovered by Stefan Logan and returned for no gain. Penalty on Titus Young: Offensive Holding, 2 yards",-0.190,0.380
1,7:03,1,10,DET 3,0,7,Kevin Smith up the middle for no gain (tackle by Donald Butler),-0.380,-0.780
1,6:49,2,10,DET 3,0,7,Kevin Smith up the middle for 5 yards (tackle by Takeo Spikes),-0.780,-0.840
1,6:09,3,5,DET 8,0,7,Matthew Stafford pass complete short right to Nate Burleson for 5 yards (tackle by Dante Hughes),-0.840,-0.320
1,5:42,1,10,DET 13,0,7,Matthew Stafford pass complete short right to Brandon Pettigrew for -3 yards (tackle by Shaun Phillips),-0.320,-1.000
1,4:57,2,13,DET 10,0,7,Matthew Stafford pass complete short middle to Brandon Pettigrew for 8 yards (tackle by Na'il Diggs),-1.000,-0.830
1,4:17,3,5,DET 18,0,7,Matthew Stafford pass complete short right to Titus Young for 8 yards,-0.830,0.670
1,3:48,1,10,DET 26,0,7,Kevin Smith up the middle for 1 yard (tackle by Cam Thomas and Eric Weddle),0.670,0.270
1,3:07,2,9,DET 27,0,7,Matthew Stafford pass complete deep left to Calvin Johnson for 21 yards (tackle by Na'il Diggs),0.270,2.130
1,2:25,1,10,DET 48,0,7,Kevin Smith left tackle for 21 yards (tackle by Antoine Cason),2.130,3.510
1,1:39,1,10,SDG 31,0,7,Matthew Stafford pass incomplete deep right intended for Tony Scheffler,3.510,2.970
1,1:31,,,,0,7,Timeout #2 by Detroit Lions,0.000,2.970
1,1:31,2,10,SDG 31,0,7,"Penalty on Brandon Pettigrew: False Start, 5 yards (no play)",2.970,2.290
1,1:31,2,15,SDG 36,0,7,Matthew Stafford pass complete short middle to Titus Young for 4 yards (tackle by Dante Hughes),2.290,2.150
1,0:48,3,11,SDG 32,0,7,Matthew Stafford pass incomplete deep middle intended for Calvin Johnson (defended by Eric Weddle),2.150,1.240
1,0:38,4,11,SDG 32,0,10,Jason Hanson 50 yard field goal good,1.240,3.000
1,,,,DET 35,0,10,"Jason Hanson kicks off 71 yards, returned by Richard Goodman for 24 yards (tackle by Rashied Davis)",0.000,0.040
1,0:28,1,10,SDG 18,0,10,Philip Rivers pass complete deep left to Malcom Floyd for 17 yards (tackle by Stephen Tulloch),0.040,1.270
Quarter,Time,Down,ToGo,Location,SDG,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SDG 35,0,10,Ryan Mathews left tackle for 4 yards (tackle by Justin Durant),1.270,1.260
2,14:23,2,6,SDG 39,0,10,Philip Rivers pass complete short left to Antonio Gates for 9 yards,1.260,2.130
2,13:53,1,10,SDG 48,0,10,Ryan Mathews left tackle for 1 yard (tackle by Stephen Tulloch and Lawrence Jackson),2.130,1.720
2,13:14,2,9,SDG 49,0,10,Philip Rivers pass incomplete deep right intended for Vincent Jackson,1.720,1.020
2,13:07,3,9,SDG 49,0,10,Philip Rivers pass complete short left to Mike Tolbert for 3 yards (tackle by Justin Durant),1.020,0.070
2,12:34,4,6,DET 48,0,10,"Mike Scifres punts 35 yards, fair catch by Stefan Logan",0.070,0.320
