Unnamed: 0,SDG,DET
First Downs,20,24
Rush-Yds-TDs,17-68-0,23-87-1
Cmp-Att-Yd-TD-INT,28-53-299-1-2,29-36-373-3-0
Sacked-Yards,0-0,3-20
Net Pass Yards,299,353
Total Yards,367,440
Fumbles-Lost,0-0,1-0
Turnovers,2,0
Penalties-Yards,1-10,3-8
Third Down Conv.,6-15,9-13
Fourth Down Conv.,2-3,0-0
Time of Possession,27:39,32:21
