Unnamed: 0,ATL,SEA
First Downs,22,21
Rush-Yds-TDs,38-204-0,21-83-2
Cmp-Att-Yd-TD-INT,20-29-168-2-1,21-27-191-2-1
Sacked-Yards,3-18,4-21
Net Pass Yards,150,170
Total Yards,354,253
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,8-53,1-5
Third Down Conv.,9-17,4-9
Fourth Down Conv.,2-2,0-0
Time of Possession,34:54,25:06
