Quarter,Time,Tm,Detail,HOU,CHI
2.0,0:27,Texans,Corey Bradford 37 yard pass from David Carr (Kris Brown kick),7,0
3.0,4:06,Bears,"Safety,",7,2
4.0,14:09,Bears,Paul Edinger 43 yard field goal,7,5
,11:37,Texans,Kris Brown 20 yard field goal,10,5
,4:23,Texans,Domanick Williams 11 yard rush (Kris Brown kick),17,5
,2:37,Texans,Charlie Anderson 60 yard defensive fumble return (Kris Brown kick),24,5
