Unnamed: 0,HOU,CHI
First Downs,15,11
Rush-Yds-TDs,34-106-1,26-54-0
Cmp-Att-Yd-TD-INT,13-29-220-1-0,17-35-168-0-2
Sacked-Yards,2-12,2-19
Net Pass Yards,208,149
Total Yards,314,203
Fumbles-Lost,0-0,5-2
Turnovers,0,4
Penalties-Yards,10-89,5-50
Third Down Conv.,6-16,3-17
Fourth Down Conv.,1-1,1-3
Time of Possession,31:34,28:26
