Unnamed: 0,GNB,MIN
First Downs,12,18
Rush-Yds-TDs,18-74-1,41-220-1
Cmp-Att-Yd-TD-INT,15-26-142-0-0,15-28-151-2-3
Sacked-Yards,4-32,2-10
Net Pass Yards,110,141
Total Yards,184,361
Fumbles-Lost,2-0,1-0
Turnovers,0,3
Penalties-Yards,10-80,7-55
Third Down Conv.,1-11,6-15
Fourth Down Conv.,0-0,0-1
Time of Possession,23:55,36:05
