Quarter,Time,Tm,Detail,GNB,MIN
1.0,9:01,Vikings,Sidney Rice 3 yard pass from Gus Frerotte (Ryan Longwell kick),0,7
,4:01,Packers,Ryan Grant 1 yard rush (Mason Crosby kick),7,7
2.0,12:56,Vikings,Ryan Longwell 54 yard field goal,7,10
,12:22,Vikings,"Safety, Illegal forward pass penalty on Aaron Rodgers enforced in end zone.",7,12
,0:44,Vikings,"Safety, Aaron Rodgers sacked in end zone by Jared Allen.",7,14
,0:00,Packers,Mason Crosby 47 yard field goal,10,14
3.0,10:31,Vikings,Chester Taylor 47 yard pass from Gus Frerotte (Ryan Longwell kick),10,21
,5:21,Packers,Nick Collins 59 yard interception return (Mason Crosby kick),17,21
,3:09,Packers,Will Blackmon 65 yard punt return (Mason Crosby kick),24,21
4.0,5:56,Packers,Mason Crosby 40 yard field goal,27,21
,2:22,Vikings,Adrian Peterson 29 yard rush (Ryan Longwell kick),27,28
