Unnamed: 0,WAS,DAL
First Downs,25,18
Rush-Yds-TDs,33-216-1,19-48-2
Cmp-Att-Yd-TD-INT,19-39-246-0-1,18-30-170-1-1
Sacked-Yards,3-29,1-5
Net Pass Yards,217,165
Total Yards,433,213
Fumbles-Lost,2-1,0-0
Turnovers,2,1
Penalties-Yards,12-104,7-80
Third Down Conv.,8-16,5-12
Fourth Down Conv.,0-1,0-0
Time of Possession,34:32,25:28
