Unnamed: 0,WAS,MIN
First Downs,27,22
Rush-Yds-TDs,36-191-0,24-91-2
Cmp-Att-Yd-TD-INT,24-37-281-3-0,21-27-221-2-1
Sacked-Yards,4-39,1-5
Net Pass Yards,242,216
Total Yards,433,307
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,8-63,1-7
Third Down Conv.,9-16,6-10
Fourth Down Conv.,1-2,0-0
Time of Possession,36:01,23:59
