Quarter,Time,Tm,Detail,SFO,GNB
1.0,10:11,Packers,Mason Crosby 23 yard field goal,0,3
,7:39,49ers,Joe Nedney 46 yard field goal,3,3
,2:26,Packers,Mason Crosby 27 yard field goal,3,6
2.0,8:47,Packers,Greg Jennings 64 yard pass from Aaron Rodgers (Mason Crosby kick),3,13
,2:27,Packers,Jordy Nelson 7 yard pass from Aaron Rodgers (Mason Crosby kick),3,20
,0:00,Packers,Mason Crosby 27 yard field goal,3,23
3.0,7:28,49ers,Michael Crabtree 38 yard pass from Alex Smith (Joe Nedney kick),10,23
4.0,11:05,Packers,Ryan Grant 1 yard rush (Mason Crosby kick),10,30
,10:37,49ers,Vernon Davis 24 yard pass from Alex Smith (Joe Nedney kick),17,30
,5:56,49ers,Frank Gore 10 yard pass from Alex Smith (Joe Nedney kick),24,30
