Unnamed: 0,SEA,LAR
First Downs,15,21
Rush-Yds-TDs,25-62-0,22-100-1
Cmp-Att-Yd-TD-INT,24-38-198-1-2,22-47-288-0-2
Sacked-Yards,3-19,2-13
Net Pass Yards,179,275
Total Yards,241,375
Fumbles-Lost,0-0,4-3
Turnovers,2,5
Penalties-Yards,7-40,5-45
Third Down Conv.,8-17,8-15
Fourth Down Conv.,0-0,0-1
Time of Possession,31:16,28:44
