Quarter,Time,Down,ToGo,Location,SEA,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,SEA 25,0,0,Eddie Lacy middle for 3 yards (tackle by Cory Littleton and Aaron Donald),0.610,0.470
1,14:28,2,7,SEA 28,0,0,Russell Wilson pass complete short left to Doug Baldwin for 5 yards (tackle by Nickell Robey-Coleman),0.470,0.430
1,14:10,3,2,SEA 33,0,0,Eddie Lacy middle for 6 yards (tackle by Mark Barron and Cody Davis),0.430,1.530
1,13:35,1,10,SEA 39,0,0,Eddie Lacy right tackle for -4 yards (tackle by Aaron Donald),1.530,0.450
1,12:56,2,14,SEA 35,0,0,Russell Wilson pass incomplete deep right intended for Doug Baldwin (defended by John Johnson),0.450,-0.230
1,12:50,3,14,SEA 35,0,0,Russell Wilson sacked by Alec Ogletree for -6 yards,-0.230,-1.440
1,12:14,4,20,SEA 29,0,0,"Jon Ryan punts 38 yards, muffed catch by Tavon Austin, recovered by Tavon Austin and returned for no gain",-1.440,-1.470
1,12:04,1,10,LAR 38,0,0,Jared Goff pass complete short left to Tavon Austin for 3 yards (tackle by Shaquill Griffin),1.470,1.330
1,11:30,2,7,LAR 41,0,0,Todd Gurley right guard for 9 yards (tackle by Richard Sherman),1.330,2.260
1,11:07,1,10,,0,0,Jared Goff pass incomplete short left intended for Sammy Watkins,2.260,1.710
1,11:02,2,10,,0,0,Jared Goff pass complete short left to Robert Woods for 11 yards (tackle by Shaquill Griffin),1.710,2.980
1,10:35,1,10,SEA 39,0,0,Jared Goff pass complete deep middle to Tyler Higbee for 22 yards (tackle by Earl Thomas),2.980,4.440
1,9:48,1,10,SEA 17,0,0,Tavon Austin for 5 yards (tackle by K.J. Wright),4.440,4.690
1,9:25,2,5,SEA 12,0,0,Todd Gurley left end for 11 yards (tackle by Earl Thomas). Todd Gurley fumbles (forced by Earl Thomas),4.690,-0.280
1,9:20,1,10,SEA 20,0,0,Thomas Rawls left guard for 2 yards (tackle by Michael Brockers),0.280,0.000
1,8:45,2,8,SEA 22,0,0,Russell Wilson pass incomplete deep middle intended for J.D. McKissic,0.000,-0.690
1,8:39,3,8,SEA 22,0,0,"Russell Wilson pass incomplete deep left intended for Doug Baldwin. Penalty on Cody Davis: Defensive Holding, 5 yards (no play)",-0.690,0.740
1,8:32,1,10,SEA 27,0,0,Russell Wilson pass incomplete deep left intended for Paul Richardson,0.740,0.200
1,8:29,2,10,SEA 27,0,0,Thomas Rawls middle for 3 yards (tackle by Morgan Fox),0.200,-0.100
1,7:49,3,7,SEA 30,0,0,Russell Wilson pass complete short left to Tyler Lockett for 12 yards (tackle by Mark Barron),-0.100,1.730
1,7:14,1,10,SEA 42,0,0,J.D. McKissic right end for -3 yards (tackle by Aaron Donald and Matt Longacre),1.730,0.780
1,6:33,2,13,SEA 39,0,0,Russell Wilson pass complete short right to Thomas Rawls for 1 yard (tackle by Cody Davis),0.780,0.230
1,5:51,3,12,SEA 40,0,0,Russell Wilson middle for 9 yards (tackle by Nickell Robey-Coleman),0.230,-0.130
1,5:09,4,3,SEA 49,0,0,"Jon Ryan punts 44 yards, fair catch by Cooper Kupp",-0.130,0.380
1,5:04,1,10,LAR 7,0,0,Todd Gurley left end for no gain (tackle by Shaquill Griffin),-0.380,-0.780
1,4:58,2,10,LAR 7,0,0,Todd Gurley middle for 9 yards (tackle by Michael Wilhoite and Earl Thomas),-0.780,-0.370
1,4:22,3,1,LAR 16,0,0,Todd Gurley middle for no gain (tackle by Michael Bennett),-0.370,-2.390
1,3:33,4,1,LAR 16,0,0,"Johnny Hekker punts 62 yards, returned by Tyler Lockett for 10 yards (tackle by Blake Countess)",-2.390,-1.070
1,3:21,1,10,SEA 32,0,0,"Tanner McEvoy pass incomplete deep right intended for J.D. McKissic is intercepted by Cody Davis at LAR-36. Penalty on Michael Brockers: Unsportsmanlike Conduct, 15 yards",1.070,-0.340
1,3:10,1,10,LAR 21,0,0,Todd Gurley right guard for 2 yards (tackle by Bobby Wagner and Branden Jackson),0.340,0.070
1,2:33,2,8,LAR 23,0,0,Jared Goff pass incomplete short right intended for Tyler Higbee,0.070,-0.630
1,2:28,3,8,LAR 23,0,0,Jared Goff pass complete short middle to Tyler Higbee for 12 yards (tackle by Kam Chancellor),-0.630,1.270
1,1:59,1,10,LAR 35,0,0,Robert Woods left end for 8 yards (tackle by Earl Thomas),1.270,1.800
1,1:32,2,2,LAR 43,0,0,Jared Goff pass incomplete short right intended for Gerald Everett,1.800,1.090
1,1:27,3,2,LAR 43,0,0,Jared Goff pass complete short middle to Robert Woods for 12 yards (tackle by Earl Thomas),1.090,2.590
1,1:00,1,10,SEA 45,0,0,Jared Goff pass complete deep left to Cooper Kupp for 19 yards (tackle by Justin Coleman),2.590,3.840
1,0:14,1,10,SEA 26,0,0,Todd Gurley middle for 1 yard (tackle by Richard Sherman),3.840,3.430
Quarter,Time,Down,ToGo,Location,SEA,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,SEA 25,0,0,Tavon Austin right end for -2 yards (tackle by Richard Sherman),3.430,2.480
2,14:20,3,11,SEA 27,0,6,"Tavon Austin right guard for 27 yards, touchdown",2.480,7.000
2,14:13,,,SEA 15,0,7,Greg Zuerlein kicks extra point good,0.000,0.000
2,14:13,,,LAR 35,0,7,"Greg Zuerlein kicks off 52 yards, returned by Ethan Pocic for 13 yards (tackle by Samson Ebukam)",0.000,-0.670
2,14:08,1,10,SEA 26,0,7,Eddie Lacy middle for 2 yards (tackle by Kayvon Webster and Robert Quinn),0.670,0.400
2,13:28,2,8,SEA 28,0,7,Eddie Lacy right guard for 1 yard (tackle by Robert Quinn),0.400,-0.160
2,12:46,3,7,SEA 29,0,7,Russell Wilson pass incomplete short right intended for Thomas Rawls,-0.160,-1.440
2,12:36,4,7,SEA 29,0,7,"Jon Ryan punts 42 yards, muffed catch by Tavon Austin, recovered by Neiko Thorpe and returned for no gain",-1.440,3.580
2,12:26,1,10,LAR 30,0,7,Russell Wilson middle for 3 yards (tackle by Tanzel Smart),3.580,3.440
2,11:47,2,7,LAR 27,0,7,Russell Wilson pass complete short right to Jimmy Graham for 4 yards (tackle by Trumaine Johnson),3.440,3.270
2,11:02,3,3,LAR 23,0,7,Russell Wilson pass complete short left to J.D. McKissic for 8 yards (tackle by Blake Countess),3.270,4.580
2,10:39,1,10,LAR 15,0,7,Russell Wilson pass incomplete short right intended for Luke Willson is intercepted by John Johnson at LAR-12 and returned for 69 yards,4.580,-4.310
2,10:25,1,10,SEA 19,0,7,Jared Goff pass complete short middle to Tavon Austin for 2 yards (tackle by Kam Chancellor),4.310,4.030
2,9:44,2,8,SEA 17,0,7,Jared Goff pass incomplete short right intended for Tyler Higbee (defended by Earl Thomas),4.030,3.260
2,9:39,3,8,SEA 17,0,7,Jared Goff pass incomplete short left intended for Cooper Kupp,3.260,2.310
2,9:34,4,8,SEA 17,0,10,Greg Zuerlein 35 yard field goal good,2.310,3.000
2,9:29,,,LAR 35,0,10,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
2,9:29,1,10,SEA 25,0,10,Russell Wilson pass incomplete short left intended for Jimmy Graham (defended by Kayvon Webster),0.610,0.060
2,9:26,2,10,SEA 25,0,10,Russell Wilson pass complete short left to Jimmy Graham for 6 yards (tackle by John Johnson),0.060,0.170
2,8:49,3,4,SEA 31,0,10,Russell Wilson pass complete short right to J.D. McKissic for 7 yards (tackle by Alec Ogletree),0.170,1.470
2,8:13,1,10,SEA 38,0,10,Eddie Lacy middle for 3 yards (tackle by Mark Barron),1.470,1.330
2,7:37,2,7,SEA 41,0,10,Russell Wilson pass complete short right to Nick Vannett for 3 yards (tackle by Nickell Robey-Coleman and Mark Barron),1.330,1.020
2,6:57,3,4,SEA 44,0,10,Russell Wilson pass complete short middle to Jimmy Graham for 9 yards (tackle by Mark Barron),1.020,2.460
2,6:09,1,10,LAR 47,0,10,Russell Wilson pass incomplete short right intended for Paul Richardson,2.460,1.910
2,6:07,2,10,LAR 47,0,10,Russell Wilson pass complete short left to Doug Baldwin for 6 yards (tackle by Kayvon Webster),1.910,2.010
2,5:35,3,4,LAR 41,0,10,Russell Wilson pass complete short right to Tyler Lockett for 10 yards (tackle by Alec Ogletree),2.010,3.510
2,4:59,1,10,LAR 31,0,10,Eddie Lacy middle for 4 yards (tackle by Cody Davis),3.510,3.510
