Quarter,Time,Down,ToGo,Location,NOR,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,PIT 25,0,0,Kenny Pickett pass incomplete short middle intended for George Pickens,0.610,0.060
1,14:55,2,10,PIT 25,0,0,Kenny Pickett pass complete short middle to Gunner Olszewski for 4 yards (tackle by Alontae Taylor),0.060,-0.100
1,14:29,3,6,PIT 29,0,0,Kenny Pickett pass complete short left to George Pickens for 14 yards (tackle by Tyrann Mathieu),-0.100,1.800
1,14:01,1,10,PIT 43,0,0,Najee Harris up the middle for 3 yards (tackle by Malcolm Roach and Cameron Jordan),1.800,1.660
1,13:22,2,7,PIT 46,0,0,Kenny Pickett pass incomplete short right,1.660,0.960
1,13:16,3,7,PIT 46,0,0,Kenny Pickett pass incomplete short right intended for Pat Freiermuth (defended by Chris Harris),0.960,-0.320
1,13:12,4,7,PIT 46,0,0,"Pressley Harvin punts 45 yards, fair catch by Rashid Shaheed at NO-9",-0.320,0.380
1,13:04,1,10,NOR 9,0,0,"Penalty on Juwan Johnson: False Start, 4 yards (accepted) (no play)",-0.380,-0.530
1,13:04,1,14,NOR 5,0,0,Alvin Kamara right guard for no gain (tackle by Cameron Heyward and T.J. Watt),-0.530,-1.070
1,12:29,2,14,NOR 5,0,0,Taysom Hill right guard for 1 yard (tackle by Larry Ogunjobi and T.J. Watt),-1.070,-1.770
1,11:47,3,13,NOR 6,0,0,Andy Dalton pass complete short right to Juwan Johnson for 3 yards (tackle by Robert Spillane),-1.770,-2.490
1,11:07,4,10,NOR 9,0,0,"Blake Gillikin punts 48 yards, fair catch by Steven Sims at PIT-43",-2.490,-1.800
1,10:59,1,10,PIT 43,0,0,Najee Harris up the middle for 5 yards (tackle by Payton Turner and Demario Davis),1.800,1.930
1,10:27,2,5,PIT 48,0,0,Najee Harris right guard for 7 yards (tackle by Kentavius Street),1.930,2.590
1,9:49,1,10,NOR 45,0,0,Kenny Pickett sacked by Chris Harris for -4 yards,2.590,1.500
1,9:08,2,14,NOR 49,0,0,Kenny Pickett pass complete to Connor Heyward for 1 yard (tackle by Alontae Taylor),1.500,0.960
1,8:29,3,13,NOR 48,0,0,Kenny Pickett pass complete short left to Pat Freiermuth for 11 yards (tackle by Alontae Taylor),0.960,0.790
1,7:46,4,2,NOR 37,0,0,Kenny Pickett pass complete short left to Jaylen Warren for 7 yards (tackle by P.J. Williams),0.790,3.580
1,7:08,1,10,NOR 30,0,0,Jaylen Warren left end for 2 yards (tackle by Malcolm Roach and Demario Davis),3.580,3.300
1,6:28,2,8,NOR 28,0,0,"Kenny Pickett pass incomplete short left intended for Diontae Johnson. Penalty on Alontae Taylor: Defensive Pass Interference, 11 yards (accepted) (no play)",3.300,4.440
1,6:23,1,10,NOR 17,0,0,Kenny Pickett pass incomplete short left,4.440,3.850
1,6:16,2,10,NOR 17,0,0,Kenny Pickett pass complete short middle to Diontae Johnson for 11 yards (tackle by Alontae Taylor),3.850,5.830
1,5:35,1,6,NOR 6,0,0,Kenny Pickett pass incomplete short left intended for Pat Freiermuth,5.830,4.950
1,5:30,2,6,NOR 6,0,0,Najee Harris left guard for 5 yards (tackle by Malcolm Roach),4.950,5.170
1,5:09,3,1,NOR 1,0,6,"George Pickens right guard for 1 yard, touchdown",5.170,7.000
1,5:06,,,NOR 15,0,7,Matthew Wright kicks extra point good,0.000,0.000
1,5:06,,,PIT 35,0,7,"Matthew Wright kicks off 68 yards, returned by Rashid Shaheed for 23 yards (tackle by Arthur Maulet). Penalty on Tre'Quan Smith: Defensive Holding, 10 yards (accepted)",0.000,-0.380
1,4:58,1,10,NOR 10,0,7,Andy Dalton pass complete short left to Alvin Kamara for 2 yards (tackle by Alex Highsmith and Damontae Kazee),-0.380,-0.630
1,4:23,2,8,NOR 12,0,7,Andy Dalton pass complete short left to Adam Trautman for 18 yards (tackle by Devin Bush and Terrell Edmunds),-0.630,0.940
1,3:45,1,10,NOR 30,0,7,Alvin Kamara left tackle for 1 yard (tackle by Montravius Adams and Terrell Edmunds),0.940,0.530
1,3:08,2,9,NOR 31,0,7,Taysom Hill pass incomplete short right intended for Alvin Kamara,0.530,-0.160
1,3:03,3,9,NOR 31,0,7,Andy Dalton pass complete short right to Alvin Kamara for 7 yards (tackle by Robert Spillane and Arthur Maulet),-0.160,-0.850
1,2:20,4,2,NOR 38,0,7,"Blake Gillikin punts 62 yards, touchback.",-0.850,-0.280
1,2:11,1,10,PIT 20,0,7,Kenny Pickett pass incomplete short left,0.280,-0.270
1,2:03,2,10,PIT 20,0,7,Jaylen Warren right guard for 2 yards (tackle by Carl Granderson and Demario Davis),-0.270,-0.690
1,1:41,3,8,PIT 22,0,7,"Kenny Pickett pass incomplete deep right intended for Diontae Johnson. Penalty on Kentavius Street: Roughing the Passer, 15 yards (accepted) (no play)",-0.690,1.400
1,1:36,1,10,PIT 37,0,7,Kenny Pickett pass complete short right to Diontae Johnson for 7 yards (tackle by Paulson Adebo),1.400,1.800
1,1:00,2,3,PIT 44,0,7,Najee Harris left guard for 36 yards (tackle by Paulson Adebo),1.800,4.240
1,0:29,1,10,NOR 20,0,7,Steven Sims for -1 yards (tackle by Tyrann Mathieu),4.240,3.560
Quarter,Time,Down,ToGo,Location,NOR,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,11,NOR 21,0,7,Kenny Pickett pass incomplete deep right intended for Diontae Johnson,3.560,2.870
2,14:55,3,11,NOR 21,0,7,Kenny Pickett pass complete short right to Pat Freiermuth for 6 yards (tackle by P.J. Williams),2.870,2.490
2,14:20,4,5,NOR 15,0,10,Matthew Wright 33 yard field goal good,2.490,3.000
2,14:17,,,PIT 35,0,10,"Matthew Wright kicks off 68 yards, returned by Rashid Shaheed for 31 yards (tackle by Benny Snell and James Pierre)",0.000,0.810
2,14:12,1,10,NOR 28,0,10,Andy Dalton pass complete short right to Chris Olave for 12 yards (tackle by Levi Wallace),0.810,1.600
