Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Alvin Kamara,NOR,8,26,0,1,12,1.5,14,1.8,1,8.0
Andy Dalton,NOR,3,1,0,0,0,0.0,1,0.3,0,
Taysom Hill,NOR,3,1,0,,-1,-0.3,2,0.7,0,
Jordan Howard,NOR,1,1,0,,0,0.0,1,1.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Najee Harris,PIT,20,99,0,3,40,2.0,59,3.0,1,20.0
Jaylen Warren,PIT,9,37,0,1,10,1.1,27,3.0,2,4.5
Kenny Pickett,PIT,8,51,1,4,39,4.9,12,1.5,0,
George Pickens,PIT,2,23,1,2,19,9.5,4,2.0,0,
Steven Sims,PIT,2,2,0,1,0,0.0,2,1.0,0,
Derek Watt,PIT,2,5,0,2,2,1.0,3,1.5,0,
