Quarter,Time,Tm,Detail,NOR,PIT
1.0,5:06,Steelers,George Pickens 1 yard rush (Matthew Wright kick),0,7
2.0,14:17,Steelers,Matthew Wright 33 yard field goal,0,10
,6:40,Saints,Wil Lutz 44 yard field goal,3,10
,0:19,Saints,Juwan Johnson 15 yard pass from Andy Dalton (Wil Lutz kick),10,10
4.0,13:43,Steelers,Matthew Wright 33 yard field goal,10,13
,8:38,Steelers,Kenny Pickett 1 yard rush (Matthew Wright kick),10,20
