Quarter,Time,Down,ToGo,Location,SDG,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,MIN 30,0,0,"Ryan Longwell kicks off 68 yards, returned by Darren Sproles for 43 yards (tackle by Vinny Ciurciu)",0.000,1.930
1,14:53,1,10,SDG 45,0,0,Philip Rivers pass complete short left to LaDainian Tomlinson for 7 yards (tackle by Chad Greenway),1.930,2.330
1,14:26,2,3,MIN 48,0,0,Philip Rivers pass incomplete short right intended for Chris Chambers,2.330,1.620
1,14:22,3,3,MIN 48,0,0,LaDainian Tomlinson left end for 2 yards (tackle by Cedric Griffin),1.620,0.200
1,13:42,4,1,MIN 46,0,0,"Mike Scifres punts 38 yards, fair catch by Mewelde Moore",0.200,0.380
1,13:37,1,10,MIN 8,0,0,Tarvaris Jackson pass complete short right to Robert Ferguson for 11 yards (tackle by Drayton Florence),-0.380,0.150
1,13:00,1,10,MIN 19,0,0,Adrian L. Peterson right end for 2 yards (tackle by Shawne Merriman and Stephen Cooper),0.150,-0.060
1,12:16,2,8,MIN 21,0,0,Tarvaris Jackson pass incomplete short left intended for Sidney Rice (defended by Marlon McCree),-0.060,-0.810
1,12:13,3,8,MIN 21,0,0,Tarvaris Jackson pass complete short right to Chester Taylor for 7 yards (tackle by Quentin Jammer),-0.810,-1.500
1,11:30,4,1,MIN 28,0,0,"Chris Kluwe punts 25 yards, out of bounds",-1.500,-2.060
1,11:23,1,10,SDG 47,0,0,LaDainian Tomlinson left guard for 3 yards (tackle by E.J. Henderson),2.060,1.920
1,10:48,2,7,,0,0,Philip Rivers pass complete short left to Legedu Naanee for 22 yards (tackle by Ben Leber and E.J. Henderson),1.920,3.710
1,10:01,1,10,MIN 28,0,0,Philip Rivers pass complete short left to Brandon Manumaleuna for 6 yards (tackle by E.J. Henderson and Chad Greenway),3.710,3.980
1,9:21,2,4,MIN 22,0,0,"Penalty on Antonio Gates: False Start, 5 yards (no play)",3.980,3.300
1,9:02,2,9,MIN 27,0,0,"Philip Rivers pass complete short left to Chris Chambers for 1 yard (tackle by Dwight Smith). Penalty on Lorenzo Neal: Illegal Block Above the Waist, 10 yards",3.300,2.090
1,8:20,2,18,MIN 36,0,0,Philip Rivers pass complete short left to LaDainian Tomlinson for 6 yards (tackle by Cedric Griffin),2.090,2.210
1,7:55,3,12,MIN 30,0,0,Philip Rivers pass complete short middle to Legedu Naanee for 17 yards (tackle by E.J. Henderson),2.210,4.710
1,7:11,1,10,MIN 13,0,0,"LaDainian Tomlinson right end for 11 yards (tackle by Marcus McCauley). Penalty on Dwight Smith: Unnecessary Roughness, 1 yards",4.710,6.970
1,6:57,1,1,MIN 1,0,0,LaDainian Tomlinson up the middle for -1 yards (tackle by Dwight Smith and Pat Williams),6.970,5.720
1,6:19,2,2,MIN 2,0,0,LaDainian Tomlinson up the middle for 1 yard (tackle by E.J. Henderson),5.720,5.170
1,5:48,3,1,MIN 1,6,0,"LaDainian Tomlinson left guard for 1 yard, touchdown",5.170,7.000
1,5:48,,,MIN 2,7,0,Nate Kaeding kicks extra point good,0.000,0.000
1,5:48,,,SDG 30,7,0,"Nate Kaeding kicks off 71 yards, returned by Aundrae Allison for 62 yards (tackle by Cletis Gordon)",0.000,2.980
1,5:35,1,10,SDG 39,7,0,Adrian L. Peterson left end for 5 yards (tackle by Shawne Merriman),2.980,3.120
1,4:54,2,5,SDG 34,7,0,"Adrian L. Peterson up the middle for no gain (tackle by Stephen Cooper). Penalty on Shawne Merriman: Defensive Offside, 5 yards (no play)",3.120,3.640
1,4:36,1,10,SDG 29,7,0,Tarvaris Jackson pass complete short middle to Sidney Rice for 7 yards (tackle by Matt Wilhelm),3.640,4.050
1,3:55,2,3,SDG 22,7,0,Adrian L. Peterson right end for 17 yards (tackle by Matt Wilhelm and Stephen Cooper),4.050,6.060
1,3:28,1,5,SDG 5,7,0,Tony Richardson up the middle for 4 yards (tackle by Carlos Polk),6.060,5.910
1,2:52,2,1,SDG 1,7,6,"Adrian L. Peterson left guard for 1 yard, touchdown",5.910,7.000
1,2:52,,,SDG 2,7,7,Ryan Longwell kicks extra point good,0.000,0.000
1,2:52,,,MIN 30,7,7,"Ryan Longwell kicks off 70 yards, returned by Darren Sproles for 20 yards (tackle by Vinny Ciurciu)",0.000,0.280
1,2:43,1,10,SDG 20,7,7,LaDainian Tomlinson left guard for 2 yards (tackle by Dwight Smith),0.280,0.000
1,2:08,2,8,SDG 22,7,7,Philip Rivers pass incomplete,0.000,-0.690
1,2:02,3,8,SDG 22,7,7,Philip Rivers pass incomplete short left intended for LaDainian Tomlinson. Penalty on Marcus McNeill: Offensive Holding (Declined),-0.690,-1.900
1,1:57,4,8,SDG 22,7,7,"Mike Scifres punts 65 yards, returned by Mewelde Moore for 8 yards (tackle by Michael Turner)",-1.900,-0.340
1,1:44,1,10,MIN 21,7,7,Adrian L. Peterson up the middle for 1 yard (tackle by Jamal Williams),0.340,-0.070
1,1:10,2,9,MIN 22,7,7,Tarvaris Jackson pass incomplete short middle intended for Adrian L. Peterson (defended by Stephen Cooper),-0.070,-0.760
1,1:05,3,9,MIN 22,7,7,Tarvaris Jackson pass complete short right to Sidney Rice for 13 yards (tackle by Quentin Jammer),-0.760,1.270
1,0:22,1,10,MIN 35,7,7,"Penalty on Jim Kleinsasser: False Start, 5 yards (no play)",1.270,0.940
1,0:03,1,15,MIN 30,7,7,Adrian L. Peterson left end for 1 yard (tackle by Carlos Polk),0.940,0.180
Quarter,Time,Down,ToGo,Location,SDG,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,14,MIN 31,7,7,Tarvaris Jackson pass complete short right to Visanthe Shiancoe for 6 yards (tackle by Drayton Florence and Quentin Jammer),0.180,0.300
2,14:16,3,8,MIN 37,7,7,Tarvaris Jackson pass incomplete short right intended for Aundrae Allison,0.300,-0.910
2,14:09,4,8,MIN 37,7,7,"Chris Kluwe punts 51 yards, returned by Darren Sproles for 10 yards (tackle by Heath Farwell)",-0.910,-0.410
2,13:58,1,10,SDG 22,7,7,Philip Rivers pass incomplete deep right intended for Chris Chambers,0.410,-0.130
2,13:53,2,10,SDG 22,7,7,"Penalty on Kevin Williams: Encroachment, 5 yards (no play)",-0.130,0.540
2,13:53,2,5,SDG 27,7,7,LaDainian Tomlinson left tackle for 11 yards (tackle by Ben Leber),0.540,1.470
2,13:08,1,10,SDG 38,7,7,Michael Turner up the middle for -3 yards (tackle by E.J. Henderson),1.470,0.520
2,12:29,2,13,SDG 35,7,7,Philip Rivers pass incomplete short right intended for LaDainian Tomlinson,0.520,-0.160
2,12:25,3,13,SDG 35,7,7,Philip Rivers pass incomplete short right intended for Antonio Gates,-0.160,-1.040
2,12:19,4,13,SDG 35,7,7,"Mike Scifres punts 57 yards, returned by Mewelde Moore for no gain. Penalty on Heath Farwell: Offensive Holding, 4 yards",-1.040,0.380
2,12:07,1,10,MIN 4,7,7,Adrian L. Peterson right guard for -2 yards (tackle by Igor Olshansky),-0.380,-0.930
2,11:29,2,12,MIN 2,7,7,"Penalty on Visanthe Shiancoe: False Start, 1 yards (no play)",-0.930,-1.000
2,11:09,2,13,MIN 1,7,7,Adrian L. Peterson left guard for 2 yards (tackle by Jamal Williams),-1.000,-1.540
2,10:27,3,11,MIN 3,7,7,Chester Taylor up the middle for 1 yard (tackle by Matt Wilhelm),-1.540,-2.490
2,9:57,4,10,MIN 4,7,7,"Chris Kluwe punts 40 yards, out of bounds",-2.490,-2.650
2,9:50,1,10,MIN 44,7,7,LaDainian Tomlinson right tackle for -1 yards (tackle by Chad Greenway),2.650,1.980
2,9:12,2,11,MIN 45,7,7,Philip Rivers pass incomplete deep left intended for Vincent Jackson (defended by Dwight Smith),1.980,1.290
2,9:05,3,11,MIN 45,7,7,"Philip Rivers pass complete short left to Vincent Jackson for 21 yards (tackle by Cedric Griffin). Penalty on Vincent Jackson: Offensive Pass Interference, 10 yards (no play)",1.290,-0.030
2,8:41,3,21,SDG 45,7,7,Philip Rivers pass incomplete deep left intended for Vincent Jackson,-0.030,-0.390
2,8:35,4,21,SDG 45,7,7,"Mike Scifres punts 45 yards, fair catch by Mewelde Moore",-0.390,0.380
