Unnamed: 0,SDG,MIN
First Downs,14,26
Rush-Yds-TDs,20-42-1,43-378-4
Cmp-Att-Yd-TD-INT,19-42-197-0-1,13-22-158-1-0
Sacked-Yards,1-10,1-8
Net Pass Yards,187,150
Total Yards,229,528
Fumbles-Lost,3-1,2-2
Turnovers,2,2
Penalties-Yards,10-67,11-81
Third Down Conv.,4-16,6-13
Fourth Down Conv.,0-1,1-1
Time of Possession,25:53,34:07
