Quarter,Time,Tm,Detail,NYJ,TEN
1.0,3:16,Titans,Ryan Succop 40 yard field goal,0,3
2.0,12:09,Titans,"Safety, Intentional Grounding penalty in the end zone on Geno Smith.",0,5
,2:08,Jets,Nick Folk 51 yard field goal,3,5
3.0,6:03,Titans,Ryan Succop 33 yard field goal,3,8
,4:34,Jets,John Conner 9 yard pass from Geno Smith (Nick Folk kick),10,8
,2:02,Titans,Ryan Succop 51 yard field goal,10,11
4.0,3:09,Jets,Chris Ivory 1 yard rush (pass failed),16,11
