Unnamed: 0,NYJ,OAK
First Downs,23,19
Rush-Yds-TDs,33-242-1,38-153-0
Cmp-Att-Yd-TD-INT,21-38-197-0-2,17-30-203-1-0
Sacked-Yards,3-21,2-12
Net Pass Yards,176,191
Total Yards,418,344
Fumbles-Lost,4-1,2-0
Turnovers,3,0
Penalties-Yards,7-60,14-85
Third Down Conv.,5-16,4-17
Fourth Down Conv.,0-0,1-1
Time of Possession,36:51,35:39
