Quarter,Time,Tm,Detail,NYJ,OAK
1,11:41,Jets,Jay Feely 40 yard field goal,3,0
,1:49,Raiders,Sebastian Janikowski 29 yard field goal,3,3
3,9:35,Raiders,Javon Walker 8 yard pass from JaMarcus Russell (Sebastian Janikowski kick),3,10
4,8:00,Jets,Leon Washington 11 yard rush (Jay Feely kick),10,10
,2:56,Raiders,Sebastian Janikowski 37 yard field goal,10,13
,0:03,Jets,Jay Feely 52 yard field goal,13,13
OT,2:30,Raiders,Sebastian Janikowski 57 yard field goal,13,16
