Quarter,Time,Down,ToGo,Location,NYJ,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,OAK 30,0,0,"Sebastian Janikowski kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,NYJ 20,0,0,Brett Favre pass complete short middle to Chris Baker for 8 yards (tackle by Gerard Warren),0.280,0.810
1,14:26,2,2,NYJ 28,0,0,Brett Favre pass complete short left to Chris Baker for 10 yards (tackle by Ricky Brown),0.810,1.470
1,13:59,1,10,NYJ 38,0,0,"Brett Favre pass incomplete short middle intended for Chris Baker. Penalty on Jay Richardson: Defensive Offside, 5 yards (no play)",1.470,2.200
1,13:55,1,5,NYJ 43,0,0,"Brett Favre pass incomplete deep right intended for Chris Baker. Penalty on Kalimba Edwards: Defensive Offside, 5 yards (no play)",2.200,2.130
1,13:51,1,10,NYJ 48,0,0,Brett Favre pass complete short right to Brad Smith for 9 yards (tackle by DeAngelo Hall),2.130,2.800
1,13:26,2,1,OAK 43,0,0,Brad Smith up the middle for 4 yards (tackle by Kirk Morrison),2.800,2.980
1,13:01,1,10,OAK 39,0,0,"Brett Favre pass complete short right to Jerricho Cotchery for 5 yards (tackle by Gibril Wilson). Penalty on Jay Richardson: Defensive Offside, 5 yards (no play)",2.980,3.710
1,12:39,1,5,OAK 34,0,0,Brett Favre pass complete short middle to Chris Baker for 7 yards (tackle by Stanford Routt),3.710,3.780
1,12:16,1,10,OAK 27,0,0,Brett Favre pass complete short middle to Chris Baker for 5 yards (tackle by Stanford Routt),3.780,3.910
1,11:53,2,5,OAK 22,0,0,Brett Favre pass incomplete short right intended for Jerricho Cotchery,3.910,3.200
1,11:49,3,5,OAK 22,0,0,Brett Favre pass incomplete short middle intended for Brad Smith (defended by DeAngelo Hall),3.200,2.040
1,11:44,4,5,OAK 22,3,0,Jay Feely 40 yard field goal good,2.040,3.000
1,,,,NYJ 30,3,0,"Jay Feely kicks off 60 yards, returned by Tyvon Branch for 20 yards (tackle by Abram Elam)",0.000,0.940
1,11:35,1,10,OAK 30,3,0,"Penalty on Robert Gallery: False Start, 5 yards (no play)",0.940,0.610
1,11:35,1,15,OAK 25,3,0,Justin Fargas left tackle for 8 yards (tackle by Eric Barton and Eric Smith),0.610,0.800
1,11:01,2,7,OAK 33,3,0,JaMarcus Russell pass complete short right to Chaz Schilens for 5 yards (tackle by Darrelle Revis),0.800,0.760
1,10:27,3,2,OAK 38,3,0,Justin Fargas right tackle for no gain (tackle by Calvin Pace),0.760,-0.850
1,9:48,4,2,OAK 38,3,0,"Shane Lechler punts 49 yards, returned by Leon Washington for no gain",-0.850,0.320
1,9:36,1,10,NYJ 13,3,0,Brett Favre pass incomplete short right intended for Jerricho Cotchery (defended by DeAngelo Hall),-0.320,-0.770
1,9:33,2,10,NYJ 13,3,0,Brett Favre pass complete short right to Brad Smith for -5 yards (tackle by Thomas Howard),-0.770,-2.010
1,8:47,3,15,NYJ 8,3,0,Brett Favre pass complete short middle to Chris Baker for 12 yards (tackle by Kirk Morrison),-2.010,-2.030
1,8:14,4,3,NYJ 20,3,0,Reggie Hodges punts 45 yards,-2.030,-1.270
1,8:05,1,10,OAK 35,3,0,Darren McFadden left end for 2 yards (tackle by Eric Barton),1.270,0.990
1,7:32,2,8,OAK 37,3,0,Darren McFadden right end for 15 yards (tackle by Kerry Rhodes),0.990,2.390
1,6:55,1,10,NYJ 48,3,0,Darren McFadden left tackle for no gain (tackle by Kris Jenkins and Kenyon Coleman),2.390,1.850
1,6:19,2,10,NYJ 48,3,0,"JaMarcus Russell pass complete short middle to Darren McFadden for 5 yards (tackle by Eric Barton). Penalty on Kwame Harris: Offensive Holding, 10 yards (no play)",1.850,0.500
1,5:53,2,20,OAK 42,3,0,JaMarcus Russell pass complete short right to Darren McFadden for 9 yards (tackle by Eric Barton),0.500,1.030
1,5:11,3,11,NYJ 49,3,0,"Penalty on Kwame Harris: False Start, 5 yards (no play)",1.030,0.370
1,4:48,3,16,OAK 46,3,0,JaMarcus Russell pass complete short left to Zach Miller for 7 yards (tackle by Hank Poteat),0.370,0.130
1,4:09,4,9,NYJ 47,3,0,"Shane Lechler punts 32 yards, muffed catch by Leon Washington, recovered by Sam Williams and returned for no gain",0.130,4.510
1,4:00,1,10,NYJ 16,3,0,JaMarcus Russell pass complete short right to Zach Miller for 13 yards (tackle by Kerry Rhodes),4.510,6.510
1,3:16,1,3,NYJ 3,3,0,Justin Fargas left tackle for 1 yard (tackle by Kenyon Coleman),6.510,5.720
1,2:41,,,,3,0,Timeout #1 by New York Jets,0.000,5.720
