Unnamed: 0,HOU,ATL
First Downs,24,22
Rush-Yds-TDs,17-54-1,35-135-4
Cmp-Att-Yd-TD-INT,29-57-382-2-1,19-27-256-1-0
Sacked-Yards,1-8,2-13
Net Pass Yards,374,243
Total Yards,428,378
Fumbles-Lost,3-3,0-0
Turnovers,4,0
Penalties-Yards,5-35,10-80
Third Down Conv.,7-15,9-16
Fourth Down Conv.,0-2,1-1
Time of Possession,24:08,35:52
