Unnamed: 0,NOR,SEA
First Downs,25,13
Rush-Yds-TDs,26-108-1,35-174-2
Cmp-Att-Yd-TD-INT,24-43-309-1-0,9-18-103-0-0
Sacked-Yards,1-8,3-0
Net Pass Yards,301,103
Total Yards,409,277
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,8-69,6-52
Third Down Conv.,3-12,5-14
Fourth Down Conv.,1-3,0-0
Time of Possession,30:30,29:30
