Quarter,Time,Down,ToGo,Location,NOR,SEA,Detail,EPB,EPA
1,5:50,3,13,SEA 36,0,3,Drew Brees pass complete short middle to Darren Sproles for 9 yards (tackle by Earl Thomas and Michael Bennett),1.750,1.750
1,5:08,4,4,SEA 27,0,3,Shayne Graham 45 yard field goal no good,1.750,-1.270
1,5:03,1,10,SEA 35,0,3,Russell Wilson sacked by John Jenkins for 0 yards,1.270,0.720
1,4:28,2,10,SEA 35,0,3,Marshawn Lynch up the middle for 6 yards (tackle by Corey White),0.720,0.830
1,3:52,3,4,SEA 41,0,3,Russell Wilson pass complete short right to Golden Tate for 13 yards (tackle by Curtis Lofton and Rafael Bush),0.830,2.520
1,3:08,1,10,NOR 46,0,3,Russell Wilson pass complete short right to Marshawn Lynch for 3 yards,2.520,2.380
1,2:41,2,7,NOR 43,0,3,Marshawn Lynch left tackle for 7 yards (tackle by Ramon Humber and Malcolm Jenkins),2.380,3.180
1,1:59,1,10,NOR 36,0,3,Robert Turbin right guard for 5 yards (tackle by Malcolm Jenkins and David Hawthorne),3.180,3.310
1,1:24,2,5,NOR 31,0,3,Robert Turbin up the middle for no gain (tackle by Cameron Jordan and Corey White),3.310,2.610
1,0:45,3,5,NOR 31,0,3,Russell Wilson pass incomplete short middle intended for Golden Tate,2.610,1.350
1,0:42,4,5,NOR 31,0,6,Steven Hauschka 49 yard field goal good,1.350,3.000
1,0:42,,,SEA 35,0,6,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.280
1,0:37,1,10,NOR 20,0,6,Mark Ingram right tackle for 4 yards (tackle by Richard Sherman),0.280,0.270
Quarter,Time,Down,ToGo,Location,NOR,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,NOR 24,0,6,"Mark Ingram up the middle for no gain (tackle by Michael Bennett). Mark Ingram fumbles (forced by Michael Bennett), recovered by Michael Bennett at NOR-24 (tackle by Jahri Evans)",0.270,-3.970
2,14:51,1,10,NOR 24,0,6,Percy Harvin right end for 9 yards (tackle by Curtis Lofton),3.970,4.850
2,14:23,2,1,NOR 15,0,12,"Marshawn Lynch up the middle for 15 yards, touchdown",4.850,7.000
2,14:23,,,NOR 2,0,13,Steven Hauschka kicks extra point good,0.000,0.000
2,14:23,,,SEA 35,0,13,"Steven Hauschka kicks off 67 yards, returned by Darren Sproles for 25 yards (tackle by Michael Robinson)",0.000,-0.480
2,14:11,1,10,NOR 23,0,13,Khiry Robinson left tackle for 13 yards (tackle by Earl Thomas and Byron Maxwell),0.480,1.330
2,13:33,1,10,NOR 36,0,13,Drew Brees pass incomplete short middle intended for Lance Moore,1.330,0.790
2,13:28,2,10,NOR 36,0,13,Drew Brees pass incomplete short right intended for Josh Hill,0.790,0.100
2,13:23,3,10,NOR 36,0,13,Drew Brees pass incomplete short middle intended for Marques Colston (defended by Walter Thurmond),0.100,-0.980
2,13:17,4,10,NOR 36,0,13,"Thomas Morstead punts 55 yards. Penalty on Jeremy Lane: Offensive Holding, 7 yards",-0.980,0.380
2,13:06,1,10,SEA 7,0,13,Marshawn Lynch up the middle for 4 yards (tackle by Akiem Hicks),-0.380,-0.490
2,12:22,2,6,SEA 11,0,13,Marshawn Lynch left tackle for 3 yards (tackle by Junior Galette and David Hawthorne),-0.490,-0.600
2,11:43,3,3,SEA 14,0,13,Marshawn Lynch right tackle for 7 yards (tackle by Brodrick Bunkley and Curtis Lofton),-0.600,0.340
2,11:01,1,10,SEA 21,0,13,Marshawn Lynch right guard for 7 yards (tackle by Roman Harper and Malcolm Jenkins),0.340,0.750
2,10:19,2,3,SEA 28,0,13,"Robert Turbin right guard for 37 yards (tackle by Rafael Bush). Penalty on Breno Giacomini: Offensive Holding, 10 yards (no play)",0.750,-0.700
2,9:54,2,13,SEA 18,0,13,Robert Turbin up the middle for 4 yards (tackle by David Hawthorne and Cameron Jordan),-0.700,-0.760
2,9:15,3,9,SEA 22,0,13,Russell Wilson pass complete short middle to Percy Harvin for 6 yards (tackle by Trevin Wade),-0.760,-0.760
2,9:02,3,9,SEA 22,0,13,Timeout #1 by New Orleans Saints,-0.760,-1.500
2,9:02,4,3,SEA 28,0,13,Jon Ryan punts 24 yards,-1.500,-2.130
2,8:54,1,10,NOR 48,0,13,Khiry Robinson right tackle for 17 yards (tackle by Bobby Wagner and Richard Sherman),2.130,3.250
2,8:24,1,10,SEA 35,0,13,Khiry Robinson right tackle for 5 yards (tackle by Bobby Wagner and Earl Thomas),3.250,3.380
2,7:45,2,5,SEA 30,0,13,Khiry Robinson left guard for 1 yard (tackle by Chris Clemons and Malcolm Smith),3.380,2.810
2,6:56,3,4,SEA 29,0,13,Khiry Robinson right tackle for no gain (tackle by Bobby Wagner and Kam Chancellor),2.810,1.560
2,6:08,4,4,SEA 29,0,13,Drew Brees pass incomplete short middle intended for Marques Colston (defended by Bobby Wagner),1.560,-0.870
2,6:02,1,10,SEA 29,0,13,Marshawn Lynch right tackle for 18 yards (tackle by Curtis Lofton),0.870,2.060
2,5:26,1,10,SEA 47,0,13,Marshawn Lynch left tackle for 1 yard (tackle by Curtis Lofton and Ramon Humber),2.060,1.650
2,4:46,2,9,SEA 48,0,13,Russell Wilson right guard for 1 yard (tackle by David Hawthorne),1.650,1.650
2,4:41,2,9,SEA 48,0,13,Timeout #2 by New Orleans Saints,1.650,1.090
2,4:41,3,8,SEA 49,0,13,Russell Wilson pass complete short left to Percy Harvin for 16 yards (tackle by Corey White),1.090,3.250
2,3:56,1,10,NOR 35,0,13,Marshawn Lynch up the middle for 5 yards (tackle by David Hawthorne),3.250,3.380
2,3:19,2,5,NOR 30,0,13,"Marshawn Lynch left end for 3 yards (tackle by Ramon Humber). Penalty on Russell Okung: Offensive Holding, 10 yards (no play)",3.380,2.030
2,2:57,2,15,NOR 40,0,13,Russell Wilson pass complete deep right to Jermaine Kearse for 25 yards (tackle by Rafael Bush),2.030,4.580
2,2:07,1,10,NOR 15,0,13,Russell Wilson for 7 yards,4.580,5.220
2,1:58,2,3,NOR 8,0,13,Marshawn Lynch left end for no gain (tackle by David Hawthorne),5.220,4.450
2,1:50,3,3,NOR 8,0,13,"Russell Wilson pass incomplete short right intended for Golden Tate. Penalty on Keenan Lewis: Defensive Holding, 5 yards (no play)",4.450,6.510
2,1:46,1,3,NOR 3,0,13,Marshawn Lynch right end for -5 yards (tackle by Cameron Jordan and Akiem Hicks),6.510,6.510
2,1:40,1,3,NOR 3,0,13,Timeout #3 by New Orleans Saints,6.510,4.570
2,1:40,2,8,NOR 8,0,13,Russell Wilson pass incomplete short left intended for Percy Harvin,4.570,4.570
2,1:28,2,8,NOR 8,0,13,Timeout #1 by Seattle Seahawks,4.570,3.580
2,1:28,3,8,NOR 8,0,13,Russell Wilson sacked by Cameron Jordan for 0 yards,3.580,2.950
2,1:22,4,8,NOR 8,0,16,Steven Hauschka 26 yard field goal good,2.950,3.000
2,1:22,,,SEA 35,0,16,"Steven Hauschka kicks off 67 yards, returned by Darren Sproles for 18 yards (tackle by DeShawn Shead)",0.000,0.140
2,1:12,1,10,NOR 16,0,16,Drew Brees pass complete short left to Marques Colston for 9 yards (tackle by Earl Thomas and Walter Thurmond),-0.140,0.690
2,0:50,2,1,NOR 25,0,16,Drew Brees pass incomplete short middle intended for Jimmy Graham (defended by Earl Thomas),0.690,-0.200
2,0:47,3,1,NOR 25,0,16,Drew Brees pass complete short left to Darren Sproles for 6 yards (tackle by Earl Thomas),-0.200,1.000
2,0:25,1,10,NOR 31,0,16,Drew Brees pass incomplete deep left intended for Marques Colston,1.000,0.460
2,0:18,2,10,NOR 31,0,16,Darren Sproles up the middle for 1 yard (tackle by Michael Bennett and Clinton McDonald),0.460,-0.100
Quarter,Time,Down,ToGo,Location,NOR,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 35,0,16,"Thomas Morstead kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,SEA 20,0,16,Marshawn Lynch right tackle for 3 yards (tackle by Brodrick Bunkley),0.280,0.140
3,14:19,2,7,SEA 23,0,16,Marshawn Lynch left tackle for 3 yards (tackle by Roman Harper),0.140,-0.160
3,13:38,3,4,SEA 26,0,16,Russell Wilson pass incomplete short left intended for Marshawn Lynch,-0.160,-1.630
3,13:34,4,4,SEA 26,0,16,"Jon Ryan punts 42 yards, fair catch by Darren Sproles",-1.630,-1.070
3,13:26,1,10,NOR 32,0,16,Drew Brees pass complete short left to Marques Colston for 16 yards (tackle by Byron Maxwell),1.070,2.130
3,12:47,1,10,NOR 48,0,16,Drew Brees pass complete deep left to Robert Meachem for 17 yards (tackle by Byron Maxwell),2.130,3.250
3,12:04,1,10,SEA 35,0,16,Mark Ingram right tackle for 1 yard (tackle by Richard Sherman),3.250,2.840
3,11:29,2,9,SEA 34,0,16,Drew Brees pass complete short right to Ben Watson for no gain,2.840,2.150
3,10:43,3,9,SEA 34,0,16,"Drew Brees sacked by Michael Bennett and Cliff Avril for -10 yards. Drew Brees fumbles (forced by Michael Bennett), recovered by Jahri Evans at SEA-42",2.150,0.460
3,10:08,4,17,SEA 42,0,16,Thomas Morstead punts 36 yards,0.460,0.380
3,9:59,1,10,SEA 6,0,16,Marshawn Lynch right tackle for 1 yard (tackle by Akiem Hicks and David Hawthorne),-0.380,-0.710
3,9:21,2,9,SEA 7,0,16,Russell Wilson pass incomplete short right intended for Golden Tate,-0.710,-1.300
3,9:14,3,9,SEA 7,0,16,Marshawn Lynch left tackle for 12 yards (tackle by Roman Harper),-1.300,0.150
3,8:32,1,10,SEA 19,0,16,Marshawn Lynch left guard for 3 yards (tackle by Keyunta Dawson),0.150,0.070
3,7:50,2,7,SEA 22,0,16,Marshawn Lynch right tackle for 1 yard (tackle by Ramon Humber and Curtis Lofton),0.070,-0.550
3,7:10,3,6,SEA 23,0,16,Marshawn Lynch left end for -2 yards (tackle by Corey White),-0.550,-1.960
3,6:34,4,8,SEA 21,0,16,Jon Ryan punts 40 yards,-1.960,-1.530
3,6:22,1,10,NOR 39,0,16,Drew Brees pass incomplete deep left intended for Marques Colston,1.530,0.990
3,6:16,2,10,NOR 39,0,16,"Khiry Robinson left tackle for -5 yards (tackle by Michael Bennett). Penalty on Bobby Wagner: Unsportsmanlike Conduct, 15 yards",0.990,2.190
3,5:41,1,10,NOR 49,0,16,Khiry Robinson right guard for 6 yards (tackle by Bruce Irvin and Kam Chancellor),2.190,2.460
3,5:05,2,4,SEA 45,0,16,Drew Brees pass incomplete short middle intended for Jimmy Graham (defended by Tony McDaniel),2.460,1.750
3,5:01,3,4,SEA 45,0,16,Darren Sproles left tackle for 1 yard (tackle by Bobby Wagner),1.750,0.330
3,4:20,4,3,SEA 44,0,16,Drew Brees pass incomplete short middle intended for Lance Moore,0.330,-1.860
3,4:13,1,10,SEA 44,0,16,Russell Wilson sacked by Curtis Lofton for 0 yards,1.860,1.320
3,3:35,2,10,SEA 44,0,16,Marshawn Lynch up the middle for 4 yards (tackle by Roman Harper and Brodrick Bunkley),1.320,1.160
3,2:54,3,6,SEA 48,0,16,Russell Wilson pass incomplete short right intended for Doug Baldwin,1.160,-0.190
3,2:50,4,6,SEA 48,0,16,Jon Ryan punts 26 yards,-0.190,-0.670
3,2:38,1,10,NOR 26,0,16,Drew Brees pass complete short middle to Marques Colston for 6 yards (tackle by Malcolm Smith and Kam Chancellor),0.670,0.940
3,2:00,2,4,NOR 32,0,16,Mark Ingram left tackle for 6 yards (tackle by Kam Chancellor and Byron Maxwell),0.940,1.470
3,1:22,1,10,NOR 38,0,16,Drew Brees pass complete deep left to Josh Hill for 23 yards (tackle by Byron Maxwell and Bobby Wagner),1.470,2.980
3,0:43,1,10,SEA 39,0,16,Drew Brees pass complete deep left to Marques Colston for 25 yards (tackle by Malcolm Smith),2.980,4.650
3,0:08,1,10,SEA 14,0,16,Mark Ingram up the middle for 3 yards (tackle by Malcolm Smith),4.650,4.520
Quarter,Time,Down,ToGo,Location,NOR,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,SEA 11,0,16,Drew Brees pass complete short right to Lance Moore for 9 yards (tackle by Kam Chancellor and Malcolm Smith),4.520,6.740
4,14:31,1,2,SEA 2,0,16,Mark Ingram right tackle for -1 yards (tackle by Malcolm Smith and Kam Chancellor),6.740,5.530
4,13:55,2,3,SEA 3,0,16,Khiry Robinson left tackle for 2 yards (tackle by Kam Chancellor and Richard Sherman),5.530,5.170
4,13:14,3,1,SEA 1,6,16,"Khiry Robinson right tackle for 1 yard, touchdown",5.170,7.000
4,13:14,,,,8,16,"Two Point Attempt: Mark Ingram left guard, conversion succeeds",0.000,1.000
4,13:14,,,NOR 35,8,16,"Thomas Morstead kicks off 70 yards, returned by Doug Baldwin for 21 yards (tackle by Trevin Wade). Penalty on Ramon Humber: Unnecessary Roughness, 15 yards",0.000,-1.000
4,13:06,1,10,SEA 31,8,16,Russell Wilson pass incomplete,1.000,0.460
4,13:00,2,10,SEA 31,8,16,Russell Wilson pass complete short left to Zach Miller for 11 yards (tackle by Corey White),0.460,1.730
4,12:14,1,10,SEA 42,8,16,Marshawn Lynch up the middle for no gain (tackle by David Hawthorne and Brodrick Bunkley),1.730,1.190
4,11:33,2,10,SEA 42,8,16,Russell Wilson pass incomplete deep right intended for Golden Tate,1.190,0.500
4,11:26,3,10,SEA 42,8,16,Russell Wilson left end for 8 yards (tackle by Roman Harper),0.500,-0.060
4,10:40,4,2,,8,16,"Jon Ryan punts 44 yards, out of bounds",-0.060,0.380
4,10:32,1,10,NOR 6,8,16,Khiry Robinson right guard for 9 yards (tackle by Kam Chancellor and Richard Sherman),-0.380,-0.070
4,9:58,2,1,NOR 15,8,16,Drew Brees pass complete short right to Marques Colston for 6 yards (tackle by Malcolm Smith),-0.070,0.340
4,9:19,1,10,NOR 21,8,16,Drew Brees pass incomplete short right intended for Travaris Cadet,0.340,0.340
4,9:14,1,10,NOR 21,8,16,Timeout #1 by New Orleans Saints,0.340,-0.200
4,9:14,2,10,NOR 21,8,16,Drew Brees pass complete short middle to Marques Colston for 15 yards (tackle by Malcolm Smith),-0.200,1.330
4,8:36,1,10,NOR 36,8,16,Mark Ingram right tackle for 6 yards (tackle by Brandon Mebane),1.330,1.600
4,7:56,2,4,NOR 42,8,16,"Drew Brees pass complete deep left to Kenny Stills for 30 yards (tackle by Byron Maxwell). Penalty on Zach Strief: Offensive Holding, 10 yards (no play)",1.600,0.250
4,7:30,2,14,NOR 32,8,16,Drew Brees pass incomplete short middle intended for Jimmy Graham (defended by Kam Chancellor),0.250,-0.430
4,7:23,3,14,NOR 32,8,16,Drew Brees pass incomplete short middle intended for Jimmy Graham (defended by Earl Thomas),-0.430,-1.240
4,7:18,4,14,NOR 32,8,16,"Thomas Morstead punts 48 yards, out of bounds",-1.240,-0.280
4,7:09,1,10,SEA 20,8,16,Marshawn Lynch left guard for 4 yards (tackle by Cameron Jordan),0.280,0.270
4,6:28,2,6,SEA 24,8,16,Marshawn Lynch right tackle for 4 yards (tackle by Keyunta Dawson and Akiem Hicks),0.270,0.100
4,5:44,3,2,SEA 28,8,16,Russell Wilson pass incomplete short left intended for Golden Tate (defended by Keenan Lewis),0.100,-1.500
4,5:40,4,2,SEA 28,8,16,"Jon Ryan punts 44 yards, fair catch by Darren Sproles",-1.500,-0.810
4,5:31,1,10,NOR 28,8,16,"Khiry Robinson left tackle for 3 yards (tackle by Byron Maxwell and Red Bryant). Penalty on Josh Hill: Offensive Holding, 10 yards (no play)",0.810,-0.040
4,5:09,1,20,NOR 18,8,16,"Drew Brees pass incomplete. Penalty on Chris Clemons: Defensive Holding, 5 yards (no play)",-0.040,0.480
4,5:03,1,10,NOR 23,8,16,Drew Brees pass complete deep left to Robert Meachem for 52 yards (tackle by Kam Chancellor),0.480,3.910
4,4:09,1,10,SEA 25,8,16,"Penalty on Drew Brees: Delay of Game, 5 yards (no play)",3.910,3.580
4,4:09,1,15,SEA 30,8,16,Drew Brees pass incomplete short middle intended for Mark Ingram,3.580,3.580
4,4:04,1,15,SEA 30,8,16,Timeout #2 by New Orleans Saints,3.580,2.690
4,4:04,2,15,SEA 30,8,16,Drew Brees pass incomplete short right intended for Marques Colston,2.690,2.010
4,4:00,3,15,SEA 30,8,16,Drew Brees pass incomplete short right intended for Darren Sproles (defended by Cliff Avril),2.010,1.410
4,3:56,4,15,SEA 30,8,16,Shayne Graham 48 yard field goal no good,1.410,-1.470
4,3:51,1,10,SEA 38,8,16,Russell Wilson pass incomplete short right intended for Marshawn Lynch,1.470,0.920
4,3:46,2,10,SEA 38,8,16,Marshawn Lynch up the middle for 7 yards (tackle by Malcolm Jenkins and Roman Harper),0.920,1.160
4,2:57,3,3,SEA 45,8,16,Russell Wilson pass complete deep left to Doug Baldwin for 24 yards (tackle by Corey White),1.160,3.510
,,,,,,,"NOR challenged the pass completion ruling, and the play was upheld.",,
4,2:48,1,10,NOR 31,8,22,"Marshawn Lynch left end for 31 yards, touchdown",3.510,7.000
4,2:48,,,NOR 2,8,23,Steven Hauschka kicks extra point good,0.000,0.000
4,2:48,,,SEA 35,8,23,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.280
4,2:40,1,10,NOR 20,8,23,Drew Brees pass complete short middle to Marques Colston for 18 yards (tackle by Bobby Wagner),0.280,1.470
4,2:20,1,10,NOR 38,8,23,Drew Brees pass complete short middle to Lance Moore for 11 yards (tackle by Earl Thomas),1.470,2.190
4,2:00,1,10,NOR 49,8,23,Drew Brees pass complete short left to Marques Colston for 11 yards (tackle by Jeremy Lane). Penalty on Cliff Avril: Illegal Use of Hands (Declined),2.190,2.920
4,1:52,1,10,SEA 40,8,23,Drew Brees pass complete short middle to Marques Colston for 16 yards (tackle by Bobby Wagner and Earl Thomas),2.920,3.970
4,1:31,1,10,SEA 24,8,23,Drew Brees pass complete short middle to Darren Sproles for 6 yards (tackle by Walter Thurmond),3.970,4.290
4,1:12,2,4,SEA 18,8,23,"Drew Brees pass incomplete short right intended for Kenny Stills. Penalty on SEA: Defensive 12 On-field, 5 yards (no play)",4.290,4.710
4,1:08,1,10,SEA 13,8,23,Drew Brees pass incomplete short middle intended for Jimmy Graham (defended by Kam Chancellor),4.710,4.710
4,1:03,1,10,SEA 13,8,23,Timeout #1 by Seattle Seahawks,4.710,4.050
4,1:03,2,10,SEA 13,8,23,Drew Brees pass incomplete short middle intended for Lance Moore,4.050,3.120
4,0:58,3,10,SEA 13,8,23,"Drew Brees pass complete short right to Lance Moore for 7 yards (tackle by Richard Sherman). Penalty on Lance Moore: Offensive Pass Interference, 10 yards (no play)",3.120,2.150
4,0:52,3,20,SEA 23,8,23,Drew Brees pass complete short middle to Darren Sproles for 14 yards (tackle by Bobby Wagner and Kam Chancellor),2.150,2.850
4,0:32,4,6,SEA 9,14,23,"Drew Brees pass complete short right to Marques Colston for 9 yards, touchdown",2.850,7.000
4,0:32,,,SEA 2,15,23,Shayne Graham kicks extra point good,0.000,0.000
4,0:26,4,6,SEA 9,15,23,Timeout #2 by Seattle Seahawks,2.850,0.000
4,0:32,,,NOR 35,15,23,Shayne Graham kicks onside 6 yards,0.000,1.660
4,0:24,1,10,NOR 41,15,23,Drew Brees pass complete short middle to Jimmy Graham for 8 yards (tackle by Earl Thomas),1.660,2.200
4,0:15,2,2,NOR 49,15,23,Drew Brees spiked the ball,2.200,1.490
4,0:11,3,2,NOR 49,15,23,Drew Brees pass incomplete short right intended for Marques Colston. Penalty on Marques Colston: Illegal Forward Pass,1.490,-0.130
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
