Unnamed: 0,IND,ARI
First Downs,22,21
Rush-Yds-TDs,31-126-0,12-24-0
Cmp-Att-Yd-TD-INT,24-35-379-4-1,32-54-339-1-2
Sacked-Yards,0-0,4-40
Net Pass Yards,379,299
Total Yards,505,323
Fumbles-Lost,1-0,3-1
Turnovers,1,3
Penalties-Yards,7-69,5-35
Third Down Conv.,3-11,4-14
Fourth Down Conv.,1-2,1-2
Time of Possession,31:42,28:18
