Unnamed: 0,NWE,BUF
First Downs,11,23
Rush-Yds-TDs,23-74-1,22-135-1
Cmp-Att-Yd-TD-INT,18-39-150-0-1,22-44-280-0-4
Sacked-Yards,0-0,5-40
Net Pass Yards,150,240
Total Yards,224,375
Fumbles-Lost,1-0,2-0
Turnovers,1,4
Penalties-Yards,8-58,8-76
Third Down Conv.,5-18,2-13
Fourth Down Conv.,0-0,1-2
Time of Possession,27:20,32:40
