Quarter,Time,Tm,Detail,NWE,BUF
1.0,7:35,Patriots,Brandon Bolden 4 yard rush (Stephen Gostkowski kick failed),6,0
,6:22,Patriots,Matthew Slater 11 yard blocked punt return (Stephen Gostkowski kick),13,0
2.0,1:55,Bills,Stephen Hauschka 46 yard field goal,13,3
3.0,10:37,Bills,Josh Allen 1 yard rush (Stephen Hauschka kick),13,10
,0:58,Patriots,Stephen Gostkowski 23 yard field goal,16,10
