Unnamed: 0,NOR,ATL
First Downs,26,25
Rush-Yds-TDs,23-132-2,22-142-1
Cmp-Att-Yd-TD-INT,29-50-350-2-1,27-36-331-4-0
Sacked-Yards,2-9,1-8
Net Pass Yards,341,323
Total Yards,473,465
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,6-70,9-63
Third Down Conv.,7-16,6-11
Fourth Down Conv.,3-3,0-0
Time of Possession,30:15,29:45
