Quarter,Time,Tm,Detail,NOR,ATL
1.0,11:55,Falcons,Tevin Coleman 7 yard pass from Matt Ryan (Matt Bryant kick),0,7
,3:53,Saints,Wil Lutz 19 yard field goal,3,7
,3:42,Falcons,Devonta Freeman 75 yard rush (Matt Bryant kick),3,14
,0:52,Saints,Tim Hightower 2 yard rush (Wil Lutz kick),10,14
2.0,14:17,Falcons,Julio Jones 1 yard pass from Matt Ryan (Matt Bryant kick),10,21
,6:51,Falcons,Mohamed Sanu 10 yard pass from Matt Ryan (Matt Bryant kick),10,28
,3:40,Saints,Wil Lutz 40 yard field goal,13,28
,0:32,Falcons,Justin Hardy 7 yard pass from Matt Ryan (Matt Bryant kick),13,35
3.0,5:17,Falcons,Matt Bryant 22 yard field goal,13,38
4.0,12:41,Saints,Michael Thomas 14 yard pass from Drew Brees (run failed),19,38
,2:47,Saints,Mark Ingram 1 yard rush (pass failed),25,38
,0:39,Saints,Travaris Cadet 3 yard pass from Drew Brees (Wil Lutz kick),32,38
