Unnamed: 0,DET,CHI
First Downs,13,18
Rush-Yds-TDs,29-77-0,32-128-2
Cmp-Att-Yd-TD-INT,14-26-187-1-1,16-35-227-0-2
Sacked-Yards,2-2,3-13
Net Pass Yards,185,214
Total Yards,262,342
Fumbles-Lost,0-0,3-2
Turnovers,1,4
Penalties-Yards,9-80,9-95
Third Down Conv.,2-14,6-16
Fourth Down Conv.,0-1,0-0
Time of Possession,29:42,30:18
