Quarter,Time,Tm,Detail,DET,CHI
1.0,7:38,Bears,Thomas Jones 2 yard rush (Paul Edinger kick),0,7
2.0,0:16,Lions,Jason Hanson 27 yard field goal,3,7
3.0,12:17,Lions,Bracy Walker 92 yard blocked field goal return (Jason Hanson kick),10,7
,7:37,Lions,Jason Hanson 21 yard field goal,13,7
4.0,12:40,Bears,Thomas Jones 2 yard rush (Paul Edinger kick),13,14
,9:54,Lions,Az-Zahir Hakim 4 yard pass from Joey Harrington (Jason Hanson kick),20,14
,1:53,Bears,"Safety,",20,16
