Quarter,Time,Tm,Detail,IND,JAX
1.0,5:55,Colts,Marvin Harrison 15 yard pass from Peyton Manning (Mike Vanderjagt kick),7,0
2.0,0:40,Colts,Mike Vanderjagt 46 yard field goal,10,0
,0:00,Jaguars,Josh Scobee 48 yard field goal,10,3
3.0,8:46,Jaguars,Josh Scobee 42 yard field goal,10,6
,2:54,Colts,Marcus Pollard 16 yard pass from Peyton Manning (Mike Vanderjagt kick),17,6
4.0,12:03,Jaguars,Josh Scobee 22 yard field goal,17,9
,10:37,Jaguars,Jimmy Smith 40 yard pass from Byron Leftwich (Brian Jones pass from Byron Leftwich),17,17
,3:33,Colts,Edgerrin James 3 yard rush (Mike Vanderjagt kick),24,17
