Unnamed: 0,KAN,MIN
First Downs,21,24
Rush-Yds-TDs,21-67-1,18-70-0
Cmp-Att-Yd-TD-INT,31-41-281-2-0,29-47-284-2-0
Sacked-Yards,2-15,3-25
Net Pass Yards,266,259
Total Yards,333,329
Fumbles-Lost,0-0,2-1
Turnovers,0,1
Penalties-Yards,10-86,4-51
Third Down Conv.,9-15,6-14
Fourth Down Conv.,0-0,4-5
Time of Possession,31:59,28:01
