Quarter,Time,Down,ToGo,Location,KAN,MIN,Detail,EPB,EPA
1,9:38,2,3,MIN 32,7,0,Kirk Cousins pass incomplete short right intended for K.J. Osborn (defended by Trent McDuffie),1.010,0.300
1,9:33,3,3,MIN 32,7,0,Kirk Cousins pass complete short right to T.J. Hockenson for 6 yards (tackle by Justin Reid),0.300,1.470
1,8:53,1,10,MIN 38,7,0,Kirk Cousins pass complete short right to Justin Jefferson for 4 yards (tackle by Trent McDuffie),1.470,1.460
1,8:23,2,6,MIN 42,7,0,Kirk Cousins pass complete short right to Justin Jefferson for 10 yards (tackle by L'Jarius Sneed),1.460,2.390
1,7:55,1,10,KAN 48,7,0,Kirk Cousins pass complete short left to K.J. Osborn for -1 yards (tackle by Bryan Cook and Joshua Williams),2.390,1.710
1,7:17,2,11,KAN 49,7,0,Alexander Mattison left tackle for 6 yards (tackle by Willie Gay),1.710,1.820
1,6:34,3,5,KAN 43,7,0,Kirk Cousins pass incomplete short right intended for K.J. Osborn (defended by L'Jarius Sneed),1.820,0.400
1,6:29,4,5,KAN 43,7,0,Kirk Cousins pass complete short middle to Jordan Addison for 11 yards (tackle by Bryan Cook),0.400,3.450
1,5:50,1,10,KAN 32,7,0,"Alexander Mattison left guard for 2 yards (tackle by Bryan Cook and Drue Tranquill). Penalty on Tershawn Wharton: Defensive Holding, 5 yards (accepted)",3.450,3.910
1,5:32,1,10,KAN 25,7,0,Kirk Cousins sacked by Leo Chenal for -8 yards,3.910,2.280
1,4:52,2,18,KAN 33,7,0,Kirk Cousins pass complete short middle to Alexander Mattison for 11 yards (tackle by Justin Reid and Joshua Williams),2.280,3.070
1,4:12,3,7,KAN 22,7,0,Kirk Cousins pass incomplete short left intended for T.J. Hockenson,3.070,1.990
1,4:06,4,7,KAN 22,7,3,Greg Joseph 40 yard field goal good,1.990,3.000
1,4:02,,,MIN 35,7,3,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
1,4:02,1,10,KAN 25,7,3,Clyde Edwards-Helaire left end for 2 yards (tackle by Jordan Hicks),0.610,0.330
1,3:28,2,8,KAN 27,7,3,Patrick Mahomes pass complete short right to Travis Kelce for 6 yards (tackle by Camryn Bynum),0.330,0.430
1,2:51,3,2,KAN 33,7,3,Patrick Mahomes pass complete short left to Kadarius Toney for 9 yards (tackle by Josh Metellus),0.430,1.730
1,2:28,1,10,KAN 42,7,3,Patrick Mahomes sacked by Danielle Hunter for -7 yards,1.730,0.240
1,1:46,2,17,KAN 35,7,3,Patrick Mahomes pass complete short left to Justyn Ross for 20 yards (tackle by Mekhi Blackmon),0.240,2.590
1,1:07,1,10,MIN 45,7,3,Clyde Edwards-Helaire left tackle for 1 yard (tackle by Jordan Hicks and Harrison Phillips),2.590,2.180
1,0:33,2,9,MIN 44,7,3,Patrick Mahomes pass complete short right to Rashee Rice for 4 yards (tackle by Byron Murphy and Harrison Phillips),2.180,2.010
Quarter,Time,Down,ToGo,Location,KAN,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,MIN 40,7,3,Patrick Mahomes pass complete short middle to Jerick McKinnon for 15 yards (tackle by Harrison Smith),2.010,3.910
2,14:23,1,10,MIN 25,7,3,Clyde Edwards-Helaire left guard for 1 yard (tackle by Harrison Phillips and Ivan Pace),3.910,3.500
2,13:45,2,9,MIN 24,7,3,Patrick Mahomes pass complete short left to Travis Kelce for 4 yards (tackle by Harrison Smith),3.500,3.340
2,13:01,3,5,MIN 20,7,3,Patrick Mahomes pass incomplete deep right intended for Marquez Valdes-Scantling,3.340,2.170
2,12:49,4,5,MIN 20,10,3,Harrison Butker 38 yard field goal good,2.170,3.000
2,12:46,,,KAN 35,10,3,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,12:46,1,10,MIN 25,10,3,"Kirk Cousins pass complete short middle to Justin Jefferson for 14 yards (tackle by Justin Reid). Penalty on Justin Reid: Unnecessary Roughness / Defense, 15 yards (accepted)",0.610,2.520
2,12:14,1,10,KAN 46,10,3,Cam Akers right end for 3 yards (tackle by Derrick Nnadi),2.520,2.380
2,11:51,2,7,KAN 43,10,3,"Kirk Cousins pass complete short left to T.J. Hockenson for no gain (tackle by Willie Gay). Penalty on L'Jarius Sneed: Illegal Contact, 5 yards (accepted) (no play)",2.380,3.050
2,11:26,1,10,KAN 38,10,3,Cam Akers up the middle for 2 yards (tackle by Trent McDuffie),3.050,2.780
2,10:52,2,8,KAN 36,10,3,Kirk Cousins pass complete short left to Cam Akers for no gain (tackle by Willie Gay),2.780,2.080
2,10:13,3,8,KAN 36,10,3,"Kirk Cousins pass incomplete deep right intended for Justin Jefferson. Penalty on Trent McDuffie: Defensive Pass Interference, 11 yards (accepted) (no play)",2.080,3.910
2,10:07,1,10,KAN 25,10,3,"Cam Akers right guard for 3 yards (tackle by Willie Gay). Penalty on L'Jarius Sneed: Illegal Use of Hands / Defense, 5 yards (accepted)",3.910,4.440
2,9:34,1,10,KAN 17,10,3,"Kirk Cousins pass complete short middle to Cam Akers for no gain (tackle by Trent McDuffie). Penalty on Brian O'Neill: Offensive Holding, 10 yards (accepted) (no play)",4.440,3.780
2,9:04,1,20,KAN 27,10,3,Kirk Cousins pass incomplete deep right intended for Jordan Addison,3.780,2.540
2,8:58,2,20,KAN 27,10,3,Kirk Cousins pass complete short right to Jordan Addison for 16 yards (tackle by L'Jarius Sneed),2.540,4.100
2,8:12,3,4,KAN 11,10,3,Kirk Cousins pass incomplete short middle intended for K.J. Osborn,4.100,2.770
2,8:05,4,4,KAN 11,10,6,Greg Joseph 29 yard field goal good,2.770,3.000
2,8:02,,,MIN 35,10,6,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
2,8:02,1,10,KAN 25,10,6,Patrick Mahomes pass incomplete short right intended for Kadarius Toney,0.610,0.060
2,7:57,2,10,KAN 25,10,6,Isiah Pacheco left guard for 4 yards (tackle by Jonathan Bullard and Ivan Pace),0.060,-0.100
2,7:19,3,6,KAN 29,10,6,Patrick Mahomes pass incomplete deep right intended for Justin Watson (defended by Mekhi Blackmon),-0.100,-1.440
2,7:13,4,6,KAN 29,10,6,"Tommy Townsend punts 42 yards out of bounds. Penalty on Nic Jones: Fair Catch Interference, 15 yards (accepted)",-1.440,-1.860
2,7:03,1,10,MIN 44,10,6,Alexander Mattison right end for 2 yards (tackle by George Karlaftis),1.860,1.590
2,6:28,2,8,MIN 46,10,6,Kirk Cousins sacked by Chris Jones for -7 yards,1.590,-0.030
2,5:50,3,15,MIN 39,10,6,Kirk Cousins pass complete short right to T.J. Hockenson for 13 yards (tackle by Trent McDuffie),-0.030,0.070
2,5:04,4,2,KAN 48,10,6,Ty Chandler right end for 15 yards (tackle by Drue Tranquill),0.070,3.380
2,4:23,1,10,KAN 33,10,6,Kirk Cousins pass incomplete short middle intended for Justin Jefferson,3.380,2.840
2,4:21,2,10,KAN 33,10,6,Brandon Powell right end for 9 yards (tackle by Trent McDuffie),2.840,3.340
2,4:05,3,1,KAN 24,10,6,Kirk Cousins up the middle for 2 yards (tackle by Drue Tranquill),3.340,4.110
2,3:27,1,10,KAN 22,10,6,Alexander Mattison right guard for 4 yards (tackle by Willie Gay and Drue Tranquill),4.110,4.130
2,2:43,2,6,KAN 18,10,6,Alexander Mattison right tackle for -3 yards (tackle by Mike Edwards and Felix Anudike-Uzomah),4.130,3.010
2,2:00,3,9,KAN 21,10,6,Kirk Cousins pass complete short left to Jordan Addison for 15 yards (tackle by Joshua Williams),3.010,5.830
2,1:47,,,,,,Timeout #1 by Kansas City Chiefs,,
2,1:47,1,6,KAN 6,10,6,Kirk Cousins pass complete short middle to Brandon Powell for 1 yard (tackle by Drue Tranquill),5.830,5.150
2,1:43,,,,,,Timeout #2 by Kansas City Chiefs,,
2,1:43,2,5,KAN 5,10,12,"Kirk Cousins pass complete short left to Jordan Addison for 5 yards, touchdown",5.150,7.000
2,1:39,,,KAN 15,10,13,Greg Joseph kicks extra point good,0.000,0.000
2,1:39,,,MIN 35,10,13,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
2,1:39,1,10,KAN 25,10,13,Patrick Mahomes pass complete short left to Travis Kelce for 9 yards (tackle by Josh Metellus),0.610,1.280
2,1:18,2,1,KAN 34,10,13,Patrick Mahomes pass complete short right to Travis Kelce for no gain (tackle by Byron Murphy),1.280,0.560
2,0:54,3,1,KAN 34,10,13,Jerick McKinnon left tackle for 7 yards (tackle by Jordan Hicks),0.560,1.660
2,0:35,1,10,KAN 41,10,13,Patrick Mahomes pass incomplete short left intended for Jerick McKinnon (defended by Jordan Hicks),1.660,1.120
2,0:32,2,10,KAN 41,10,13,"Patrick Mahomes pass complete deep right to Justin Watson for 23 yards Replay Assistant challenged the pass completion ruling, and the play was upheld.",1.120,3.180
2,0:26,,,,,,Timeout #1 by Minnesota Vikings,,
2,0:26,1,10,MIN 36,10,13,Patrick Mahomes pass complete short left to Noah Gray for 12 yards (tackle by Byron Murphy),3.180,3.970
2,0:10,1,10,MIN 24,10,13,Patrick Mahomes spiked the ball,3.970,3.430
2,0:09,2,10,MIN 24,10,13,"Penalty on KAN: Delay of Game, 5 yards (accepted) (no play)",3.430,2.760
2,0:09,2,15,MIN 29,10,13,Patrick Mahomes pass incomplete short right,2.760,2.080
2,0:07,,,,,,Timeout #2 by Minnesota Vikings,,
2,0:07,3,15,MIN 29,10,13,Patrick Mahomes pass complete short left to Skyy Moore for 7 yards (tackle by Akayleb Evans),2.080,1.990
2,0:04,,,,,,Timeout #3 by Kansas City Chiefs,,
2,0:04,4,8,MIN 22,13,13,Harrison Butker 40 yard field goal good,1.990,3.000
Quarter,Time,Down,ToGo,Location,KAN,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,13,13,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,KAN 25,13,13,Patrick Mahomes sacked by Marcus Davenport for -8 yards,0.610,-1.150
3,14:26,2,18,KAN 17,13,13,Patrick Mahomes pass complete short left to Kadarius Toney for no gain (tackle by Akayleb Evans),-1.150,-1.930
3,13:47,3,18,KAN 17,13,13,Patrick Mahomes pass complete deep left to Justin Watson for 33 yards (tackle by Camryn Bynum),-1.930,2.260
3,13:13,1,10,MIN 50,13,13,Isiah Pacheco left guard for 3 yards (tackle by Harrison Smith),2.260,2.120
3,12:40,2,7,MIN 47,13,13,Patrick Mahomes pass complete short middle to Rashee Rice for 13 yards (tackle by Jordan Hicks),2.120,3.310
3,12:09,1,10,MIN 34,13,13,Patrick Mahomes pass complete short left to Justyn Ross for 8 yards (tackle by Mekhi Blackmon),3.310,3.850
3,11:33,2,2,MIN 26,13,13,Isiah Pacheco up the middle for 6 yards (tackle by D.J. Wonnum and Jonathan Bullard),3.850,4.240
3,10:56,1,10,MIN 20,13,13,Patrick Mahomes pass complete short right to Marquez Valdes-Scantling for 12 yards (tackle by Josh Metellus),4.240,5.370
3,10:24,1,8,MIN 8,13,13,Patrick Mahomes pass incomplete short left intended for Rashee Rice,5.370,4.570
3,10:18,2,8,MIN 8,13,13,Patrick Mahomes pass incomplete short right intended for Justyn Ross (defended by Byron Murphy),4.570,3.580
3,10:13,3,8,MIN 8,19,13,"Patrick Mahomes pass complete short middle to Rashee Rice for 8 yards, touchdown",3.580,7.000
3,10:10,,,MIN 15,20,13,Harrison Butker kicks extra point good,0.000,0.000
3,10:10,,,KAN 35,20,13,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
3,10:10,1,10,MIN 25,20,13,Kirk Cousins pass incomplete deep middle intended for T.J. Hockenson,0.610,0.060
3,10:06,2,10,MIN 25,20,13,Alexander Mattison right end for 3 yards (tackle by Drue Tranquill),0.060,-0.230
3,9:27,,,,,,Timeout #1 by Minnesota Vikings,,
3,9:27,3,7,MIN 28,20,13,Kirk Cousins pass incomplete deep left intended for Justin Jefferson (defended by Mike Edwards),-0.230,-1.500
3,9:22,4,7,MIN 28,20,13,"Ryan Wright punts 54 yards, returned by Montrell Washington for 8 yards (tackle by D.J. Wonnum)",-1.500,-0.670
3,9:12,1,10,KAN 26,20,13,Patrick Mahomes pass complete short left to Kadarius Toney for 3 yards (tackle by Camryn Bynum and Jordan Hicks),0.670,0.540
3,8:35,2,7,KAN 29,20,13,Patrick Mahomes pass incomplete short left intended for Justyn Ross,0.540,-0.160
3,8:29,3,7,KAN 29,20,13,"Patrick Mahomes pass complete short right to Travis Kelce for 14 yards (tackle by Josh Metellus) MIN challenged the pass interception ruling, and the play was upheld.",-0.160,1.800
3,7:55,1,10,KAN 43,20,13,Kadarius Toney left tackle for 1 yard (tackle by D.J. Wonnum and Jordan Hicks),1.800,1.390
3,7:23,2,9,KAN 44,20,13,Patrick Mahomes pass complete short right to Travis Kelce for 8 yards (tackle by Camryn Bynum),1.390,1.750
3,6:44,3,1,MIN 48,20,13,Isiah Pacheco right end for no gain (tackle by Jonathan Bullard and Dean Lowry),1.750,0.070
3,6:07,4,1,MIN 48,20,13,"Patrick Mahomes pass incomplete deep right intended for Marquez Valdes-Scantling. Penalty on Harrison Smith: Defensive Pass Interference, 31 yards (accepted) (no play)",0.070,4.440
3,5:58,1,10,MIN 17,20,13,"Isiah Pacheco left guard for no gain (tackle by Harrison Phillips). Penalty on Travis Kelce: Chop Block, 15 yards (accepted) (no play)",4.440,3.450
3,5:32,1,25,MIN 32,20,13,Patrick Mahomes pass complete short left to Travis Kelce for 8 yards (tackle by Jordan Hicks),3.450,2.950
3,4:52,2,17,MIN 24,20,13,Patrick Mahomes pass complete short left to Isiah Pacheco for 9 yards (tackle by Mekhi Blackmon),2.950,3.340
3,4:13,3,8,MIN 15,20,13,Patrick Mahomes pass complete short left to Travis Kelce for 11 yards (tackle by Harrison Smith),3.340,6.280
3,3:30,1,4,MIN 4,20,13,Isiah Pacheco right guard for no gain (tackle by Jordan Hicks and Jonathan Bullard),6.280,5.340
3,2:48,2,4,MIN 4,26,13,"Patrick Mahomes pass complete short right to Travis Kelce for 4 yards, touchdown",5.340,7.000
3,2:45,,,MIN 15,27,13,Harrison Butker kicks extra point good,0.000,0.000
3,2:45,,,KAN 35,27,13,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
3,2:45,1,10,MIN 25,27,13,Cam Akers up the middle for 1 yard (tackle by Jaylen Watson),0.610,0.200
3,2:09,2,9,MIN 26,27,13,Kirk Cousins pass complete short right to K.J. Osborn for 11 yards (tackle by Drue Tranquill),0.200,1.400
3,1:29,1,10,MIN 37,27,13,Kirk Cousins pass complete deep right to T.J. Hockenson for 19 yards (tackle by Jaylen Watson),1.400,2.650
3,1:01,1,10,KAN 44,27,13,Kirk Cousins pass complete short middle to Cam Akers for 3 yards (tackle by Drue Tranquill),2.650,2.520
3,0:26,2,7,KAN 41,27,13,Cam Akers right guard for 6 yards (tackle by Michael Danna),2.520,2.610
3,0:02,3,1,KAN 35,27,13,Kirk Cousins up the middle for 2 yards (tackle by Willie Gay),2.610,3.380
Quarter,Time,Down,ToGo,Location,KAN,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,KAN 33,27,13,Kirk Cousins pass incomplete short left intended for Justin Jefferson,3.380,2.840
4,14:56,2,10,KAN 33,27,13,Kirk Cousins pass complete short middle to K.J. Osborn for 9 yards (tackle by Trent McDuffie),2.840,3.340
4,14:32,3,1,KAN 24,27,13,Kirk Cousins up the middle for 1 yard (tackle by Chris Jones and Tershawn Wharton),3.340,4.040
4,13:45,1,10,KAN 23,27,13,Kirk Cousins pass incomplete deep right intended for Josh Oliver,4.040,3.500
4,13:39,2,10,KAN 23,27,13,Kirk Cousins pass complete short right to T.J. Hockenson for 4 yards (tackle by Justin Reid),3.500,3.340
4,12:59,3,6,KAN 19,27,13,Kirk Cousins pass incomplete short left intended for K.J. Osborn,3.340,2.210
4,12:55,4,6,KAN 19,27,13,Kirk Cousins pass complete short left to Jordan Addison for 10 yards (tackle by Jaylen Watson),2.210,5.140
4,12:15,1,9,KAN 9,27,19,"Kirk Cousins pass complete short left to Alexander Mattison for 9 yards, touchdown",5.140,7.000
4,12:11,,,KAN 15,27,20,Greg Joseph kicks extra point good,0.000,0.000
4,12:11,,,MIN 35,27,20,"Greg Joseph kicks off 57 yards, returned by Montrell Washington for 20 yards (tackle by Ivan Pace)",0.000,0.810
4,12:07,1,10,KAN 28,27,20,Isiah Pacheco up the middle for 4 yards (tackle by Jonathan Bullard and Harrison Phillips),0.810,0.800
4,11:33,2,6,KAN 32,27,20,Patrick Mahomes pass complete short right to Kadarius Toney for 6 yards (tackle by Ivan Pace),0.800,1.470
4,10:55,1,10,KAN 38,27,20,Isiah Pacheco right guard for 9 yards (tackle by Camryn Bynum and Harrison Smith),1.470,2.140
4,10:17,2,1,KAN 47,27,20,Isiah Pacheco up the middle for no gain (tackle by D.J. Wonnum and Jonathan Bullard),2.140,1.420
4,9:40,3,1,KAN 47,27,20,Isiah Pacheco left guard for no gain (tackle by Josh Metellus and Harrison Smith),1.420,-0.260
4,9:05,,,,,,Timeout #3 by Minnesota Vikings,,
4,9:05,4,1,KAN 47,27,20,"Penalty on KAN: Delay of Game, 5 yards (accepted) (no play)",-0.260,-0.590
4,9:05,4,6,KAN 42,27,20,"Tommy Townsend punts 58 yards, touchback.",-0.590,-0.280
4,8:55,1,10,MIN 20,27,20,"Kirk Cousins pass complete short left to Alexander Mattison for no gain (tackle by Trent McDuffie). Penalty on Christian Darrisaw: Illegal Formation, 5 yards (accepted) (no play)",0.280,-0.310
4,8:26,1,15,MIN 15,27,20,Kirk Cousins pass incomplete short middle intended for T.J. Hockenson (defended by Justin Reid),-0.310,-1.070
4,8:20,2,15,MIN 15,27,20,Kirk Cousins pass complete short left to Jordan Addison for 7 yards (tackle by Joshua Williams),-1.070,-0.690
4,7:44,3,8,MIN 22,27,20,Kirk Cousins pass complete short right to Brandon Powell for 13 yards (tackle by L'Jarius Sneed),-0.690,1.270
4,7:16,1,10,MIN 35,27,20,Kirk Cousins pass complete short right to Johnny Mundt for 11 yards (tackle by Drue Tranquill and L'Jarius Sneed),1.270,1.990
4,6:49,1,10,MIN 46,27,20,Alexander Mattison left tackle for 5 yards (tackle by Justin Reid and Michael Danna),1.990,2.130
4,6:23,2,5,KAN 49,27,20,Kirk Cousins pass complete short left to K.J. Osborn for 27 yards (tackle by L'Jarius Sneed),2.130,4.110
4,5:39,1,10,KAN 22,27,20,Kirk Cousins pass complete short right to K.J. Osborn for 3 yards (tackle by L'Jarius Sneed),4.110,3.970
4,5:05,2,7,KAN 19,27,20,Kirk Cousins pass incomplete short left intended for Alexander Mattison (defended by Chris Jones),3.970,3.260
4,4:58,3,7,KAN 19,27,20,Kirk Cousins pass incomplete deep right intended for Jordan Addison,3.260,2.180
4,4:54,4,7,KAN 19,27,20,"Penalty on MIN: Delay of Game, 5 yards (accepted) (no play)",2.180,1.870
4,4:54,4,12,KAN 24,27,20,Kirk Cousins pass incomplete deep right intended for Jordan Addison (defended by Trent McDuffie),1.870,-0.610
4,4:49,1,10,KAN 25,27,20,Isiah Pacheco up the middle for 4 yards (tackle by Harrison Smith and Danielle Hunter),0.610,0.670
4,4:10,2,5,KAN 29,27,20,Patrick Mahomes pass complete short left to Rashee Rice for 8 yards (tackle by Mekhi Blackmon),0.670,1.400
4,3:29,1,10,KAN 37,27,20,Isiah Pacheco right guard for 1 yard (tackle by Harrison Phillips and Jonathan Bullard),1.400,0.990
4,2:46,2,9,KAN 38,27,20,Isiah Pacheco right guard for 3 yards (tackle by Marcus Davenport and Jordan Hicks),0.990,0.700
4,2:00,3,6,KAN 41,27,20,Patrick Mahomes pass complete short right to Jerick McKinnon for 3 yards (tackle by Harrison Smith and Jordan Hicks),0.700,-0.460
4,1:13,4,3,KAN 44,27,20,"Tommy Townsend punts 40 yards, returned by Brandon Powell for 3 yards (tackle by Jaylen Watson)",-0.460,-0.150
4,1:07,1,10,MIN 19,27,20,Kirk Cousins pass incomplete short left intended for Brandon Powell (defended by Trent McDuffie),0.150,-0.390
4,1:02,2,10,MIN 19,27,20,Kirk Cousins pass complete short right to T.J. Hockenson for 9 yards (tackle by Justin Reid),-0.390,0.100
4,0:41,3,1,MIN 28,27,20,Kirk Cousins pass incomplete deep left intended for Brandon Powell (defended by L'Jarius Sneed),0.100,-1.500
4,0:37,4,1,MIN 28,27,20,Kirk Cousins pass complete short right to Brandon Powell for 3 yards (tackle by Trent McDuffie),-1.500,1.000
4,0:24,1,10,MIN 31,27,20,Kirk Cousins spiked the ball,1.000,0.460
4,0:22,2,10,MIN 31,27,20,Kirk Cousins pass complete deep right to Brandon Powell for 26 yards (tackle by L'Jarius Sneed),0.460,2.720
4,0:05,1,10,KAN 43,27,20,"Penalty on Chris Jones: Defensive Offside, 5 yards (accepted) (no play)",2.720,3.450
4,0:05,1,5,KAN 38,27,20,Kirk Cousins sacked by Michael Danna for -10 yards,3.450,1.500
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
