Unnamed: 0,ATL,NOR
First Downs,15,15
Rush-Yds-TDs,20-67-0,31-86-1
Cmp-Att-Yd-TD-INT,22-36-288-1-1,21-28-239-1-1
Sacked-Yards,5-24,1-10
Net Pass Yards,264,229
Total Yards,331,315
Fumbles-Lost,1-1,1-0
Turnovers,2,1
Penalties-Yards,10-91,3-30
Third Down Conv.,2-13,3-13
Fourth Down Conv.,1-2,1-1
Time of Possession,26:12,33:48
