Quarter,Time,Tm,Detail,MIA,CHI
1.0,6:51,Dolphins,Charles Clay 13 yard pass from Ryan Tannehill (Caleb Sturgis kick),7,0
2.0,5:20,Dolphins,Mike Wallace 10 yard pass from Ryan Tannehill (Caleb Sturgis kick),14,0
3.0,7:59,Bears,Matt Forte 10 yard pass from Jay Cutler (Robbie Gould kick),14,7
,0:31,Dolphins,Lamar Miller 2 yard rush (Caleb Sturgis kick),21,7
4.0,13:32,Dolphins,Caleb Sturgis 33 yard field goal,24,7
,7:38,Bears,Matt Forte 1 yard rush (Robbie Gould kick),24,14
,2:13,Dolphins,Caleb Sturgis 19 yard field goal,27,14
