Quarter,Time,Down,ToGo,Location,MIA,CHI,Detail,EPB,EPA
1,5:36,3,2,CHI 28,7,0,Jay Cutler pass complete short left to Matt Forte for 10 yards (tackle by Reshad Jones),0.100,1.470
1,4:50,1,10,CHI 38,7,0,"Jay Cutler for no gain. Jay Cutler fumbles, recovered by Ka'Deem Carey at CHI-28",1.470,-0.430
1,4:00,2,20,CHI 28,7,0,Jay Cutler pass complete short middle to Matt Forte for 5 yards (tackle by Chris McCain),-0.430,-0.430
1,3:18,3,15,CHI 33,7,0,Jay Cutler sacked by Derrick Shelby for -6 yards,-0.430,-1.570
1,2:41,4,21,CHI 27,7,0,"Pat O'Donnell punts 57 yards, fair catch by Jarvis Landry",-1.570,0.140
1,2:33,1,10,MIA 16,7,0,Ryan Tannehill pass complete short left to Jarvis Landry for 15 yards (tackle by Willie Young),-0.140,1.000
1,1:55,1,10,MIA 31,7,0,Daniel Thomas right guard for 5 yards (tackle by Willie Young),1.000,1.140
1,1:17,2,5,MIA 36,7,0,Ryan Tannehill pass complete short left to Daniel Thomas for 8 yards (tackle by D.J. Williams),1.140,1.860
1,0:40,1,10,MIA 44,7,0,Daniel Thomas right guard for 5 yards (tackle by Jared Allen and Darryl Sharpton),1.860,1.990
Quarter,Time,Down,ToGo,Location,MIA,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,MIA 49,7,0,Ryan Tannehill sacked by Jay Ratliff for -1 yards,1.990,1.160
2,14:15,3,6,MIA 48,7,0,Ryan Tannehill pass complete short left to Charles Clay for 12 yards (tackle by Tim Jennings and Darryl Sharpton),1.160,2.920
2,13:34,1,10,CHI 40,7,0,Daniel Thomas right end for -3 yards (tackle by Lamarr Houston),2.920,1.970
2,12:52,2,13,CHI 43,7,0,Ryan Tannehill pass complete short middle to Daniel Thomas for 15 yards (tackle by Darryl Sharpton),1.970,3.710
2,12:07,1,10,CHI 28,7,0,Damian Williams left end for -1 yards (tackle by Kyle Fuller),3.710,3.030
2,11:25,2,11,CHI 29,7,0,Daniel Thomas left guard for 4 yards (tackle by Jay Ratliff),3.030,2.870
2,11:03,3,7,CHI 25,7,0,Ryan Tannehill sacked by Jay Ratliff for -7 yards,2.870,1.240
2,10:19,4,14,CHI 32,7,0,Caleb Sturgis 50 yard field goal no good,1.240,-1.600
2,10:13,1,10,CHI 40,7,0,Jay Cutler right end for 3 yards (tackle by Brent Grimes),1.600,1.460
2,9:32,2,7,CHI 43,7,0,Jay Cutler sacked by Louis Delmas for -4 yards,1.460,0.230
2,8:42,3,11,CHI 39,7,0,Jay Cutler pass complete deep right to Martellus Bennett for 16 yards (tackle by Reshad Jones),0.230,2.590
2,8:05,1,10,MIA 45,7,0,Jay Cutler pass incomplete deep left intended for Alshon Jeffery (defended by Cortland Finnegan),2.590,2.040
2,7:58,2,10,MIA 45,7,0,Matt Forte left guard for 8 yards (tackle by Reshad Jones),2.040,2.410
2,7:13,3,2,MIA 37,7,0,"Jay Cutler pass incomplete deep left intended for Martellus Bennett is intercepted by Reshad Jones at MIA-21 and returned for 50 yards. Reshad Jones fumbles (forced by Brandon Marshall), recovered by Koa Misi at CHI-23. Penalty on Jordan Mills: Offensive Holding (Declined)",2.410,-4.040
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
2,6:53,1,10,CHI 23,7,0,Ryan Tannehill pass complete short middle to Brian Hartline for 15 yards (tackle by Brock Vereen). Penalty on Kyle Fuller: Defensive Holding (Declined),4.040,5.370
2,6:32,1,8,CHI 8,7,0,Lamar Miller left guard for 3 yards (tackle by Ryan Mundy and Jay Ratliff),5.370,5.150
2,5:49,2,5,CHI 5,7,0,"Penalty on Mike Pouncey: False Start, 5 yards (no play)",5.150,4.190
2,5:26,2,10,CHI 10,13,0,"Ryan Tannehill pass complete short right to Mike Wallace for 10 yards, touchdown",4.190,7.000
2,5:26,,,CHI 2,14,0,Caleb Sturgis kicks extra point good,0.000,0.000
2,5:26,,,MIA 35,14,0,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.280
2,5:20,1,10,CHI 20,14,0,Jay Cutler pass complete short left to Brandon Marshall for -3 yards (tackle by Louis Delmas),0.280,-0.790
2,4:36,2,13,CHI 17,14,0,Jay Cutler pass complete short right to Martellus Bennett for 8 yards (tackle by Brent Grimes),-0.790,-0.300
2,4:01,3,5,CHI 25,14,0,Jay Cutler pass incomplete short right intended for Brandon Marshall (defended by Cortland Finnegan),-0.300,-1.700
2,3:55,4,5,CHI 25,14,0,"Pat O'Donnell punts 58 yards, returned by Jarvis Landry for 12 yards (tackle by Danny McCray)",-1.700,-0.870
2,3:43,1,10,MIA 29,14,0,Ryan Tannehill left end for 5 yards (tackle by Kyle Fuller),0.870,1.000
2,3:18,2,5,MIA 34,14,0,Ryan Tannehill pass complete short right to Mike Wallace for 5 yards (tackle by Tim Jennings),1.000,1.530
2,2:41,1,10,MIA 39,14,0,Ryan Tannehill pass complete short right to Jarvis Landry for 7 yards (tackle by Demontre Hurst),1.530,1.930
2,2:13,2,3,MIA 46,14,0,Lamar Miller left guard for 3 yards (tackle by Jared Allen),1.930,2.190
2,2:00,1,10,MIA 49,14,0,Ryan Tannehill pass complete short left to Brian Hartline for 17 yards (tackle by Demontre Hurst),2.190,3.310
2,1:32,1,10,CHI 34,14,0,"Ryan Tannehill pass complete short middle to Lamar Miller for 22 yards (tackle by Demontre Hurst). Penalty on Brian Hartline: Offensive Pass Interference, 10 yards (no play)",3.310,2.650
2,1:24,1,20,CHI 44,14,0,Ryan Tannehill pass complete short right to Mike Wallace for 11 yards (tackle by Tim Jennings),2.650,2.910
2,0:58,2,9,CHI 33,14,0,Ryan Tannehill pass incomplete short right intended for Mike Wallace,2.910,2.210
2,0:54,3,9,CHI 33,14,0,Ryan Tannehill sacked by Jared Allen and Jay Ratliff for -8 yards,2.210,0.530
2,0:54,4,17,CHI 41,14,0,"Penalty on MIA: Delay of Game, 5 yards (no play)",0.530,0.200
2,0:05,4,22,CHI 46,14,0,Brandon Fields punts 41 yards,0.200,1.990
Quarter,Time,Down,ToGo,Location,MIA,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 35,14,0,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,CHI 20,14,0,Matt Forte left tackle for 16 yards (tackle by Koa Misi),0.280,1.330
3,14:24,1,10,CHI 36,14,0,Matt Forte right guard for 3 yards (tackle by Koa Misi),1.330,1.200
3,13:44,2,7,CHI 39,14,0,Matt Forte left guard for 3 yards (tackle by Randy Starks),1.200,0.890
3,13:06,3,4,CHI 42,14,0,Jay Cutler pass complete short middle to Brandon Marshall for 4 yards (tackle by Brent Grimes),0.890,1.990
3,12:18,1,10,CHI 46,14,0,Matt Forte left tackle for 4 yards (tackle by Reshad Jones),1.990,1.990
3,11:41,2,6,,14,0,Matt Forte left tackle for no gain (tackle by Jelani Jenkins),1.990,1.290
3,10:58,3,6,,14,0,Jay Cutler pass complete short right to Dante Rosario for 5 yards (tackle by Jelani Jenkins),1.290,1.290
3,10:31,3,6,,14,0,Timeout #1 by Chicago Bears,1.290,0.270
3,10:31,4,1,MIA 45,14,0,Matt Forte left guard for 4 yards (tackle by Koa Misi),0.270,2.850
3,9:51,1,10,MIA 41,14,0,Jay Cutler pass complete short left to Brandon Marshall for 15 yards (tackle by Cortland Finnegan),2.850,3.840
3,9:07,1,10,MIA 26,14,0,Jay Cutler pass complete short left to Brandon Marshall for 13 yards (tackle by Cortland Finnegan),3.840,4.710
3,8:43,1,10,MIA 13,14,0,Matt Forte right guard for 3 yards (tackle by Koa Misi),4.710,4.580
3,8:06,2,7,MIA 10,14,6,"Jay Cutler pass complete short left to Matt Forte for 10 yards, touchdown",4.580,7.000
3,8:06,,,MIA 2,14,7,Robbie Gould kicks extra point good,0.000,0.000
3,8:06,,,CHI 35,14,7,"Robbie Gould kicks off 72 yards, returned by Jarvis Landry for 24 yards (tackle by Teddy Williams)",0.000,0.060
3,7:53,1,10,MIA 17,14,7,Lamar Miller right guard for 3 yards (tackle by Willie Young),-0.060,-0.060
3,7:18,2,7,MIA 20,14,7,Ryan Tannehill pass complete short left to Lamar Miller for 12 yards (tackle by Kyle Fuller),-0.060,1.070
3,6:36,1,10,MIA 32,14,7,Lamar Miller left guard for 3 yards (tackle by Shea McClellin),1.070,0.930
3,5:59,2,7,MIA 35,14,7,Ryan Tannehill pass complete short left to Dion Sims for 7 yards (tackle by Ryan Mundy),0.930,1.730
3,5:15,1,10,MIA 42,14,7,Ryan Tannehill pass complete short left to Brian Hartline for 3 yards (tackle by Ryan Mundy),1.730,1.590
3,4:39,2,7,MIA 45,14,7,Lamar Miller left end for 5 yards (tackle by Darryl Sharpton),1.590,1.550
3,3:54,3,2,,14,7,Ryan Tannehill pass complete short left to Daniel Thomas for 2 yards (tackle by Khaseem Greene),1.550,2.390
3,3:14,1,10,CHI 48,14,7,Ryan Tannehill pass incomplete short left intended for Mike Wallace (defended by Willie Young),2.390,1.850
3,3:08,2,10,CHI 48,14,7,Ryan Tannehill pass complete short right to Charles Clay for 8 yards (tackle by Khaseem Greene),1.850,2.210
3,2:32,3,2,CHI 40,14,7,Lamar Miller right end for 1 yard (tackle by Demontre Hurst and Stephen Paea),2.210,0.660
,,,,,,,"MIA challenged the first down ruling, and the play was upheld.",,
3,1:54,4,1,CHI 39,14,7,Ryan Tannehill right end for 30 yards (tackle by Tim Jennings),0.660,5.140
3,1:12,1,9,CHI 9,14,7,Lamar Miller left end for 7 yards (tackle by Will Sutton),5.140,5.720
3,0:36,2,2,CHI 2,20,7,"Lamar Miller left end for 2 yards, touchdown",5.720,7.000
3,0:36,,,CHI 2,21,7,Caleb Sturgis kicks extra point good,0.000,0.000
3,0:36,,,MIA 35,21,7,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.280
3,0:31,1,10,CHI 20,21,7,Jay Cutler pass complete short left to Brandon Marshall for 14 yards (tackle by Cortland Finnegan),0.280,1.200
Quarter,Time,Down,ToGo,Location,MIA,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CHI 34,21,7,"Jay Cutler pass complete short middle to Brandon Marshall for 14 yards (tackle by Koa Misi). Penalty on Brandon Marshall: Offensive Pass Interference, 10 yards (no play)",1.200,0.540
4,14:37,1,20,CHI 24,21,7,Jay Cutler pass incomplete short left intended for Matt Forte,0.540,-0.690
4,14:32,2,20,CHI 24,21,7,"Jay Cutler sacked by Cameron Wake for -8 yards. Jay Cutler fumbles (forced by Cameron Wake), recovered by Cameron Wake at CHI-16 (tackle by Roberto Garza)",-0.690,-4.510
4,14:24,1,10,CHI 16,21,7,Ryan Tannehill pass incomplete deep left intended for Mike Wallace,4.510,3.900
4,14:20,2,10,CHI 16,21,7,Lamar Miller right end for 2 yards (tackle by Brock Vereen),3.900,3.370
4,13:41,3,8,CHI 14,21,7,Ryan Tannehill pass incomplete short middle intended for Lamar Miller,3.370,2.510
4,13:37,4,8,CHI 14,24,7,Caleb Sturgis 33 yard field goal good,2.510,3.000
4,13:37,,,MIA 35,24,7,"Caleb Sturgis kicks off 65 yards, returned by Chris Williams for 25 yards (tackle by Rishard Matthews)",0.000,-0.610
4,13:25,1,10,CHI 25,24,7,Jay Cutler pass incomplete short right intended for Alshon Jeffery,0.610,0.060
4,13:22,2,10,CHI 25,24,7,"Jay Cutler pass complete short left to Dante Rosario for 10 yards (tackle by Cortland Finnegan). Dante Rosario fumbles (forced by Cortland Finnegan), recovered by Randy Starks at CHI-35 (tackle by Matt Forte)",0.060,-3.250
,,,,,,,"Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",,
4,13:13,1,10,CHI 35,24,7,Ryan Tannehill pass complete short left to Damian Williams for 7 yards (tackle by Ryan Mundy),3.250,3.650
4,12:38,2,3,CHI 28,24,7,Ryan Tannehill pass complete short left to Damian Williams for 5 yards (tackle by Sherrick McManis),3.650,4.040
4,12:00,1,10,CHI 23,24,7,Ryan Tannehill pass incomplete deep right intended for Jarvis Landry (defended by Tim Jennings),4.040,3.500
4,11:56,2,10,CHI 23,24,7,Daniel Thomas right end for 11 yards (tackle by Darryl Sharpton),3.500,4.780
4,11:17,1,10,CHI 12,24,7,Daniel Thomas right guard for 4 yards (tackle by Darryl Sharpton),4.780,4.830
4,10:36,2,6,CHI 8,24,7,Daniel Thomas left tackle for -1 yards (tackle by Jay Ratliff),4.830,3.700
4,9:54,3,7,CHI 9,24,7,"Ryan Tannehill pass incomplete. Penalty on Ryan Tannehill: Intentional Grounding, 10 yards",3.700,2.180
4,9:47,4,17,CHI 19,24,7,"Caleb Sturgis 37 yard field goal no good, blocked by Lamarr Houston",2.180,-0.740
4,9:43,1,10,CHI 27,24,7,Jay Cutler pass complete short left to Brandon Marshall for 5 yards (tackle by Terrence Fede),0.740,0.870
4,9:10,2,5,CHI 32,24,7,Jay Cutler pass incomplete short left intended for Alshon Jeffery (defended by Cortland Finnegan),0.870,0.170
4,9:07,3,5,CHI 32,24,7,Jay Cutler pass complete short right to Matt Forte for 24 yards (tackle by Louis Delmas),0.170,2.650
4,8:39,1,10,MIA 44,24,7,"Jay Cutler pass incomplete deep left intended for Alshon Jeffery. Penalty on Jamar Taylor: Defensive Pass Interference, 39 yards, Penalty on MIA: Defensive 12 On-field (Declined) (no play)",2.650,6.060
4,8:33,1,5,MIA 5,24,7,Matt Forte right tackle for 4 yards (tackle by Reshad Jones),6.060,5.910
4,8:15,2,1,MIA 1,24,7,Matt Forte right guard for no gain (tackle by Earl Mitchell),5.910,5.170
4,7:41,3,1,MIA 1,24,13,"Matt Forte right tackle for 1 yard, touchdown",5.170,7.000
4,7:41,,,MIA 2,24,14,Robbie Gould kicks extra point good,0.000,0.000
4,7:41,,,CHI 35,24,14,"Robbie Gould kicks off 62 yards, returned by Jarvis Landry for 31 yards (tackle by Demontre Hurst)",0.000,-1.200
4,7:31,1,10,MIA 34,24,14,Ryan Tannehill pass complete short right to Mike Wallace for 8 yards (tackle by Tim Jennings),1.200,1.740
4,6:59,2,2,MIA 42,24,14,Lamar Miller left guard for 1 yard (tackle by Willie Young),1.740,1.160
4,6:17,3,1,MIA 43,24,14,Lamar Miller left guard for 6 yards (tackle by Willie Young),1.160,2.190
4,5:38,1,10,MIA 49,24,14,Ryan Tannehill pass complete short left to Mike Wallace for 12 yards (tackle by Sherrick McManis),2.190,2.980
4,5:00,1,10,CHI 39,24,14,Lamar Miller right guard for 3 yards (tackle by Ego Ferguson),2.980,2.850
4,4:16,2,7,CHI 36,24,14,Lamar Miller left guard for 4 yards (tackle by Will Sutton),2.850,2.850
4,4:11,2,7,CHI 36,24,14,Timeout #2 by Chicago Bears,2.850,2.680
4,4:11,3,3,CHI 32,24,14,Ryan Tannehill pass complete short left to Dion Sims for 26 yards (tackle by Brock Vereen),2.680,5.830
4,3:22,1,6,CHI 6,24,14,Lamar Miller right end for 2 yards (tackle by D.J. Williams),5.830,5.340
4,2:36,2,4,CHI 4,24,14,"Lamar Miller left end for 2 yards. Penalty on Charles Clay: Offensive Holding, 10 yards, Penalty on Brian Hartline: Offensive Holding (Declined)",5.340,3.860
4,2:30,2,12,CHI 12,24,14,Ryan Tannehill pass complete short left to Jarvis Landry for 11 yards (tackle by Sherrick McManis and Christian Jones),3.860,5.170
4,2:24,3,1,CHI 1,24,14,Ryan Tannehill pass incomplete short right intended for Charles Clay (defended by Shea McClellin),5.170,3.550
4,2:16,4,1,CHI 1,27,14,Caleb Sturgis 19 yard field goal good,3.550,3.000
4,2:16,,,MIA 35,27,14,"Caleb Sturgis kicks off 70 yards, returned by Chris Williams for 50 yards (tackle by Caleb Sturgis). Penalty on Jordan Tripp: Illegal Use of Hands, 5 yards",0.000,-2.260
4,2:13,1,10,,27,14,"Penalty on Jordan Mills: False Start, 5 yards (no play)",2.260,1.930
4,2:07,1,15,CHI 45,27,14,Jay Cutler pass incomplete short left intended for Alshon Jeffery (defended by Cameron Wake),1.930,1.040
4,2:02,2,15,CHI 45,27,14,Jay Cutler pass complete short right to Martellus Bennett for 12 yards (tackle by Reshad Jones),1.040,1.950
4,1:55,3,3,MIA 43,27,14,Jay Cutler pass complete short right to Martellus Bennett for 1 yard (tackle by Jamar Taylor),1.950,0.460
4,1:50,4,2,MIA 42,27,14,Jay Cutler pass complete short left to Matt Forte for 6 yards (tackle by Michael Thomas). Penalty on Jamar Taylor: Illegal Contact (Declined),0.460,3.180
4,1:42,1,10,MIA 36,27,14,Jay Cutler pass incomplete deep right intended for Brandon Marshall,3.180,2.640
4,1:36,2,10,MIA 36,27,14,Jay Cutler pass complete deep middle to Martellus Bennett for 21 yards (tackle by Reshad Jones),2.640,4.580
4,1:17,1,10,MIA 15,27,14,Jay Cutler pass incomplete short middle intended for Martellus Bennett,4.580,3.950
4,1:13,2,10,MIA 15,27,14,"Jay Cutler pass incomplete short middle intended for Martellus Bennett. Jay Cutler fumbles, recovered by Jay Cutler at MIA-19",3.950,3.100
4,1:09,3,10,MIA 15,27,14,Jay Cutler pass incomplete short middle intended for Brandon Marshall (defended by Reshad Jones),3.100,2.440
4,1:02,4,10,MIA 15,27,14,Jay Cutler pass incomplete short left intended for Brandon Marshall (defended by Cortland Finnegan),2.440,0.220
4,0:57,1,10,MIA 15,27,14,Ryan Tannehill kneels for -1 yards,-0.220,-0.820
4,0:32,2,11,MIA 14,27,14,Ryan Tannehill kneels for -1 yards,-0.820,-1.640
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
